hospitalid,wardid,UnitAdmitYear
445,1087,2013
300,822,2014
157,369,2016
188,451,2016
244,608,2016
445,1087,2016
142,273,2016
273,698,2013
142,285,2016
420,1032,2015
144,267,2014
243,609,2016
452,1074,2014
338,841,2014
208,504,2016
181,428,2015
140,261,2015
300,831,2016
440,1043,2015
157,369,2013
436,1053,2016
167,408,2016
155,362,2014
252,622,2016
171,386,2013
243,601,2015
419,1030,2015
171,377,2016
300,809,2013
183,431,2014
202,498,2015
300,829,2014
148,384,2015
142,290,2014
175,417,2015
176,391,2015
188,445,2014
167,413,2014
396,968,2015
171,335,2014
420,1027,2015
165,402,2014
141,286,2015
199,491,2016
416,1020,2014
165,337,2013
401,984,2016
180,427,2015
154,317,2013
420,1026,2014
416,1017,2016
420,1035,2016
167,345,2015
154,317,2016
345,876,2015
165,337,2016
252,628,2015
176,376,2014
184,429,2015
208,513,2016
248,619,2015
246,602,2016
445,1087,2014
300,829,2016
157,369,2015
188,451,2014
148,384,2016
307,804,2014
388,962,2016
144,267,2015
171,335,2015
420,1039,2014
143,259,2014
142,273,2015
452,1074,2013
165,337,2015
167,408,2014
452,1074,2016
420,1027,2014
165,402,2013
307,766,2014
390,953,2016
416,1020,2015
183,430,2016
243,609,2014
312,814,2015
202,498,2016
243,594,2016
420,1035,2015
141,286,2014
436,1053,2015
155,362,2015
148,384,2013
181,425,2014
345,876,2013
420,1029,2014
416,1017,2014
206,489,2015
420,1037,2015
167,324,2016
188,445,2015
300,809,2012
171,377,2014
141,307,2014
420,1026,2016
338,840,2016
416,1021,2016
154,317,2014
184,429,2016
154,394,2015
428,1048,2016
199,495,2016
300,809,2015
188,434,2016
148,347,2014
253,613,2016
337,888,2013
243,607,2014
422,1025,2014
188,464,2015
345,876,2016
345,876,2014
148,384,2014
167,345,2013
183,431,2015
188,445,2016
209,506,2015
300,829,2015
416,1017,2015
206,489,2014
167,413,2015
420,1026,2015
142,290,2015
176,391,2016
183,430,2014
171,377,2015
300,831,2012
176,391,2013
420,1027,2016
419,1030,2016
248,619,2016
246,602,2014
175,417,2016
142,256,2014
141,286,2016
300,772,2015
154,317,2015
416,1021,2014
165,337,2014
312,814,2013
188,434,2014
167,345,2016
176,376,2015
428,1048,2015
420,1037,2014
300,809,2014
252,628,2016
253,613,2015
390,966,2015
337,888,2014
188,464,2016
243,601,2016
422,1025,2015
445,1087,2015
208,512,2016
141,307,2016
244,608,2015
390,953,2014
140,261,2016
338,841,2012
338,841,2015
143,259,2015
144,267,2016
142,285,2015
252,611,2016
181,428,2014
167,408,2015
300,831,2015
420,1032,2014
440,1043,2016
154,394,2013
384,991,2015
420,1029,2016
171,386,2014
312,814,2016
154,394,2016
181,425,2016
243,607,2015
252,622,2015
148,347,2015
243,607,2016
338,841,2016
206,489,2016
338,840,2015
181,425,2015
141,307,2015
345,876,2012
384,991,2016
383,983,2015
420,1037,2016
338,841,2013
244,608,2014
175,417,2014
199,487,2016
142,285,2014
176,391,2014
154,394,2014
416,1021,2015
252,622,2014
148,347,2016
252,611,2015
188,464,2014
140,261,2014
148,347,2013
337,888,2012
188,434,2015
176,376,2013
199,491,2015
300,809,2016
390,966,2016
155,362,2016
148,338,2016
248,619,2014
171,364,2014
300,822,2015
420,1035,2014
167,345,2014
209,506,2016
188,451,2015
167,413,2016
420,1032,2016
416,1020,2016
183,430,2015
143,259,2016
246,602,2015
142,273,2014
181,428,2016
167,413,2013
165,402,2015
436,1053,2014
420,1039,2016
452,1074,2015
243,609,2015
388,962,2015
167,408,2013
312,814,2014
390,953,2015
157,369,2014
440,1043,2014
183,431,2016
155,362,2013
424,1041,2016
176,376,2016
243,601,2014
394,996,2014
