"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.0428446084063466,0.0350970687524974,0.0505921480601959,2.24963602942457e-27,8670
"2","ventilation_bin","all",0.1,0.2,0.0403549014234461,0.0271185021273205,0.0535913007195717,2.29225829606664e-09,4785
"3","ventilation_bin","all",0.2,0.3,0.0547370272994673,0.0332282139322959,0.0762458406666386,6.10279389202064e-07,2148
"4","ventilation_bin","all",0.3,1,0.175015910900138,0.125805796330753,0.224226025469524,3.15265813544118e-12,2840
"5","ventilation_bin","non-white",0,0.1,0.0417245230168858,0.018091530570774,0.0653575154629975,0.000539334700062967,1598
"6","ventilation_bin","non-white",0.1,0.2,0.0289713095556502,0.00178083758212979,0.0561617815291706,0.0367644689228416,836
"7","ventilation_bin","non-white",0.2,0.3,0.053469001030417,-0.0124430005296956,0.11938100259053,0.111837679308991,363
"8","ventilation_bin","non-white",0.3,1,0.200187337297021,0.0989540674641116,0.301420607129929,0.000106243591407345,510
"9","ventilation_bin","white",0,0.1,0.0418179243295821,0.0335887005819742,0.05004714807719,2.28045109993721e-23,7072
"10","ventilation_bin","white",0.1,0.2,0.0429065867698012,0.0280286088584781,0.0577845646811243,1.58184007612082e-08,3949
"11","ventilation_bin","white",0.2,0.3,0.0452643873601809,0.0211422848435844,0.0693864898767774,0.000235180518978721,1785
"12","ventilation_bin","white",0.3,1,0.197962790074675,0.144865700745682,0.251059879403668,2.72154959341971e-13,2330
"13","rrt","all",0,0.1,0.00557720511178539,-0.00937818107341003,0.0205325912969808,0.46482266237005,8670
"14","rrt","all",0.1,0.2,0.0107381255190286,-0.00765482412960581,0.0291310751676631,0.252506597358438,4785
"15","rrt","all",0.2,0.3,0.0389344407473166,0.0180436119525775,0.0598252695420556,0.000259324469348965,2148
"16","rrt","all",0.3,1,0.0257221402308925,-0.00718098867254466,0.0586252691343296,0.125463936190443,2840
"17","rrt","non-white",0,0.1,-0.0210343190989237,-0.0694965988771267,0.0274279606792793,0.394931390888555,1598
"18","rrt","non-white",0.1,0.2,-0.00345543411499472,-0.0564236878275457,0.0495128195975563,0.898257825037234,836
"19","rrt","non-white",0.2,0.3,0.0610464200656873,0.0344747553353787,0.0876180847959958,6.70154009091969e-06,363
"20","rrt","non-white",0.3,1,0.0483536966264801,-0.0369896581113089,0.133697051364269,0.266786403888569,510
"21","rrt","white",0,0.1,0.0209249938247411,0.00834561759735616,0.0335043700521261,0.00111280465387538,7072
"22","rrt","white",0.1,0.2,0.0153101460230819,-0.00371711821546475,0.0343374102616285,0.114772665044475,3949
"23","rrt","white",0.2,0.3,0.0338417967151755,0.0121218974319227,0.0555616959984283,0.00225903963629144,1785
"24","rrt","white",0.3,1,0.0152683092427263,-0.0202989433468538,0.0508355618323063,0.400130187113638,2330
"25","pressor","all",0,0.1,0.0355500039464635,0.0271917059130718,0.0439083019798551,7.65948943698256e-17,8670
"26","pressor","all",0.1,0.2,0.0150834508537319,0.00372750303525929,0.0264393986722044,0.00923163052220845,4785
"27","pressor","all",0.2,0.3,-0.0173523068823627,-0.0385255667430202,0.00382095297829485,0.108208900556903,2148
"28","pressor","all",0.3,1,-0.0759970194088729,-0.101195074478841,-0.0507989643389051,3.39345004569133e-09,2840
"29","pressor","non-white",0,0.1,0.0182602633763936,-0.00540478336807279,0.0419253101208601,0.130441809371915,1598
"30","pressor","non-white",0.1,0.2,0.0481385911963115,0.0237931426382995,0.0724840397543234,0.000106390671539952,836
"31","pressor","non-white",0.2,0.3,0.0201285135905379,-0.029230430473602,0.0694874576546778,0.424124904054747,363
"32","pressor","non-white",0.3,1,-0.118276027027669,-0.185580748233865,-0.050971305821474,0.000572434274689043,510
"33","pressor","white",0,0.1,0.0390260577054211,0.0302391586312442,0.0478129567795981,3.17219114051739e-18,7072
"34","pressor","white",0.1,0.2,0.0084835425910661,-0.00397076846628265,0.0209378536484148,0.181843809036948,3949
"35","pressor","white",0.2,0.3,-0.0241717418506883,-0.0474076385908008,-0.000935845110575737,0.0414559528615121,1785
"36","pressor","white",0.3,1,-0.0670730114609094,-0.0942737674276554,-0.0398722554941633,1.3444485742512e-06,2330
