"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.069312846455685,0.0573122818027863,0.0813134111085837,1.03800074477948e-29,15314
"2","ventilation_bin","all",0.1,0.2,0.0612722131964534,0.0469250932099487,0.075619333182958,5.73413504971669e-17,7968
"3","ventilation_bin","all",0.2,0.3,0.0800013798773107,0.0551547961667112,0.10484796358791,2.77532920774599e-10,3686
"4","ventilation_bin","all",0.3,1,0.194732129823255,0.159985292466347,0.229478967180162,4.53984300685858e-28,5851
"5","ventilation_bin","non-white",0,0.1,0.0727875675841501,0.0407066403608533,0.104868494807447,8.70810069334363e-06,2866
"6","ventilation_bin","non-white",0.1,0.2,0.0518802657667509,0.0237909172793506,0.0799696142541511,0.00029452684725605,1356
"7","ventilation_bin","non-white",0.2,0.3,0.051119029341814,0.00576785759524703,0.096470201088381,0.0271553847876428,602
"8","ventilation_bin","non-white",0.3,1,0.122270640731351,0.0406706877573035,0.203870593705398,0.00331516827663765,1139
"9","ventilation_bin","white",0,0.1,0.0684103750158219,0.0548574956398036,0.0819632543918402,4.44572531881831e-23,12448
"10","ventilation_bin","white",0.1,0.2,0.0625327840090001,0.0458303173720734,0.0792352506459268,2.16658303734401e-13,6612
"11","ventilation_bin","white",0.2,0.3,0.0842218914119314,0.0570397694529168,0.111404013370946,1.25603452847143e-09,3084
"12","ventilation_bin","white",0.3,1,0.200431227442101,0.163646658581988,0.237215796302214,1.26790015182653e-26,4712
"13","rrt","all",0,0.1,0.0445837224647554,0.0324723937779718,0.056695051151539,5.39058545709818e-13,15314
"14","rrt","all",0.1,0.2,0.0336253481022759,0.0171653286407153,0.0500853675638366,6.22841354323993e-05,7968
"15","rrt","all",0.2,0.3,0.0495920205752496,0.0245439277818557,0.0746401133686435,0.000104220792392714,3686
"16","rrt","all",0.3,1,0.0707659142423771,0.0447509824963581,0.0967808459883961,9.73515624421299e-08,5851
"17","rrt","non-white",0,0.1,0.0185496044832459,-0.0164674896407608,0.0535666986072527,0.299144019542373,2866
"18","rrt","non-white",0.1,0.2,0.0320701977037643,-0.00574623376384928,0.0698866291713779,0.0964773703007445,1356
"19","rrt","non-white",0.2,0.3,0.0874915873696946,0.0632008457355464,0.111782329003843,1.66953310220935e-12,602
"20","rrt","non-white",0.3,1,0.102743464481497,0.0416925877229122,0.163794341240081,0.000971979271257992,1139
"21","rrt","white",0,0.1,0.0535825445358535,0.0414031300871342,0.0657619589845729,6.52834650392511e-18,12448
"22","rrt","white",0.1,0.2,0.0338325232039365,0.0171508925031842,0.0505141539046888,7.03391424877168e-05,6612
"23","rrt","white",0.2,0.3,0.0424173845659791,0.0131198402629885,0.0717149288689697,0.00454377687324892,3084
"24","rrt","white",0.3,1,0.0540681327379885,0.0230399161251205,0.0850963493508565,0.000636901497503353,4712
"25","pressor","all",0,0.1,0.0718735335961878,0.0617363388216256,0.0820107283707499,6.64604395928527e-44,15314
"26","pressor","all",0.1,0.2,0.0190206370317841,0.00707910226462554,0.0309621717989427,0.00179679212902414,7968
"27","pressor","all",0.2,0.3,-0.0244622379421711,-0.0445548785490646,-0.00436959733527753,0.0170213537977776,3686
"28","pressor","all",0.3,1,-0.099151005909507,-0.12167379023713,-0.0766282215818837,6.22070037680675e-18,5851
"29","pressor","non-white",0,0.1,0.04717145518054,0.020780958149815,0.0735619522112649,0.000459386227967585,2866
"30","pressor","non-white",0.1,0.2,0.0385478028203126,0.0119881751730388,0.0651074304675863,0.00444557868361123,1356
"31","pressor","non-white",0.2,0.3,-0.0162907581107242,-0.0625774060130106,0.0299958897915622,0.490301540974331,602
"32","pressor","non-white",0.3,1,-0.103918529388303,-0.154906489050419,-0.0529305697261873,6.47831109288289e-05,1139
"33","pressor","white",0,0.1,0.0764753618641129,0.0655038382973725,0.0874468854308533,1.71483013095723e-42,12448
"34","pressor","white",0.1,0.2,0.0151173305957583,0.00180295474047913,0.0284317064510374,0.0260536120063727,6612
"35","pressor","white",0.2,0.3,-0.0249227648157503,-0.0471244088278654,-0.00272112080363521,0.0277909135557133,3084
"36","pressor","white",0.3,1,-0.0956428569272734,-0.121085229328062,-0.0702004845264843,1.73176173122597e-13,4712
