"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.105529165675135,0.0808885467742685,0.130169784576002,4.69258319157004e-17,6644
"2","ventilation_bin","all",0.1,0.2,0.0409735331913986,0.0117329343349894,0.0702141320478079,0.00602422948890425,3183
"3","ventilation_bin","all",0.2,0.3,0.0456170343255776,-0.00549250937200933,0.0967265780231646,0.0802274723878521,1538
"4","ventilation_bin","all",0.3,1,0.165186395625541,0.117345485105584,0.213027306145498,1.3098931089158e-11,3011
"5","ventilation_bin","non-white",0,0.1,0.112396042545834,0.0528056303462446,0.171986454745423,0.000218299483822899,1268
"6","ventilation_bin","non-white",0.1,0.2,0.0443217998156687,-0.00902268169709358,0.0976662813284311,0.103421929743207,520
"7","ventilation_bin","non-white",0.2,0.3,0.012633628002492,-0.0695406958278705,0.0948079518328546,0.763159880023682,239
"8","ventilation_bin","non-white",0.3,1,0.0939349419074246,-0.0243852375665254,0.212255121381375,0.119695457949142,629
"9","ventilation_bin","white",0,0.1,0.0995627332051544,0.0713089640030031,0.127816502407306,4.95729774703881e-12,5376
"10","ventilation_bin","white",0.1,0.2,0.0415040681173392,0.00908720518906096,0.0739209310456174,0.0120924858270994,2663
"11","ventilation_bin","white",0.2,0.3,0.0502690699792294,-0.00614078708863459,0.106678927047093,0.0807008367278697,1299
"12","ventilation_bin","white",0.3,1,0.200701345701116,0.148066807450585,0.253335883951646,7.7972036585934e-14,2382
"13","rrt","all",0,0.1,0.0961804861269857,0.0791568642870414,0.11320410796693,1.68385393902002e-28,6644
"14","rrt","all",0.1,0.2,0.0740381029900645,0.049491050706085,0.098585155274044,3.38605458455558e-09,3183
"15","rrt","all",0.2,0.3,0.0550880152318823,-0.0151172999041246,0.125293330367889,0.124059985708843,1538
"16","rrt","all",0.3,1,0.0868018449809265,0.0402326356362143,0.133371054325639,0.000258884444518889,3011
"17","rrt","non-white",0,0.1,0.0990980810207954,0.0610090286604317,0.137187133381159,3.40688103115577e-07,1268
"18","rrt","non-white",0.1,0.2,0.112824127976261,0.0838522120259898,0.141796043926532,2.29804438057159e-14,520
"19","rrt","non-white",0.2,0.3,0.12846747471887,0.0829414989126717,0.173993450525068,3.18726371516462e-08,239
"20","rrt","non-white",0.3,1,0.17651502788801,0.0984477522059611,0.254582303570059,9.35002093954147e-06,629
"21","rrt","white",0,0.1,0.0754305415552087,0.0509132204873982,0.0999478626230191,1.63777065533377e-09,5376
"22","rrt","white",0.1,0.2,0.0588908098252994,0.021955740123732,0.0958258795268667,0.00177741336837932,2663
"23","rrt","white",0.2,0.3,0.0429856418340632,-0.0286025766069966,0.114573860275123,0.239237185746308,1299
"24","rrt","white",0.3,1,0.0739408934264741,0.0228876875405272,0.124994099312421,0.00452993472540956,2382
"25","pressor","all",0,0.1,0.0944463941880829,0.0737685068298987,0.115124281546267,3.48108308779646e-19,6644
"26","pressor","all",0.1,0.2,0.0296361346047792,0.00672832685582561,0.0525439423537328,0.0112229880350989,3183
"27","pressor","all",0.2,0.3,-0.027618799508343,-0.0643307994137564,0.00909320039707043,0.140339665974706,1538
"28","pressor","all",0.3,1,-0.117793132529041,-0.154153878779058,-0.081432386279023,2.15939364416304e-10,3011
"29","pressor","non-white",0,0.1,0.0534762746879477,0.000325455710537402,0.106627093665358,0.0486094274686313,1268
"30","pressor","non-white",0.1,0.2,0.0433968434484316,-0.00743595231230562,0.0942296392091689,0.0942709774786709,520
"31","pressor","non-white",0.2,0.3,-0.0556467151471335,-0.137530601197309,0.0262371709030416,0.182867309885291,239
"32","pressor","non-white",0.3,1,-0.101202814580669,-0.176489692089379,-0.0259159370719592,0.00842143765816777,629
"33","pressor","white",0,0.1,0.100707071814845,0.07824563564569,0.123168507983999,1.52562382283047e-18,5376
"34","pressor","white",0.1,0.2,0.0272739774789348,0.00169526044382122,0.0528526945140484,0.0366266602088177,2663
"35","pressor","white",0.2,0.3,-0.0212237338278646,-0.062461452683682,0.0200139850279528,0.313094901713775,1299
"36","pressor","white",0.3,1,-0.119099391000708,-0.160304444916613,-0.0778943370848034,1.46854499018033e-08,2382
