"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,3.70899239887122,3.34931044301239,4.06867435473005,7.79348085517929e-91,20717
"2","ventilation_bin","all",4,6,3.94728669115232,3.62634654764955,4.26822683465509,2.14657465237725e-128,20444
"3","ventilation_bin","all",7,10,3.57943884610057,3.1186574256851,4.04022026651603,2.38943895823665e-52,11906
"4","ventilation_bin","all",11,100,3.22327447728775,2.12404540243156,4.32250355214393,9.0670632824638e-09,4615
"5","ventilation_bin","non-white",0,3,4.84665273952234,3.66454183422563,6.02876364481905,9.2821220181622e-16,3758
"6","ventilation_bin","non-white",4,6,4.29781138551383,3.43563270029631,5.15999007073135,1.51063214032549e-22,3865
"7","ventilation_bin","non-white",7,10,4.80073822025563,3.43650524275192,6.16497119775933,5.30212915527394e-12,2468
"8","ventilation_bin","non-white",11,100,1.63423455999427,-1.34920760622933,4.61767672621787,0.28299054135132,979
"9","ventilation_bin","white",0,3,3.46153280099169,3.10195433615239,3.821111265831,2.08208023960102e-79,16959
"10","ventilation_bin","white",4,6,3.87911756938083,3.53210457632824,4.22613056243342,2.08374331155704e-106,16579
"11","ventilation_bin","white",7,10,3.29523072153994,2.82595736396246,3.76450407911743,4.24958122083952e-43,9438
"12","ventilation_bin","white",11,100,3.64594108667653,2.45930096947502,4.83258120387803,1.72187221118552e-09,3636
"13","rrt","all",0,3,6.96324556420216,6.42309925082113,7.50339187758319,7.33786755129634e-141,20717
"14","rrt","all",4,6,5.26886601017026,4.42183123637792,6.11590078396259,3.43251974479724e-34,20444
"15","rrt","all",7,10,4.29689490785702,3.4380454302845,5.15574438542955,1.06046808204066e-22,11906
"16","rrt","all",11,100,6.07500028861608,4.77762296978913,7.37237760744304,4.40205558560277e-20,4615
"17","rrt","non-white",0,3,11.2112199659831,8.9331438432321,13.4892960887342,5.11830520359944e-22,3758
"18","rrt","non-white",4,6,4.94070430121832,3.0594730196282,6.82193558280843,2.63874528568435e-07,3865
"19","rrt","non-white",7,10,3.44102626051734,1.71860848916236,5.16344403187231,9.01552553207414e-05,2468
"20","rrt","non-white",11,100,6.12413336688695,3.54269695211533,8.70556978165857,3.32170735148292e-06,979
"21","rrt","white",0,3,5.8268216368627,5.38868135920085,6.26496191452455,8.85819510880413e-150,16959
"22","rrt","white",4,6,5.47021398775372,4.51533429440342,6.42509368110403,2.96318502706949e-29,16579
"23","rrt","white",7,10,4.42663533376771,3.46915601964812,5.38411464788729,1.2866082085893e-19,9438
"24","rrt","white",11,100,5.96391829089325,4.5784064275161,7.3494301542704,3.2615720814755e-17,3636
"25","pressor","all",0,3,1.19478871465346,0.858052966985946,1.53152446232097,3.5413432391448e-12,20717
"26","pressor","all",4,6,0.744335314899917,0.436895309102831,1.051775320697,2.08190317089912e-06,20444
"27","pressor","all",7,10,0.245790861340149,-0.350179739636232,0.841761462316529,0.418891779414262,11906
"28","pressor","all",11,100,-1.28079243306403,-2.88758072021944,0.325995854091383,0.118207392497917,4615
"29","pressor","non-white",0,3,1.4091520426115,0.508805206855019,2.30949887836799,0.00215757943518042,3758
"30","pressor","non-white",4,6,1.30817097022796,0.5443520687,2.07198987175591,0.000788397439872114,3865
"31","pressor","non-white",7,10,0.307174373704086,-1.72813251885051,2.34248126625868,0.767376071053043,2468
"32","pressor","non-white",11,100,-1.04214931842051,-3.7568982349621,1.67259959812109,0.451802667485718,979
"33","pressor","white",0,3,1.13489366836289,0.772867492276818,1.49691984444897,8.03250849266496e-10,16959
"34","pressor","white",4,6,0.60592717119371,0.271315619215009,0.940538723172411,0.000386342367516048,16579
"35","pressor","white",7,10,0.201687830459156,-0.329535421854494,0.732911082772806,0.456787595504887,9438
"36","pressor","white",11,100,-1.23052886141005,-3.10430526348429,0.643247540664189,0.198041030247133,3636
