"","cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","iCI","sCI","n"
"1","MIMIC_eICU","ventilation_bin","Non-white & Non-Treatment",0,100,0.27630285152439,0.00495757073521303,0,0.266586191432563,0.286019511616217,66300
"2","MIMIC_eICU","ventilation_bin","Non-white & Non-Treatment",0,5,0.21177520071392,0.00545733064713501,0,0.201079029193808,0.222471372234031,39643
"3","MIMIC_eICU","ventilation_bin","Non-white & Non-Treatment",6,10,0.397342477496833,0.0101314323810529,0,0.377485234918167,0.4171997200755,20818
"4","MIMIC_eICU","ventilation_bin","Non-white & Non-Treatment",11,15,0.670212765957388,0.0342915338362762,4.58977308015614e-85,0.60300259466365,0.737422937251126,5101
"5","MIMIC_eICU","ventilation_bin","Non-white & Non-Treatment",16,100,0.799999999999997,0.126576891928326,2.61108458502535e-10,0.55191385054546,1,738
"6","MIMIC_eICU","ventilation_bin","Non-white & Yes-Treatment",0,100,0.373121728853553,0.00628418971714286,0,0.360804943335936,0.38543851437117,66300
"7","MIMIC_eICU","ventilation_bin","Non-white & Yes-Treatment",0,5,0.231820185104038,0.00885921618205069,6.29325449695548e-151,0.214456440455965,0.249183929752112,39643
"8","MIMIC_eICU","ventilation_bin","Non-white & Yes-Treatment",6,10,0.387494858083067,0.00988111134149313,0,0.36812823572651,0.406861480439624,20818
"9","MIMIC_eICU","ventilation_bin","Non-white & Yes-Treatment",11,15,0.589473684210519,0.015219035892614,0,0.559644921981573,0.619302446439465,5101
"10","MIMIC_eICU","ventilation_bin","Non-white & Yes-Treatment",16,100,0.707865168539015,0.0341076170288291,1.13101900755025e-95,0.641015467564025,0.774714869514005,738
"11","MIMIC_eICU","ventilation_bin","White & Non-Treatment",0,100,0.245723224390197,0.00248369586621344,0,0.240855269943868,0.250591178836527,66300
"12","MIMIC_eICU","ventilation_bin","White & Non-Treatment",0,5,0.1901213635554,0.00262114231993387,0,0.184984019009976,0.195258708100824,39643
"13","MIMIC_eICU","ventilation_bin","White & Non-Treatment",6,10,0.382530120481915,0.00582066290148375,0,0.371121830828858,0.393938410134971,20818
"14","MIMIC_eICU","ventilation_bin","White & Non-Treatment",11,15,0.678740157480238,0.0185325723627978,1.17953761268148e-293,0.642416983108272,0.715063331852204,5101
"15","MIMIC_eICU","ventilation_bin","White & Non-Treatment",16,100,0.888888888697186,0.0605222458927597,7.8120973359794e-49,0.7702674664839,1,738
"16","MIMIC_eICU","ventilation_bin","White & Yes-Treatment",0,100,0.346429375985529,0.00319395886250347,0,0.34016933164692,0.352689420324139,66300
"17","MIMIC_eICU","ventilation_bin","White & Yes-Treatment",0,5,0.226675216415893,0.00432832782720602,0,0.218191849761286,0.235158583070499,39643
"18","MIMIC_eICU","ventilation_bin","White & Yes-Treatment",6,10,0.362915657344192,0.0050456950759286,0,0.353026276718401,0.372805037969983,20818
"19","MIMIC_eICU","ventilation_bin","White & Yes-Treatment",11,15,0.58335910918651,0.00867138879393587,0,0.566363499454451,0.600354718918568,5101
"20","MIMIC_eICU","ventilation_bin","White & Yes-Treatment",16,100,0.738049713192553,0.0192395911906845,0,0.700340807381537,0.775758619003569,738
"21","MIMIC_eICU","rrt","Non-white & Non-Treatment",0,100,0.29539295392993,0.00413434466215979,0,0.287289787292422,0.303496120567439,66300
"22","MIMIC_eICU","rrt","Non-white & Non-Treatment",0,5,0.212264150943346,0.00474714127509725,0,0.202959925014632,0.22156837687206,39643
"23","MIMIC_eICU","rrt","Non-white & Non-Treatment",6,10,0.378371301387801,0.00784802222550252,0,0.362989460475946,0.393753142299656,20818
"24","MIMIC_eICU","rrt","Non-white & Non-Treatment",11,15,0.602579132473613,0.0167571607397364,3.5958534861746e-283,0.569735700940582,0.635422564006645,5101
"25","MIMIC_eICU","rrt","Non-white & Non-Treatment",16,100,0.74117647058771,0.0475387396446097,8.3811769767941e-55,0.648002253013849,0.834350688161572,738
"26","MIMIC_eICU","rrt","Non-white & Yes-Treatment",0,100,0.457492029798746,0.0114838706831865,0,0.434984056856585,0.480000002740907,66300
"27","MIMIC_eICU","rrt","Non-white & Yes-Treatment",0,5,0.303964757709483,0.0215876209020878,5.004580387769e-45,0.261653798229487,0.346275717189479,39643
"28","MIMIC_eICU","rrt","Non-white & Yes-Treatment",6,10,0.448677248834499,0.0161794780878157,2.93278748442012e-169,0.416966054493725,0.480388443175273,20818
"29","MIMIC_eICU","rrt","Non-white & Yes-Treatment",11,15,0.599999999999976,0.0251336982231889,5.93777516564115e-126,0.550738856684228,0.649261143315725,5101
"30","MIMIC_eICU","rrt","Non-white & Yes-Treatment",16,100,0.689320388349365,0.045629190439761,1.45610006204311e-51,0.599888818443714,0.778751958255016,738
"31","MIMIC_eICU","rrt","White & Non-Treatment",0,100,0.273864959255223,0.00203324452421119,0,0.269879873216006,0.277850045294441,66300
"32","MIMIC_eICU","rrt","White & Non-Treatment",0,5,0.198101245245059,0.00227267253506968,0,0.193646888927669,0.202555601562449,39643
"33","MIMIC_eICU","rrt","White & Non-Treatment",6,10,0.3618605958404,0.00402815238661544,0,0.353965562238394,0.369755629442405,20818
"34","MIMIC_eICU","rrt","White & Non-Treatment",11,15,0.603085553997184,0.00916232576169424,0,0.58512772548964,0.621043382504729,5101
"35","MIMIC_eICU","rrt","White & Non-Treatment",16,100,0.802281368821267,0.0245755764604831,9.29016713252463e-234,0.75411412405941,0.850448613583125,738
"36","MIMIC_eICU","rrt","White & Yes-Treatment",0,100,0.458786560344295,0.0077472959182877,0,0.443602139366876,0.473970981321713,66300
"37","MIMIC_eICU","rrt","White & Yes-Treatment",0,5,0.28557312253011,0.014198837173594,5.74394531688283e-90,0.257743913047518,0.313402332012703,39643
"38","MIMIC_eICU","rrt","White & Yes-Treatment",6,10,0.446212953016045,0.0116460520727336,0,0.42338711039141,0.469038795640681,20818
"39","MIMIC_eICU","rrt","White & Yes-Treatment",11,15,0.587598425196846,0.0154452943329939,0,0.557326204573557,0.617870645820135,5101
"40","MIMIC_eICU","rrt","White & Yes-Treatment",16,100,0.693379790940584,0.027235757969192,5.69347389660338e-143,0.639998686229318,0.74676089565185,738
"41","MIMIC_eICU","pressor","Non-white & Non-Treatment",0,100,0.267371786988863,0.00490829781038588,0,0.25775170005511,0.276991873922616,66300
"42","MIMIC_eICU","pressor","Non-white & Non-Treatment",0,5,0.215419110038175,0.00539917431006455,0,0.204836922844195,0.226001297232155,39643
"43","MIMIC_eICU","pressor","Non-white & Non-Treatment",6,10,0.391879562043847,0.0104270453617874,0,0.371442928669578,0.412316195418115,20818
"44","MIMIC_eICU","pressor","Non-white & Non-Treatment",11,15,0.463768115956154,0.0424550924535027,8.8770121819423e-28,0.380557663786971,0.546978568125338,5101
"45","MIMIC_eICU","pressor","Non-white & Non-Treatment",16,100,0.66666666666666,0.669527196358598,0.319382546353874,0,1,738
"46","MIMIC_eICU","pressor","Non-white & Yes-Treatment",0,100,0.385290148447884,0.00632088972903526,0,0.372901432228726,0.397678864667042,66300
"47","MIMIC_eICU","pressor","Non-white & Yes-Treatment",0,5,0.223506743738097,0.00914336301849917,5.73014845088911e-132,0.205586081524263,0.24142740595193,39643
"48","MIMIC_eICU","pressor","Non-white & Yes-Treatment",6,10,0.392690513219313,0.00962953212342377,0,0.373816977069431,0.411564049369195,20818
"49","MIMIC_eICU","pressor","Non-white & Yes-Treatment",11,15,0.619178082191778,0.0146758839659287,0,0.590413878177269,0.647942286206287,5101
"50","MIMIC_eICU","pressor","Non-white & Yes-Treatment",16,100,0.713513513513142,0.0332630251968482,4.5031516544418e-102,0.648319182110471,0.778707844915813,738
"51","MIMIC_eICU","pressor","White & Non-Treatment",0,100,0.233414196814867,0.00250818516226377,0,0.228498244230272,0.238330149399461,66300
"52","MIMIC_eICU","pressor","White & Non-Treatment",0,5,0.19227792195954,0.00265922652287965,0,0.187065933747962,0.197489910171117,39643
"53","MIMIC_eICU","pressor","White & Non-Treatment",6,10,0.361789283958719,0.0061510412797726,0,0.349733464582946,0.373845103334493,20818
"54","MIMIC_eICU","pressor","White & Non-Treatment",11,15,0.545945945872549,0.0258863198626658,9.79843702702086e-99,0.49520969124944,0.596682200495658,5101
"55","MIMIC_eICU","pressor","White & Non-Treatment",16,100,0.857142857142742,0.139439843598265,7.89402253376508e-10,0.583845785680245,1,738
