"cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","lCI","uCI"
"MIMIC","pressor","Non-white & Non-Treatment",0,5,0.449050949200739,0.0111170054512457,0,"0.427262018900362"," 0.470839879501116"
"MIMIC","pressor","Non-white & Non-Treatment",6,10,0.614259597806239,0.0147175823284521,0,"0.58541366650297"," 0.643105529109508"
"MIMIC","pressor","Non-white & Non-Treatment",11,15,0.563829786556859,0.0511572986099111,3.01025692852604e-28,"0.463563323735073"," 0.664096249378646"
"MIMIC","pressor","Non-white & Non-Treatment",16,100,0.666666666666664,0.50169178805732,0.183901715398037,"0"," 1"
"MIMIC","pressor","Non-white & Yes-Treatment",0,5,0.287356321839461,0.0198074090849356,1.08580515270334e-47,"0.248534513405936"," 0.326178130272986"
"MIMIC","pressor","Non-white & Yes-Treatment",6,10,0.520894071914165,0.0155741512190496,2.93616060080857e-245,"0.490369296435048"," 0.551418847393283"
"MIMIC","pressor","Non-white & Yes-Treatment",11,15,0.671544715447095,0.018941202946635,2.5013429148203e-275,"0.634420639847826"," 0.708668791046363"
"MIMIC","pressor","Non-white & Yes-Treatment",16,100,0.729927007298767,0.0379675906116043,2.28630093686765e-82,"0.655511897120262"," 0.804342117477273"
"MIMIC","pressor","White & Non-Treatment",0,5,0.426499933484099,0.00570453529209417,0,"0.415319249763057"," 0.437680617205142"
"MIMIC","pressor","White & Non-Treatment",6,10,0.572923272035521,0.00880829670961389,0,"0.555659327719535"," 0.590187216351507"
"MIMIC","pressor","White & Non-Treatment",11,15,0.674698795180653,0.0296939276954134,2.72941975587179e-114,"0.616499766338106"," 0.732897824023199"
"MIMIC","pressor","White & Non-Treatment",16,100,0.857142857142743,0.132379760782385,9.48883103165407e-11,"0.597683293727242"," 1"
"MIMIC","pressor","White & Yes-Treatment",0,5,0.283435582822466,0.0078933676414562,2.28597218150004e-282,"0.267964866528478"," 0.298906299116454"
"MIMIC","pressor","White & Yes-Treatment",6,10,0.466415568118964,0.00721674190178614,0,"0.452271013905742"," 0.480560122332186"
"MIMIC","pressor","White & Yes-Treatment",11,15,0.656048014773755,0.010208384461241,0,"0.636039948889385"," 0.676056080658126"
"MIMIC","pressor","White & Yes-Treatment",16,100,0.753694581280262,0.0214025090647878,1.16856461511332e-271,"0.711746434334486"," 0.795642728226038"
"MIMIC","pressor","Non-white & Non-Treatment",NA,NA,0.509238960225489,0.00884717109412777,0,"0.491898823515935"," 0.526579096935043"
"MIMIC","pressor","Non-white & Yes-Treatment",NA,NA,0.520625271384852,0.0104102521857563,0,"0.50022155203079"," 0.541028990738914"
"MIMIC","pressor","White & Non-Treatment",NA,NA,0.474695707880762,0.00477716990954672,0,"0.465332626910022"," 0.484058788851502"
"MIMIC","pressor","White & Yes-Treatment",NA,NA,0.459900103694943,0.00483836553561468,0,"0.450417081501099"," 0.469383125888788"
"MIMIC","rrt","Non-white & Non-Treatment",0,5,0.404701931150295,0.0100572749427313,0,"0.384990034479924"," 0.424413827820665"
"MIMIC","rrt","Non-white & Non-Treatment",6,10,0.543246445448999,0.012124805714997,0,"0.519482262928059"," 0.567010627969938"
"MIMIC","rrt","Non-white & Non-Treatment",11,15,0.6321138211382,0.021744095573672,8.45153903935976e-186,"0.589496176937406"," 0.674731465338994"
"MIMIC","rrt","Non-white & Non-Treatment",16,100,0.793650793650505,0.051031564251216,1.53841147426191e-54,"0.69363076564338"," 0.89367082165763"
"MIMIC","rrt","Non-white & Yes-Treatment",0,5,0.598591549295762,0.0411368184825508,5.735735492011e-48,"0.517964866631401"," 0.679218231960124"
"MIMIC","rrt","Non-white & Yes-Treatment",6,10,0.668965517241329,0.0225639666927647,3.65127786632097e-193,"0.624740955175149"," 0.713190079307509"
"MIMIC","rrt","Non-white & Yes-Treatment",11,15,0.714285714285325,0.0306719659598224,5.87953772339845e-120,"0.654169765669034"," 0.774401662901615"
"MIMIC","rrt","Non-white & Yes-Treatment",16,100,0.675324675324604,0.053410742480798,1.20772730900641e-36,"0.570641543674696"," 0.780007806974511"
"MIMIC","rrt","White & Non-Treatment",0,5,0.378152854162682,0.00472223892535225,0,"0.368897435942598"," 0.387408272382766"
"MIMIC","rrt","White & Non-Treatment",6,10,0.487386759581894,0.00590122830873968,0,"0.475820564632216"," 0.498952954531572"
"MIMIC","rrt","White & Non-Treatment",11,15,0.648454746136854,0.0112181406286762,0,"0.626467594531143"," 0.670441897742565"
"MIMIC","rrt","White & Non-Treatment",16,100,0.805263157894722,0.0287547239578141,1.43010014722637e-172,"0.748904934552015"," 0.861621381237428"
"MIMIC","rrt","White & Yes-Treatment",0,5,0.614718614718607,0.0320211946606532,3.90274111009518e-82,"0.551958226441781"," 0.677479002995434"
"MIMIC","rrt","White & Yes-Treatment",6,10,0.711081794194895,0.0164639565046578,0,"0.678813032402732"," 0.743350555987059"
"MIMIC","rrt","White & Yes-Treatment",11,15,0.686567164178965,0.0188940310584236,4.09808579485297e-289,"0.649535543781674"," 0.723598784576257"
"MIMIC","rrt","White & Yes-Treatment",16,100,0.713004484304568,0.0303196568245173,2.78209480468161e-122,"0.6535790489049"," 0.772429919704236"
"MIMIC","rrt","Non-white & Non-Treatment",NA,NA,0.484756756756798,0.00734886470946155,0,"0.470353246598996"," 0.4991602669146"
"MIMIC","rrt","Non-white & Yes-Treatment",NA,NA,0.669345579793399,0.0159408443507198,0,"0.638102098982829"," 0.700589060603969"
"MIMIC","rrt","White & Non-Treatment",NA,NA,0.446838716420106,0.00354015951162531,0,"0.439900131277793"," 0.453777301562418"
"MIMIC","rrt","White & Yes-Treatment",NA,NA,0.690909090908844,0.0108473408593496,0,"0.669648693496489"," 0.712169488321199"
"MIMIC","ventilation_bin","Non-white & Non-Treatment",0,5,0.442902881862542,0.0114749616279728,0,"0.420412370347736"," 0.465393393377348"
"MIMIC","ventilation_bin","Non-white & Non-Treatment",6,10,0.619257950530032,0.0144327669387693,0,"0.590970247132784"," 0.64754565392728"
"MIMIC","ventilation_bin","Non-white & Non-Treatment",11,15,0.804878048780461,0.0357383972138335,2.56258881106132e-112,"0.734832077376161"," 0.874924020184761"
"MIMIC","ventilation_bin","Non-white & Non-Treatment",16,100,0.79999999999949,0.126605629839397,2.63543620640758e-10,"0.551857525274262"," 1"
"MIMIC","ventilation_bin","Non-white & Yes-Treatment",0,5,0.336923076923132,0.0185398827726893,8.46359599150128e-74,"0.300585574411066"," 0.373260579435197"
"MIMIC","ventilation_bin","Non-white & Yes-Treatment",6,10,0.511604439959629,0.0158795347361027,9.92697845799487e-228,"0.480481123785616"," 0.542727756133643"
"MIMIC","ventilation_bin","Non-white & Yes-Treatment",11,15,0.626279863481232,0.0199884070978849,1.70298655106282e-215,"0.587103305461053"," 0.665456421501412"
"MIMIC","ventilation_bin","Non-white & Yes-Treatment",16,100,0.72307692307647,0.0392819623912553,1.14694302306706e-75,"0.646085691547552"," 0.800068154605387"
"MIMIC","ventilation_bin","White & Non-Treatment",0,5,0.423214522326737,0.00568743689192762,0,"0.412067350854214"," 0.434361693799259"
"MIMIC","ventilation_bin","White & Non-Treatment",6,10,0.573036719378179,0.00809832980839024,0,"0.557164284618807"," 0.588909154137551"
"MIMIC","ventilation_bin","White & Non-Treatment",11,15,0.771362586604737,0.020184988516107,0,"0.731800736084813"," 0.810924437124661"
"MIMIC","ventilation_bin","White & Non-Treatment",16,100,0.879999999975155,0.0650511504312156,1.07160073247481e-41,"0.752502087977075"," 1"
"MIMIC","ventilation_bin","White & Yes-Treatment",0,5,0.289783281734108,0.00798265157877237,1.52477139081399e-288,"0.274137572138582"," 0.305428991329633"
"MIMIC","ventilation_bin","White & Yes-Treatment",6,10,0.451689671689112,0.00767762443849076,0,"0.436641804302846"," 0.466737539075379"
"MIMIC","ventilation_bin","White & Yes-Treatment",11,15,0.633198789101911,0.0108268747724679,0,"0.611978504482748"," 0.654419073721073"
"MIMIC","ventilation_bin","White & Yes-Treatment",16,100,0.747422680411815,0.0220778854245597,3.17920637696875e-251,"0.704150820124876"," 0.790694540698754"
"MIMIC","ventilation_bin","Non-white & Non-Treatment",NA,NA,0.521822236380587,0.00891596499855453,0,"0.504347266096"," 0.539297206665173"
"MIMIC","ventilation_bin","Non-white & Yes-Treatment",NA,NA,0.503606279168436,0.0102988076664707,0,"0.483420987058448"," 0.523791571278424"
"MIMIC","ventilation_bin","White & Non-Treatment",NA,NA,0.484662576687146,0.00461331985358026,0,"0.475620635924965"," 0.493704517449327"
"MIMIC","ventilation_bin","White & Yes-Treatment",NA,NA,0.446745562333045,0.00502161323198661,0,"0.436903381254061"," 0.456587743412029"
"eICU","pressor","Non-white & Non-Treatment",0,5,0.0589486478450467,0.00410570864712904,9.5300510683051e-47,"0.0509016067656591"," 0.0669956889244342"
"eICU","pressor","Non-white & Non-Treatment",6,10,0.106077348512377,0.010236654723167,3.67230652599274e-25,"0.0860138739327974"," 0.126140823091956"
"eICU","pressor","Non-white & Non-Treatment",11,15,0.205882352941225,0.0693634525468775,0.00299580924506036,"0.0699324841059918"," 0.341832221776458"
"eICU","pressor","Non-white & Non-Treatment",16,100,0.639999999999995,NA,NA,"NA"," NA"
"eICU","pressor","Non-white & Yes-Treatment",0,5,0.198479087452516,0.0109991826273429,8.65299397536083e-73,"0.176921085643545"," 0.220037089261487"
"eICU","pressor","Non-white & Yes-Treatment",6,10,0.291795665635007,0.0126476109569752,9.01121834833611e-118,"0.267006803668862"," 0.316584527601153"
"eICU","pressor","Non-white & Yes-Treatment",11,15,0.541310541275248,0.0266040183776098,4.94109674856808e-92,"0.489167623411092"," 0.593453459139405"
"eICU","pressor","Non-white & Yes-Treatment",16,100,0.639999999999995,0.0962976746299005,3.01045201891814e-11,"0.451260025930434"," 0.828739974069557"
"eICU","pressor","White & Non-Treatment",0,5,0.070400110757799,0.0021284790540715,6.73130739758678e-240,"0.066228368469971"," 0.0745718530456271"
"eICU","pressor","White & Non-Treatment",6,10,0.135978297728116,0.0063122005074451,6.27424259575649e-103,"0.123606612070328"," 0.148349983385904"
"eICU","pressor","White & Non-Treatment",11,15,0.280991735537602,0.0408732531156665,6.21163727980427e-12,"0.200881631499906"," 0.361101839575298"
"eICU","pressor","White & Non-Treatment",16,100,0.715328467152884,NA,NA,"NA"," NA"
"eICU","pressor","White & Yes-Treatment",0,5,0.188664833486004,0.00483577528373053,0,"0.179186888092564"," 0.198142778879445"
"eICU","pressor","White & Yes-Treatment",6,10,0.295050270688613,0.00634189242741499,0,"0.282620389937052"," 0.307480151440174"
"eICU","pressor","White & Yes-Treatment",11,15,0.521021021020699,0.0136915278044692,0,"0.49418611963061"," 0.547855922410787"
"eICU","pressor","White & Yes-Treatment",16,100,0.715328467152902,0.038673106605688,2.19129240016169e-76,"0.639530571035475"," 0.791126363270328"
"eICU","pressor","Non-white & Non-Treatment",NA,NA,0.0702127659578369,0.00392857794269156,1.93797685185622e-71,"0.062512894679703"," 0.0779126372359708"
"eICU","pressor","Non-white & Yes-Treatment",NA,NA,0.282936640965749,0.00824712282691644,6.10448481753863e-258,"0.266772577248915"," 0.299100704682584"
"eICU","pressor","White & Non-Treatment",NA,NA,0.0828956382734766,0.00208335595465862,0,"0.0788123356353687"," 0.0869789409115846"
"eICU","pressor","White & Yes-Treatment",NA,NA,0.269432016380391,0.00386355983527525,0,"0.261859578251136"," 0.277004454509646"
"eICU","rrt","Non-white & Non-Treatment",0,5,0.0967816624217492,0.00449893577208635,1.19888399365845e-102,"0.0879639103397011"," 0.105599414503797"
"eICU","rrt","Non-white & Non-Treatment",6,10,0.215393452039258,0.00985289542467441,6.11856147717173e-106,"0.196082131863456"," 0.234704772215059"
"eICU","rrt","Non-white & Non-Treatment",11,15,0.567669172932332,0.0303831721438642,6.72332235869636e-78,"0.508119249794278"," 0.627219096070386"
"eICU","rrt","Non-white & Non-Treatment",16,100,0.599999999999986,0.155399704216711,0.000112918722034176,"0.295422176527055"," 0.904577823472917"
"eICU","rrt","Non-white & Yes-Treatment",0,5,0.128919860628661,0.0197813762920684,7.16156020214523e-11,"0.0901490755315727"," 0.16769064572575"
"eICU","rrt","Non-white & Yes-Treatment",6,10,0.21491228070194,0.019236600849346,5.58757237055292e-29,"0.177209235852249"," 0.252615325551631"
"eICU","rrt","Non-white & Yes-Treatment",11,15,0.386554621848736,0.0446517083265113,4.8388794059564e-18,"0.299038881680587"," 0.474070362016886"
"eICU","rrt","Non-white & Yes-Treatment",16,100,0.666666666666635,0.122093538495578,4.75345635865072e-08,"0.427367728470247"," 0.905965604863023"
"eICU","rrt","White & Non-Treatment",0,5,0.104151205451812,0.00214864213558046,0,"0.0999399442504096"," 0.108362466653215"
"eICU","rrt","White & Non-Treatment",6,10,0.234235510840669,0.00504179249329163,0,"0.224353779136293"," 0.244117242545045"
"eICU","rrt","White & Non-Treatment",11,15,0.524038461537632,0.015490627726647,7.29439520303676e-251,"0.493677389095486"," 0.554399533979778"
"eICU","rrt","White & Non-Treatment",16,100,0.794520547944896,0.047437293837328,5.77227444011774e-63,"0.701545160499689"," 0.887495935390102"
"eICU","rrt","White & Yes-Treatment",0,5,0.188220230473689,0.0139873431219649,2.8208218528763e-41,"0.160805541715234"," 0.215634919232144"
"eICU","rrt","White & Yes-Treatment",6,10,0.257518796993086,0.0134059449479047,3.09419309235611e-82,"0.231243627716466"," 0.283793966269706"
"eICU","rrt","White & Yes-Treatment",11,15,0.443099273924589,0.0244502081523176,2.11691747386369e-73,"0.395177746531539"," 0.491020801317639"
"eICU","rrt","White & Yes-Treatment",16,100,0.624999999999572,0.0607030098346781,7.3429598082327e-25,"0.506024286970423"," 0.743975713028722"
"eICU","rrt","Non-white & Non-Treatment",NA,NA,0.149936868686978,0.00448516011480376,5.103534547736e-245,"0.141146116397067"," 0.158727620976889"
"eICU","rrt","Non-white & Yes-Treatment",NA,NA,0.217787913340994,0.0139375063597923,4.84024848708834e-55,"0.190470902841503"," 0.245104923840485"
"eICU","rrt","White & Non-Treatment",NA,NA,0.153659139313237,0.00214064046865905,0,"0.149463561090817"," 0.157854717535658"
"eICU","rrt","White & Yes-Treatment",NA,NA,0.277347114556973,0.00929076159339147,8.28807210880182e-196,"0.259137556444978"," 0.295556672668969"
"eICU","ventilation_bin","Non-white & Non-Treatment",0,5,0.0619578686562,0.00424327449868233,2.75022265186625e-48,"0.0536412034622654"," 0.0702745338501346"
"eICU","ventilation_bin","Non-white & Non-Treatment",6,10,0.1321499013812,0.0106354984652638,1.90366589294181e-35,"0.111304707431652"," 0.152995095330748"
"eICU","ventilation_bin","Non-white & Non-Treatment",11,15,0.367346938775511,0.0688876159122183,9.68409036723993e-08,"0.232329692606735"," 0.502364184944287"
"eICU","ventilation_bin","Non-white & Non-Treatment",16,100,0.999999759523928,158758032.113013,0.999999994974211,"0"," 1"
"eICU","ventilation_bin","Non-white & Yes-Treatment",0,5,0.185050798258222,0.0104615160367664,5.12284470900411e-70,"0.164546603602472"," 0.205554992913972"
"eICU","ventilation_bin","Non-white & Yes-Treatment",6,10,0.28655959425226,0.0131466470030527,2.46855905713008e-105,"0.260792639608815"," 0.312326548895705"
"eICU","ventilation_bin","Non-white & Yes-Treatment",11,15,0.532738095231034,0.0272261103851558,2.94557395521435e-85,"0.479375899437016"," 0.586100291025051"
"eICU","ventilation_bin","Non-white & Yes-Treatment",16,100,0.639999999999995,0.0962976747425906,3.01045217790443e-11,"0.451260025709565"," 0.828739974290425"
"eICU","ventilation_bin","White & Non-Treatment",0,5,0.0717793474606622,0.00211714884947558,5.8598858583285e-252,"0.0676298119657796"," 0.0759288829555447"
"eICU","ventilation_bin","White & Non-Treatment",6,10,0.163221228016909,0.00649195018336832,1.72451814503069e-139,"0.150497239468079"," 0.175945216565739"
"eICU","ventilation_bin","White & Non-Treatment",11,15,0.480198019802192,0.0351618436011884,1.83906303193243e-42,"0.411282072713833"," 0.549113966890552"
"eICU","ventilation_bin","White & Non-Treatment",16,100,0.999999999821271,9.43724493061509e-06,0,"0.999981503161094"," 1"
"eICU","ventilation_bin","White & Yes-Treatment",0,5,0.193406234698788,0.00504599956044129,0,"0.183516257294318"," 0.203296212103258"
"eICU","ventilation_bin","White & Yes-Treatment",6,10,0.286475409836415,0.00647230958820082,0,"0.273789916146748"," 0.299160903526082"
"eICU","ventilation_bin","White & Yes-Treatment",11,15,0.504396482813747,0.0141397826974979,1.06874238707029e-278,"0.476683017977429"," 0.532109947650066"
"eICU","ventilation_bin","White & Yes-Treatment",16,100,0.711111111110771,0.0391301792149602,8.45164143897459e-74,"0.634417369140851"," 0.78780485308069"
"eICU","ventilation_bin","Non-white & Non-Treatment",NA,NA,0.0820321603355883,0.00418921140754151,2.21213582546661e-85,"0.0738214568531826"," 0.090242863817994"
"eICU","ventilation_bin","Non-white & Yes-Treatment",NA,NA,0.270020533881344,0.00821333125860384,4.86130098371031e-237,"0.253922700421383"," 0.286118367341304"
"eICU","ventilation_bin","White & Non-Treatment",NA,NA,0.092572364827783,0.00214194460425928,0,"0.0883742305465549"," 0.0967704991090111"
"eICU","ventilation_bin","White & Yes-Treatment",NA,NA,0.267086258372089,0.00397438290902259,0,"0.259296611009633"," 0.274875905734545"
