"","cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","CI","n"
"1","MIMIC","pressor","Non-white & Non-Treatment",0,100,0.509238960225489,0.00884717109412777,0,"c(0.491898823515935, 0.526579096935043)",27034
"2","MIMIC","pressor","Non-white & Non-Treatment",0,5,0.449050949200739,0.0111170054512457,0,"c(0.427262018900362, 0.470839879501116)",13301
"3","MIMIC","pressor","Non-white & Non-Treatment",6,10,0.614259597806239,0.0147175823284521,0,"c(0.58541366650297, 0.643105529109508)",10056
"4","MIMIC","pressor","Non-white & Non-Treatment",11,15,0.563829786556859,0.0511572986099111,3.01025692852604e-28,"c(0.463563323735073, 0.664096249378646)",3124
"5","MIMIC","pressor","Non-white & Non-Treatment",16,100,0.666666666666664,0.50169178805732,0.183901715398037,"c(0, 1)",553
"6","MIMIC","pressor","Non-white & Yes-Treatment",0,100,0.520625271384852,0.0104102521857563,0,"c(0.50022155203079, 0.541028990738914)",27034
"7","MIMIC","pressor","Non-white & Yes-Treatment",0,5,0.287356321839461,0.0198074090849356,1.08580515270334e-47,"c(0.248534513405936, 0.326178130272986)",13301
"8","MIMIC","pressor","Non-white & Yes-Treatment",6,10,0.520894071914165,0.0155741512190496,2.93616060080857e-245,"c(0.490369296435048, 0.551418847393283)",10056
"9","MIMIC","pressor","Non-white & Yes-Treatment",11,15,0.671544715447095,0.018941202946635,2.5013429148203e-275,"c(0.634420639847826, 0.708668791046363)",3124
"10","MIMIC","pressor","Non-white & Yes-Treatment",16,100,0.729927007298767,0.0379675906116043,2.28630093686765e-82,"c(0.655511897120262, 0.804342117477273)",553
"11","MIMIC","pressor","White & Non-Treatment",0,100,0.474695707880762,0.00477716990954672,0,"c(0.465332626910022, 0.484058788851502)",27034
"12","MIMIC","pressor","White & Non-Treatment",0,5,0.426499933484099,0.00570453529209417,0,"c(0.415319249763057, 0.437680617205142)",13301
"13","MIMIC","pressor","White & Non-Treatment",6,10,0.572923272035521,0.00880829670961389,0,"c(0.555659327719535, 0.590187216351507)",10056
"14","MIMIC","pressor","White & Non-Treatment",11,15,0.674698795180653,0.0296939276954134,2.72941975587179e-114,"c(0.616499766338106, 0.732897824023199)",3124
"15","MIMIC","pressor","White & Non-Treatment",16,100,0.857142857142743,0.132379760782385,9.48883103165407e-11,"c(0.597683293727242, 1)",553
"16","MIMIC","pressor","White & Yes-Treatment",0,100,0.459900103694943,0.00483836553561468,0,"c(0.450417081501099, 0.469383125888788)",27034
"17","MIMIC","pressor","White & Yes-Treatment",0,5,0.283435582822466,0.0078933676414562,2.28597218150004e-282,"c(0.267964866528478, 0.298906299116454)",13301
"18","MIMIC","pressor","White & Yes-Treatment",6,10,0.466415568118964,0.00721674190178614,0,"c(0.452271013905742, 0.480560122332186)",10056
"19","MIMIC","pressor","White & Yes-Treatment",11,15,0.656048014773755,0.010208384461241,0,"c(0.636039948889385, 0.676056080658126)",3124
"20","MIMIC","pressor","White & Yes-Treatment",16,100,0.753694581280262,0.0214025090647878,1.16856461511332e-271,"c(0.711746434334486, 0.795642728226038)",553
