"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.00854513880406427,-0.0176592540152963,0.0347495316234248,0.522726984270947,5316
"2","ventilation_bin","all",4,6,-0.0163041983842824,-0.0383706643371171,0.00576226756855222,0.147566536933242,6960
"3","ventilation_bin","all",7,10,-0.0291321129862968,-0.0581038952109218,-0.000160330761671847,0.0487414129734264,4387
"4","ventilation_bin","all",11,100,-0.085521137331526,-0.144743028224758,-0.0262992464382943,0.00464903588661476,1780
"5","ventilation_bin","non-white",0,3,-0.00176114550652157,-0.0602851464353866,0.0567628554223435,0.95296668228618,944
"6","ventilation_bin","non-white",4,6,-0.0158382162144756,-0.0704396356351471,0.0387632032061958,0.569670680400836,1177
"7","ventilation_bin","non-white",7,10,-0.062014075112005,-0.130966505777726,0.00693835555371609,0.0779385280648362,800
"8","ventilation_bin","non-white",11,100,-0.143507847484654,-0.279352202613174,-0.00766349235613417,0.038398905404415,386
"9","ventilation_bin","white",0,3,0.0116467323059912,-0.017395919066264,0.0406893836782463,0.431866048038555,4372
"10","ventilation_bin","white",4,6,-0.016656566489025,-0.0407996124686223,0.00748647949057227,0.176302819046677,5783
"11","ventilation_bin","white",7,10,-0.0234817199874425,-0.0557264302630426,0.00876299028815766,0.153481858938904,3587
"12","ventilation_bin","white",11,100,-0.0840203554945346,-0.146879566154045,-0.0211611448350243,0.00879758633099258,1394
"13","rrt","all",0,3,0.300694039714186,0.278255630535977,0.323132448892395,4.73119565629676e-152,5316
"14","rrt","all",4,6,0.205470930503261,0.166719587314747,0.244222273691775,2.68251193661024e-25,6960
"15","rrt","all",7,10,0.103788699149553,0.058022538922204,0.149554859376903,8.79341466942278e-06,4387
"16","rrt","all",11,100,0.0100816806777712,-0.0397147035923801,0.0598780649479224,0.69150178698843,1780
"17","rrt","non-white",0,3,0.144963767557099,0.0798621317354914,0.210065403378708,1.27477472897858e-05,944
"18","rrt","non-white",4,6,0.0874974921458718,-0.00933033872999778,0.184325323021741,0.0765383848882894,1177
"19","rrt","non-white",7,10,-0.00901425117228571,-0.100857789835319,0.0828292874907474,0.847452468798883,800
"20","rrt","non-white",11,100,0.0429573885871303,-0.0745805239783149,0.160495301152575,0.473784724807245,386
"21","rrt","white",0,3,0.300976304869254,0.27599074400858,0.325961865729927,3.0296328437379e-123,4372
"22","rrt","white",4,6,0.239975707880297,0.197466458424938,0.282484957335656,1.86070098221205e-28,5783
"23","rrt","white",7,10,0.128939169229281,0.0774088339789082,0.180469504479654,9.3756014360023e-07,3587
"24","rrt","white",11,100,0.00742698081213511,-0.047977202067702,0.0628311636919723,0.792751159592123,1394
"25","pressor","all",0,3,-0.0419200194381418,-0.0703548833289317,-0.013485155547352,0.0038582484418998,5316
"26","pressor","all",4,6,-0.103124176647278,-0.124426857219281,-0.0818214960752748,2.35132855304356e-21,6960
"27","pressor","all",7,10,-0.069801136590712,-0.102678168576391,-0.0369241046050329,3.16481761314459e-05,4387
"28","pressor","all",11,100,0.0417612951546409,-0.0338645152683526,0.117387105577634,0.279105596505284,1780
"29","pressor","non-white",0,3,0.0289784231090437,-0.0368890348161549,0.0948458810342422,0.388520779580288,944
"30","pressor","non-white",4,6,-0.120947896721874,-0.175181913171311,-0.0667138802724382,1.23668434762615e-05,1177
"31","pressor","non-white",7,10,-0.0703619492959012,-0.141892542102906,0.00116864351110331,0.0538578429206677,800
"32","pressor","non-white",11,100,0.133240562424432,-0.0653775867829678,0.331858711631832,0.188562978604115,386
"33","pressor","white",0,3,-0.0599396735031705,-0.090543758220051,-0.0293355887862899,0.000123656834713047,4372
"34","pressor","white",4,6,-0.0974388391223975,-0.120702712691552,-0.0741749655532433,2.22481127236262e-16,5783
"35","pressor","white",7,10,-0.0695044428445956,-0.106889129649155,-0.0321197560400359,0.00026846386598864,3587
"36","pressor","white",11,100,0.025194199455398,-0.0569831866746518,0.107371585585448,0.547904651079774,1394
