"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
<<<<<<< HEAD
"1","blood_yes","mech_vent","MIMIC","all","0","0.1","0.0517517380998925","0.0321864786001098","0.0713169975996753","2.16754450352833e-07","8670","SL.glm SL.glmnet","0.15300781511434 0.84699218488566","0.800655673031423 0.199344326968577"
"2","blood_yes","mech_vent","MIMIC","all","0.1","0.2","0.0315194870288873","0.00148189358307705","0.0615570804746975","0.0397154890807358","4785","SL.glm SL.glmnet","0.0602388354902165 0.939761164509784","0.0870038656190503 0.91299613438095"
"3","blood_yes","mech_vent","MIMIC","all","0.2","0.3","0.0617185135107555","0.03037121982652","0.0930658071949911","0.000113865607161459","2148","SL.glm SL.glmnet","0 1","0.2187176446896 0.7812823553104"
"4","blood_yes","mech_vent","MIMIC","all","0.3","1","0.0498810765589898","0.0228984738970525","0.0768636792209271","0.000290832864234475","2840","SL.glm SL.glmnet","0 1","0.625910198379825 0.374089801620175"
"5","blood_yes","rrt","MIMIC","all","0","0.1","0.00351091035939632","-0.00803472092341007","0.0150565416422027","0.551164345382778","8670","SL.glm SL.glmnet","0.165704314906426 0.834295685093574","0.045951865199735 0.954048134800265"
=======
"1","blood_yes","mech_vent","MIMIC","all","0","0.1","0.05189403604737","0.0452597284274304","0.0585283436673095","4.72709922346861e-53","8670","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.226689904257789 0 0.669840305416946 0.103469790325265 0","0 0 0.491158788688175 0.508841211311825 0"
"2","blood_yes","mech_vent","MIMIC","all","0.1","0.2","0.0656590344322148","0.0559880951285348","0.0753299737358948","2.1062539385039e-40","4785","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.145420728762335 0 0.591074274335318 0.263504996902347 0","0 0 0.565068676611995 0.434931323388005 0"
"3","blood_yes","mech_vent","MIMIC","all","0.2","0.3","0.0681733431219038","0.0529897208863322","0.0833569653574753","1.36505216258286e-18","2148","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.421369939579238 0.570244439342947 0.00838562107781545 0","0.129749648133345 0 0.477586243842414 0.392664108024241 0"
"4","blood_yes","mech_vent","MIMIC","all","0.3","1","0.0435989320657704","0.0310901966993565","0.0561076674321843","8.40087564577621e-12","2840","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.215895984251661 0.633726896654354 0.150377119093984 0","0.193128961719796 0 0.338807846418501 0.468063191861703 0"
"5","blood_yes","rrt","MIMIC","all","0","0.1","-0.00627433265120733","-0.0119235572673381","-0.000625108035076517","0.0294894174817655","8670","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.140601593328855 0 0.706775823373432 0.152622583297713 0","0.310773316038986 0 0.459612498233657 0.229614185727357 0"
"6","blood_yes","rrt","MIMIC","all","0.1","0.2","0.0229738433672416","0.0142250027404815","0.0317226839940017","2.64935279210967e-07","4785","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.12614394249846 0 0.631365400628466 0.242490656873074 0","0.300752234300514 0.0362949756392209 0.607287984994876 0.0556648050653898 0"
"7","blood_yes","rrt","MIMIC","all","0.2","0.3","0.0276817432155774","0.0125674773376304","0.0427960090935243","0.000331013671877298","2148","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0974479794262342 0.226726009159617 0.674896589025724 0.000929422388425387 0","0.122850358062942 0.385858373272911 0.374154428102132 0.117136840562015 0"
"8","blood_yes","rrt","MIMIC","all","0.3","1","-0.000310618503909996","-0.0137580543610108","0.0131368173531908","0.963889322727024","2840","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.100579873504799 0.67819626261746 0.221223863877741 0","0.300456100171052 0 0.388212934609685 0.311330965219264 0"
"9","blood_yes","pressor","MIMIC","all","0","0.1","0.0207547214961822","0.0143604340423395","0.0271490089500248","1.99387505872201e-10","8670","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.16704052107991 0 0.659568987219884 0.173390491700207 0","0 0 0.696487934600044 0.303512065399956 0"
"10","blood_yes","pressor","MIMIC","all","0.1","0.2","0.00491851103060739","-0.00543468778987575","0.0152717098510905","0.351780946413251","4785","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.133621751221717 0 0.643072290128578 0.223305958649706 0","0.175966598894428 0 0.552076060772954 0.271957340332618 0"
"11","blood_yes","pressor","MIMIC","all","0.2","0.3","0.0315029347314505","0.0150226496758218","0.0479832197870792","0.000179216534855382","2148","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0578057364056697 0.306948142793445 0.635246120800886 0 0","0.317335034252713 0 0.465481209563185 0.217183756184102 0"
"12","blood_yes","pressor","MIMIC","all","0.3","1","0.0274736877889281","0.0144986448204605","0.0404487307573956","3.32251480250116e-05","2840","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.235107485301577 0.591615798719559 0.173276715978864 0","0.269464375979657 0 0.514182111906734 0.216353512113608 0"
>>>>>>> e294c94c04a2da5978d99a07355590018fd3aa7d
