"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","insulin_yes","mech_vent","MIMIC","all","0","0.1","0.0669131657556916","0.0198481996320392","0.113978131879344","0.00532691737863754","1191","SL.glm SL.mean","0.90442412594217 0.0955758740578298","0.932221779056568 0.0677782209434322"
"2","insulin_yes","mech_vent","MIMIC","all","0.1","0.2","-0.0220615538978819","-0.11775793327294","0.073634825477176","0.65137526528472","433","SL.glm SL.mean","0.638718812746149 0.361281187253851","0.866380241237033 0.133619758762967"
"3","insulin_yes","mech_vent","MIMIC","all","0.2","0.3","-0.0476917651677806","-0.200005877954096","0.104622347618535","0.539410599876613","163","SL.glm SL.mean","0.383314714766951 0.616685285233049","0.84929034741022 0.15070965258978"
"4","insulin_yes","mech_vent","MIMIC","all","0.3","1","0.0285909633572764","-0.0806584682690899","0.137840394983643","0.607994030044242","252","SL.glm SL.mean","0.223460932080494 0.776539067919506","0.75244825813249 0.24755174186751"
"5","insulin_yes","rrt","MIMIC","all","0","0.1","0.0155581101393816","-0.0281787973957188","0.059295017674482","0.485670143139446","1191","SL.glm SL.mean","0.896987711436103 0.103012288563897","0.745772866007524 0.254227133992476"
"6","insulin_yes","rrt","MIMIC","all","0.1","0.2","-0.0921096215184823","-0.132948669583079","-0.0512705734538853","9.84075679258336e-06","433","SL.glm SL.mean","0.624343192545821 0.375656807454179","0.41116855531167 0.58883144468833"
"7","insulin_yes","rrt","MIMIC","all","0.2","0.3","0.0361387707215211","-0.154096708537591","0.226374249980633","0.709640846397555","163","SL.glm SL.mean","0.257014757792883 0.742985242207117","0 1"
"8","insulin_yes","rrt","MIMIC","all","0.3","1","0.11689182925641","-0.0337065380535424","0.267490196566363","0.1281800913413","252","SL.glm SL.mean","0.369261601624826 0.630738398375174","0.563822745037721 0.436177254962279"
"9","insulin_yes","pressor","MIMIC","all","0","0.1","0.054778473078429","0.0161937648618167","0.0933631812950414","0.00539252521891828","1191","SL.glm SL.mean","0.907954324682438 0.0920456753175623","0.974213022270495 0.0257869777295053"
"10","insulin_yes","pressor","MIMIC","all","0.1","0.2","0.0982668748873025","-0.00768615882338615","0.204219908597991","0.0690923254837153","433","SL.glm SL.mean","0.670608835243271 0.329391164756729","0.758071531279928 0.241928468720072"
"11","insulin_yes","pressor","MIMIC","all","0.2","0.3","0.0900118652944986","-0.105186082617703","0.2852098132067","0.366092358149701","163","SL.glm SL.mean","0.361049744559363 0.638950255440637","0.841877634232355 0.158122365767645"
"12","insulin_yes","pressor","MIMIC","all","0.3","1","0.0326695569508545","-0.113816134854836","0.179155248756545","0.662021818455773","252","SL.glm SL.mean","0.306174868354607 0.693825131645393","0.909885822941611 0.0901141770583885"
