"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mv_elig","MIMIC","white","0","0.1","0.173900015692301","0.127806622395104","0.219993408989497","1.41792334976002e-13","916","SL.glm SL.mean","0.526144118072809 0.473855881927191","0.784262096624437 0.215737903375563"
"2","mortality_in","mv_elig","MIMIC","white","0.1","0.2","0.0665399388771447","-0.0719646336758325","0.205044511430122","0.346388688563444","348","SL.glm SL.mean","0.231886804050011 0.768113195949989","0.860654052869617 0.139345947130383"
"3","mortality_in","mv_elig","MIMIC","white","0.2","0.3","0.0496927102430196","-0.103945456795416","0.203330877281455","0.526118567430126","135","SL.glm SL.mean","0.219815964728261 0.780184035271739","0.736362125824154 0.263637874175847"
"4","mortality_in","mv_elig","MIMIC","white","0.3","1","0.0537592178962286","-0.0411265266032989","0.148644962395756","0.266795212427319","211","SL.glm SL.mean","0.387627882581543 0.612372117418457","0.679446556247424 0.320553443752576"
"5","mortality_in","mv_elig","MIMIC","non-white","0","0.1","-0.0450865527839155","-0.0706487330095195","-0.0195243725583115","0.000546130779176789","275","SL.glm SL.mean","0.110777100929207 0.889222899070793","0.602647271715506 0.397352728284494"
"6","mortality_in","mv_elig","MIMIC","non-white","0.1","0.2","0.064117494016753","-0.0979116323901815","0.226146620423687","0.437983385693711","85","SL.glm SL.mean","0.00489316980103723 0.995106830198963","0.3061012323396 0.6938987676604"
"7","mortality_in","mv_elig","MIMIC","non-white","0.2","0.3","-0.0822902464424144","-0.312424966662838","0.147844473778009","0.483399439421415","28","SL.glm SL.mean","0.586164351999045 0.413835648000955","0.501022877613526 0.498977122386474"
"8","mortality_in","mv_elig","MIMIC","non-white","0.3","1","-0.0258199791954523","-0.241493457115744","0.18985349872484","0.814482638356089","41","SL.glm SL.mean","0.14056958288595 0.85943041711405","0 1"
"9","mortality_in","rrt_elig","MIMIC","white","0","0.1","0.045673602221677","0.00408045632935914","0.0872667481139949","0.031374997106202","916","SL.glm SL.mean","0.453185859377944 0.546814140622056","0.195315685990494 0.804684314009506"
"10","mortality_in","rrt_elig","MIMIC","white","0.1","0.2","-0.0288559207310377","-0.0964123132358047","0.0387004717737294","0.402485208607947","348","SL.glm SL.mean","0.406200543982607 0.593799456017393","0.0990690676780136 0.900930932321986"
"11","mortality_in","rrt_elig","MIMIC","white","0.2","0.3","-0.126942013991906","-0.310942083914614","0.0570580559308016","0.176308818450164","135","SL.glm SL.mean","0.2453417533608 0.7546582466392","0.0416072012126507 0.958392798787349"
"12","mortality_in","rrt_elig","MIMIC","white","0.3","1","0.296181772507025","0.23179805371388","0.36056549130017","1.94181386848406e-19","211","SL.glm SL.mean","0.428981347731855 0.571018652268145","0.294158462944272 0.705841537055728"
"13","mortality_in","rrt_elig","MIMIC","non-white","0","0.1","-0.047101052661187","-0.0731161849644885","-0.0210859203578854","0.000387241683346375","275","SL.glm SL.mean","0.395501216492596 0.604498783507404","0.416720896050595 0.583279103949405"
"14","mortality_in","rrt_elig","MIMIC","non-white","0.1","0.2","0.0953394787581122","-0.0168952050061572","0.207574162522382","0.0959223020506728","85","SL.glm SL.mean","0.427264080921706 0.572735919078294","0.356644490200955 0.643355509799045"
