"","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","MIMIC","white","0","0.1","0.0541391491046083","0.0362539492553241","0.0720243489538926","2.97464908512712e-09","7072"
"2","ventilation_bin","MIMIC","white","0.1","0.2","0.0443193755701508","0.0171170824551878","0.0715216686851138","0.00140640734257427","3949"
"3","ventilation_bin","MIMIC","white","0.2","0.3","0.0122145441946039","-0.0326699697767852","0.057099058165993","0.593770488943798","1785"
"4","ventilation_bin","MIMIC","white","0.3","1","0.0836793326407542","0.0504598170450887","0.11689884823642","7.9250967418615e-07","2330"
"5","ventilation_bin","MIMIC","non-white","0","0.1","0.0284205097588123","-0.00372788218581512","0.0605689017034396","0.0831452408712301","1598"
"6","ventilation_bin","MIMIC","non-white","0.1","0.2","0.0770036975085661","-0.0069659533778646","0.160973348394997","0.0722717692975312","836"
"7","ventilation_bin","MIMIC","non-white","0.2","0.3","0.0770688189133001","-0.00863895971519864","0.162776597541799","0.0779948520237891","363"
"8","ventilation_bin","MIMIC","non-white","0.3","1","0.0842993601505598","0.0174500207655451","0.151148699535574","0.0134499128334737","510"
"9","rrt","MIMIC","white","0","0.1","0.0580067537558835","0.0413037992098298","0.0747097083019372","9.98115121440153e-12","7072"
"10","rrt","MIMIC","white","0.1","0.2","0.0693127531985008","0.0396486359510949","0.0989768704459067","4.65625439982491e-06","3949"
"11","rrt","MIMIC","white","0.2","0.3","0.13206295353171","0.0815046416861691","0.18262126537725","3.06022082775993e-07","1785"
"12","rrt","MIMIC","white","0.3","1","0.0514823232585455","0.00410564075668041","0.0988590057604105","0.0331837789386766","2330"
"13","rrt","MIMIC","non-white","0","0.1","-0.0636814423389353","-0.0857171519778165","-0.0416457327000541","1.47674504910486e-08","1598"
"14","rrt","MIMIC","non-white","0.1","0.2","0.0269212947827316","-0.0499636977391763","0.103806287304639","0.492527496302215","836"
"15","rrt","MIMIC","non-white","0.2","0.3","0.119104957266596","-0.00911591210833229","0.247325826641525","0.068659614028059","363"
"16","rrt","MIMIC","non-white","0.3","1","-0.0845825760444606","-0.171855357515686","0.00269020542676429","0.057487929612025","510"
"17","pressor","MIMIC","white","0","0.1","0.0249222890688134","0.00474347981818049","0.0451010983194463","0.0154888753757739","7072"
"18","pressor","MIMIC","white","0.1","0.2","0.0538794931002215","0.0210867618954056","0.0866722243050374","0.00128037791952712","3949"
"19","pressor","MIMIC","white","0.2","0.3","0.0782045306354195","0.0323409106141675","0.124068150656671","0.000831466060154923","1785"
"20","pressor","MIMIC","white","0.3","1","0.084155140085288","0.0355603744009948","0.132749905769581","0.000688101628760151","2330"
"21","pressor","MIMIC","non-white","0","0.1","0.0483142862354422","0.0185418341571623","0.0780867383137222","0.00146940762798051","1598"
"22","pressor","MIMIC","non-white","0.1","0.2","0.057609921709005","-0.00369936071767709","0.118919204135687","0.0655139332282667","836"
"23","pressor","MIMIC","non-white","0.2","0.3","0.0689992021860557","-0.0381671460632444","0.176165550435356","0.206967238290553","363"
"24","pressor","MIMIC","non-white","0.3","1","0.0640531595008649","-0.0439517402309736","0.172058059232703","0.245075665356828","510"
