"","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","MIMIC","all","0","0.1","0.0541758452965303","0.0357495588182617","0.072602131774799","8.27922883734455e-09","8670"
"2","ventilation_bin","MIMIC","all","0.1","0.2","0.0620753447468065","0.0358520523694042","0.0882986371242088","3.48949695438007e-06","4785"
"3","ventilation_bin","MIMIC","all","0.2","0.3","0.0734996255219755","0.0362350580044882","0.110764193039463","0.000110702506059249","2148"
"4","ventilation_bin","MIMIC","all","0.3","1","0.0450620865094478","0.0184102925458043","0.0717138804730914","0.000920005839363309","2840"
"5","ventilation_bin","MIMIC","white","0","0.1","0.0550802576717143","0.0367312320024237","0.0734292833410049","4.01572591908041e-09","8670"
"6","ventilation_bin","MIMIC","white","0.1","0.2","0.0634314152033664","0.0367296056591375","0.0901332247475954","3.2229773697376e-06","4785"
"7","ventilation_bin","MIMIC","white","0.2","0.3","0.0743948383985256","0.0367130731178817","0.11207660367917","0.000109007839833008","2148"
"8","ventilation_bin","MIMIC","white","0.3","1","0.0433613903580707","0.0174186476063533","0.069304133109788","0.00105290000089871","2840"
"9","ventilation_bin","MIMIC","non-white","0","0.1","0.0546585558530051","0.0362482698952251","0.0730688418107852","5.9175435284653e-09","8670"
"10","ventilation_bin","MIMIC","non-white","0.1","0.2","0.0640666588497872","0.0373796081214718","0.0907537095781027","2.53489577842957e-06","4785"
"11","ventilation_bin","MIMIC","non-white","0.2","0.3","0.0786977584272525","0.0411901767364873","0.116205340118018","3.9150252743395e-05","2148"
"12","ventilation_bin","MIMIC","non-white","0.3","1","0.0366966564360507","0.0103090182889277","0.0630842945831738","0.00641604179359128","2840"
"13","rrt","MIMIC","all","0","0.1","-0.00282766009877571","-0.0166174915284436","0.0109621713308922","0.687753324118721","8670"
"14","rrt","MIMIC","all","0.1","0.2","0.0251882483404267","-0.00313602819409513","0.0535125248749485","0.0813351396473643","4785"
"15","rrt","MIMIC","all","0.2","0.3","0.00672928950198458","-0.0232107052798705","0.0366692842838396","0.659554703398246","2148"
"16","rrt","MIMIC","all","0.3","1","0.00297317211302141","-0.0308492457937851","0.0367955900198279","0.863205990409141","2840"
"17","rrt","MIMIC","white","0","0.1","-0.00172661223628034","-0.0156453360137309","0.0121921115411702","0.80789908886092","8670"
"18","rrt","MIMIC","white","0.1","0.2","0.0239166075552207","-0.00430202306961995","0.0521352381800613","0.0966749816877902","4785"
"19","rrt","MIMIC","white","0.2","0.3","0.000188184399623523","-0.033221418041686","0.0335977868409331","0.991191547415061","2148"
"20","rrt","MIMIC","white","0.3","1","0.00374134430352331","-0.0291575771568568","0.0366402657639034","0.823616524446803","2840"
"21","rrt","MIMIC","non-white","0","0.1","-0.0020052770352486","-0.0159819965260519","0.0119714424555547","0.778552095210232","8670"
"22","rrt","MIMIC","non-white","0.1","0.2","0.024811405642767","-0.00395956819851662","0.0535823794840507","0.0909786971773977","4785"
"23","rrt","MIMIC","non-white","0.2","0.3","0.00808342872285273","-0.0236386491210644","0.0398055065667699","0.617463989667782","2148"
"24","rrt","MIMIC","non-white","0.3","1","0.0104593846925888","-0.0245842027155599","0.0455029721007376","0.558549724474108","2840"
"25","pressor","MIMIC","all","0","0.1","0.00954086456011712","-0.00429846951029893","0.0233801986305332","0.176622434675846","8670"
"26","pressor","MIMIC","all","0.1","0.2","-0.0178875926729643","-0.0400739220791067","0.00429873673317803","0.114052363864232","4785"
"27","pressor","MIMIC","all","0.2","0.3","0.040941281778542","0.00499512982968557","0.0768874337273985","0.0255908843661689","2148"
"28","pressor","MIMIC","all","0.3","1","0.0309672028259228","0.00578012144210687","0.0561542842097388","0.0159614606782085","2840"
"29","pressor","MIMIC","white","0","0.1","0.00908301051270483","-0.00479493746789122","0.0229609584933009","0.199560413442356","8670"
"30","pressor","MIMIC","white","0.1","0.2","-0.0178986925013708","-0.0404963128734904","0.00469892787074875","0.120557110643171","4785"
"31","pressor","MIMIC","white","0.2","0.3","0.0420902259033606","0.00604825774188535","0.0781321940648359","0.0220845475745883","2148"
"32","pressor","MIMIC","white","0.3","1","0.0323814553329411","0.00635015336488005","0.0584127573010022","0.0147635355138596","2840"
"33","pressor","MIMIC","non-white","0","0.1","0.00985470337758032","-0.0040462510367938","0.0237556577919544","0.164684204721569","8670"
"34","pressor","MIMIC","non-white","0.1","0.2","-0.0143055572693512","-0.0363597762149835","0.00774866167628105","0.203599953795529","4785"
"35","pressor","MIMIC","non-white","0.2","0.3","0.0404747141158443","0.00441202114183752","0.0765374070898512","0.0278216240184419","2148"
"36","pressor","MIMIC","non-white","0.3","1","0.0321043700687846","0.00551636265097356","0.0586923774865956","0.0179497937952115","2840"
