"","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","MIMIC","white","0","0.1","0.0313617621063685","0.0253516655079986","0.0373718587047384","1.491217050466e-24","7072"
"2","ventilation_bin","MIMIC","white","0.1","0.2","0.089691306483859","0.0666294017438395","0.112753211223879","2.48342033430036e-14","3949"
"3","ventilation_bin","MIMIC","white","0.2","0.3","0.0625842417040792","0.0475856799056775","0.077582803502481","2.87498217867991e-16","1785"
"4","ventilation_bin","MIMIC","white","0.3","1","0.0225828642318932","-0.0100600635236282","0.0552257919874145","0.175112776752529","2330"
"5","ventilation_bin","MIMIC","non-white","0","0.1","0.0744430830417294","0.0615413148943153","0.0873448511891434","1.18186334656345e-29","1598"
"6","ventilation_bin","MIMIC","non-white","0.1","0.2","0.0714767553721919","0.0493311901385698","0.0936223206058139","2.51480481936479e-10","836"
"7","ventilation_bin","MIMIC","non-white","0.2","0.3","0.0926677182399957","0.0298764096967532","0.155459026783238","0.00382094874035129","363"
"8","ventilation_bin","MIMIC","non-white","0.3","1","0.0996760093785894","0.0711442364384369","0.128207782318742","7.52684156752227e-12","510"
"9","rrt","MIMIC","white","0","0.1","0.00241401450585109","-0.010284760411153","0.0151127894228552","0.709451747577625","7072"
"10","rrt","MIMIC","white","0.1","0.2","0.0151073826756503","0.00584792856193018","0.0243668367893704","0.00138449813380626","3949"
"11","rrt","MIMIC","white","0.2","0.3","0.10071761617913","0.0539660640530699","0.14746916830519","2.41651007104989e-05","1785"
"12","rrt","MIMIC","white","0.3","1","0.0467235703917609","0.0213494849281854","0.0720976558553365","0.000307233801581641","2330"
"13","rrt","MIMIC","non-white","0","0.1","0.0109437042857014","-0.0166471253935874","0.0385345339649902","0.436911067994983","1598"
"14","rrt","MIMIC","non-white","0.1","0.2","0.146970273625378","0.0830127038560313","0.210927843394725","6.67017102477688e-06","836"
"15","rrt","MIMIC","non-white","0.2","0.3","0.00420384449387143","-0.048616872060075","0.0570245610478179","0.876040431523959","363"
"16","rrt","MIMIC","non-white","0.3","1","0.0309480256614586","-0.0626520177778192","0.124548069100736","0.516948312692371","510"
"17","pressor","MIMIC","white","0","0.1","0.0277139390212438","0.0181629299721043","0.0372649480703832","1.29074158882797e-08","7072"
"18","pressor","MIMIC","white","0.1","0.2","-0.000573309106163836","-0.0158978069454724","0.0147511887331447","0.941546613090429","3949"
"19","pressor","MIMIC","white","0.2","0.3","0.0666232401951976","0.0449887444348135","0.0882577359555818","1.58174291270774e-09","1785"
"20","pressor","MIMIC","white","0.3","1","0.0505196337123504","0.0184212018451939","0.0826180655795069","0.00203662630850932","2330"
"21","pressor","MIMIC","non-white","0","0.1","0.0437300351118323","0.0136582586722271","0.0738018115514374","0.00436904137158559","1598"
"22","pressor","MIMIC","non-white","0.1","0.2","0.0216736951364317","-0.0243889024989218","0.0677362927717853","0.356407111542243","836"
"23","pressor","MIMIC","non-white","0.2","0.3","-0.0615991711284946","-0.118681133470849","-0.00451720878614035","0.0344209522264125","363"
"24","pressor","MIMIC","non-white","0.3","1","0.0357677616319592","-0.0487987381728427","0.120334261436761","0.40710986425273","510"
