"","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n"
"1","mech_vent","eICU","white","0","0.1","0.02052192690389","0.00403123354416668","0.0370126202636133","0.01472259215603","7517"
"2","mech_vent","eICU","white","0.1","0.2","0.0375034240004319","0.0112790109948096","0.0637278370060541","0.00506315766550846","3900"
"3","mech_vent","eICU","white","0.2","0.3","0.0440774068246025","0.00659560377468258","0.0815592098745224","0.0211723098367383","1875"
"4","mech_vent","eICU","white","0.3","1","-0.00568664818447792","-0.035347955096676","0.0239746587277202","0.707087863880803","3398"
"5","mech_vent","eICU","non-white","0","0.1","0.0144036933924661","-0.0150743074384061","0.0438816942233384","0.338211359160469","1826"
"6","mech_vent","eICU","non-white","0.1","0.2","0.0126199639130356","-0.0385249383079114","0.0637648661339827","0.628649587343296","802"
"7","mech_vent","eICU","non-white","0.2","0.3","0.0845350247189277","0.00652748945713431","0.162542559980721","0.0336694537289144","369"
"8","mech_vent","eICU","non-white","0.3","1","0.0583476753702455","-0.0156682226261127","0.132363573366604","0.122323776973815","891"
"9","rrt","eICU","white","0","0.1","0.0405284574651083","0.0232878414816031","0.0577690734486135","4.07580290848622e-06","7517"
"10","rrt","eICU","white","0.1","0.2","0.000165157724421175","-0.0288714026032595","0.0292017180521018","0.99110510432515","3900"
"11","rrt","eICU","white","0.2","0.3","0.0529758328457515","0.00496789553530838","0.100983770156195","0.0305548577815126","1875"
"12","rrt","eICU","white","0.3","1","0.0393546750414977","0.00970772807615507","0.0690016220068403","0.00927383198335081","3398"
"13","rrt","eICU","non-white","0","0.1","0.0405121625487367","0.00323725868443127","0.0777870664130421","0.0331532489960829","1826"
"14","rrt","eICU","non-white","0.1","0.2","0.0261688891492925","-0.0350920180501935","0.0874297963487785","0.402449047210687","802"
"15","rrt","eICU","non-white","0.2","0.3","0.00175745055347301","-0.10883146137246","0.112346362479406","0.975151656464381","369"
"16","rrt","eICU","non-white","0.3","1","0.011037821833648","-0.0468140427670796","0.0688896864343757","0.708436037069889","891"
"17","pressor","eICU","white","0","0.1","0.0165268399125854","0.00478512828796574","0.0282685515372051","0.00580204963587101","7517"
"18","pressor","eICU","white","0.1","0.2","0.0171222550722865","-0.000874052293592765","0.0351185624381658","0.0622086176619666","3900"
"19","pressor","eICU","white","0.2","0.3","0.0454332107833632","0.0169928743512905","0.0738735472154358","0.00174162112428008","1875"
"20","pressor","eICU","white","0.3","1","0.0268070237197827","0.00241918414195432","0.0511948632976111","0.0312068731661013","3398"
"21","pressor","eICU","non-white","0","0.1","0.036045469564035","0.00305364837223834","0.0690372907558317","0.0322407339504782","1826"
"22","pressor","eICU","non-white","0.1","0.2","-0.010879817154493","-0.0607628931776581","0.0390032588686722","0.66902355547006","802"
"23","pressor","eICU","non-white","0.2","0.3","-0.0104559762521331","-0.0914893600049923","0.0705774075007261","0.800341954274576","369"
"24","pressor","eICU","non-white","0.3","1","-0.0249010718608059","-0.0710627102712792","0.0212605665496674","0.290380617960251","891"
