"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","insulin_yes","mech_vent","eICU","all","0","0.1","0.0743259626202233","0.0632732435535001","0.0853786816869465","1.13836647574798e-39","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0212939938183702 0 0.717753665542025 0.260952340639604 0","0.0875509310691498 0 0.414560999703895 0.497888069226955 0"
"2","insulin_yes","mech_vent","eICU","all","0.1","0.2","0.0816172952267991","0.0648357709088626","0.0983988195447356","1.53538733068016e-21","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0980670614049972 0 0.475719568570611 0.426213370024392 0","0.162385019119789 0 0.435693465914124 0.401921514966088 0"
"3","insulin_yes","mech_vent","eICU","all","0.2","0.3","0.0593989196412117","0.0344564794699894","0.0843413598124341","3.04705821804146e-06","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.240240999557893 0 0.521517591382075 0.238241409060032 0","0.158437136781172 0 0.463812079289922 0.377750783928905 0"
"4","insulin_yes","mech_vent","eICU","all","0.3","1","0.0624919758280778","0.0437710478830127","0.0812129037731428","6.04426262781374e-11","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.248778728166279 0 0.42313671412723 0.32808455770649 0","0.195136396482797 0 0.301706838537878 0.503156764979325 0"
"5","insulin_yes","rrt","eICU","all","0","0.1","0.0305396534274227","0.0212224198947755","0.0398568869600698","1.32382661827932e-10","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0335251550736379 0 0.674301698591316 0.292173146335046 0","0.584956497369007 0 0.415043502630993 0 0"
"6","insulin_yes","rrt","eICU","all","0.1","0.2","0.00330224359394199","-0.0119542340854583","0.0185587212733422","0.671391300692376","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0665571832119538 0 0.442253249285293 0.491189567502754 0","0.494477575988384 0 0.373962534088234 0.131559889923382 0"
"7","insulin_yes","rrt","eICU","all","0.2","0.3","0.0703047249762854","0.0440578774741443","0.0965515724784265","1.52057955415254e-07","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.135009915767655 0 0.590747653445997 0.274242430786348 0","0.568037456181996 0 0.305441171732844 0.104077211715549 0.0224441603696107"
"8","insulin_yes","rrt","eICU","all","0.3","1","0.0326903936161108","0.0153479794644146","0.050032807767807","0.000220238797569559","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.295457970778712 0 0.503131246621436 0.201410782599852 0","0.417587046066315 0 0.423313937891586 0.1590990160421 0"
"9","insulin_yes","pressor","eICU","all","0","0.1","0.0347655167648251","0.0237404798235941","0.0457905537060562","6.3892580114106e-10","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.000887719423274056 0 0.647326216909272 0.351786063667454 0","0.14715820819779 0 0.474854963442635 0.377986828359575 0"
"10","insulin_yes","pressor","eICU","all","0.1","0.2","0.0256107927668022","0.00566710153229486","0.0455544840013095","0.01183776454343","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0814706212505112 0 0.3988626162273 0.519666762522189 0","0.32702302921203 0 0.245951084480737 0.427025886307233 0"
"11","insulin_yes","pressor","eICU","all","0.2","0.3","0.0533781479156136","0.0288980319581056","0.0778582638731215","1.92238112915155e-05","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.232548587553968 0 0.680911069478738 0.0865403429672936 0","0.254975184913129 0 0.540333715170683 0.204691099916188 0"
"12","insulin_yes","pressor","eICU","all","0.3","1","0.0996433680891956","0.0811587344699394","0.118128001708452","4.30269091403271e-26","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.293848433783779 0 0.433346449787401 0.27280511642882 0","0.356135316855196 0 0.381005665877839 0.262859017266965 0"
