"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mech_vent","eICU","white","0","0.1","0.0716436185890093","0.0652014679455968","0.0780857692324218","2.46110980452013e-105","7517","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.333420999709981 0.0691008539423922 0.541691282724048 0.0557868636235788 0","0.111363387656423 0 0.495724396157424 0.392912216186152 0"
"2","mortality_in","mech_vent","eICU","white","0.1","0.2","0.122632818658267","0.108960097205763","0.136305540110772","3.53354124287899e-69","3900","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.295173101732038 0 0.579809745806378 0.125017152461585 0","0.222298852624971 0 0.450814441337317 0.326886706037711 0"
"3","mortality_in","mech_vent","eICU","white","0.2","0.3","0.117466611229892","0.0941003869386823","0.140832835521101","6.63256673433221e-23","1875","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.479592043311498 0 0.463517403250032 0.0568905534384705 0","0.346247018567078 0 0.448156140235293 0.205596841197629 0"
"4","mortality_in","mech_vent","eICU","white","0.3","1","0.10635762866792","0.086550261333388","0.126164996002452","6.66743755837764e-26","3398","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.17479691215054 0 0.482566967304188 0.342636120545271 0","0.554616243630163 0 0.232115158679692 0.213268597690146 0"
"5","mortality_in","mech_vent","eICU","non-white","0","0.1","0.0605203973480089","0.0483515471685888","0.072689247527429","1.88438763675547e-22","1826","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.165263755109461 0.463979934313553 0.370756310576986 0 0","0.184419870530404 0.141144902065944 0.515024308440081 0.159410918963571 0"
"6","mortality_in","mech_vent","eICU","non-white","0.1","0.2","0.126548021319734","0.0919183791887702","0.161177663450699","7.9230386957128e-13","802","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.155463727773419 0.398860667595129 0.243710493915431 0.201965110716021 0","0.367630770291404 0 0.374999471931178 0.169619791365441 0.0877499664119773"
"7","mortality_in","mech_vent","eICU","non-white","0.2","0.3","0.098280141276755","0.0425324924438876","0.154027790109623","0.000549526295538347","369","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.146666877538448 0.303056885295925 0.550276237165628 0 0","0.0247930591529731 0.290100642842738 0.441863274106083 0.243243023898206 0"
"8","mortality_in","mech_vent","eICU","non-white","0.3","1","0.084115309484009","0.0509562323616646","0.117274386606353","6.62752419695529e-07","891","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.222716286777878 0.147187901650625 0.587952067506395 0.0421437440651017 0","0.610197105581746 0 0.389802894418254 0 0"
"9","mortality_in","rrt","eICU","white","0","0.1","0.0391358773004017","0.0342311067480308","0.0440406478527727","3.94106416623715e-55","7517","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.36617661942679 0 0.555017689771829 0.0788056908013809 0","0.427332751901553 0.0900480117469421 0.467750269285925 0.0148689670655798 0"
"10","mortality_in","rrt","eICU","white","0.1","0.2","0.073667124002781","0.0623798880089393","0.0849543599966227","1.81479149478438e-37","3900","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.192569627196567 0 0.520706513489957 0.286723859313476 0","0.0310845456095742 0.46817071041804 0.500732086881018 1.26570913672573e-05 0"
"11","mortality_in","rrt","eICU","white","0.2","0.3","0.0335831021593504","-0.0110976407494119","0.0782638450681127","0.140701882641176","1875","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.361615590398766 0.0724093502652658 0.401377025085097 0.164598034250871 0","0.135068984712132 0.732799572920189 0.0401747087880747 0.0919567335796044 0"
"12","mortality_in","rrt","eICU","white","0.3","1","0.0140357129638253","-0.00299713147855195","0.0310685574062026","0.106285858557613","3398","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.100649067878062 0 0.498515863910651 0.400835068211287 0","0.318835770951564 0.277596748626043 0.351919260725147 0.0516482196972462 0"
"13","mortality_in","rrt","eICU","non-white","0","0.1","0.0155564937124226","0.00385368426578316","0.0272593031590621","0.00917618395628106","1826","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.499846356081644 0.500153643918355 0 0","0.0393733118775005 0.677986335071662 0.282640353050838 0 0"
"14","mortality_in","rrt","eICU","non-white","0.1","0.2","0.0100297788263737","-0.0316967433896794","0.0517563010424268","0.637552179628726","802","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.258083749066267 0.166648183985637 0.530553859771073 0.0447142071770226 0","0.336267601648154 0 0.106234924354385 0.257664172045795 0.299833301951666"
"15","mortality_in","rrt","eICU","non-white","0.2","0.3","-0.0465268261371758","-0.132206217246979","0.0391525649726274","0.287171658875165","369","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.264689166197216 0.152634728520567 0.582676105282216 0 0","0 1 0 0 0"
"16","mortality_in","rrt","eICU","non-white","0.3","1","0.0933586142325591","0.0597920891315067","0.126925139333612","4.9988815121325e-08","891","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.139151853210868 0.189979636729869 0.667899104812528 0.00296940524673494 0","0.429002716577285 0.152311796136372 0.418685487286343 0 0"
"17","mortality_in","pressor","eICU","white","0","0.1","0.0394050630431902","0.0330445914074791","0.0457655346789014","6.26463716335629e-34","7517","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.314550314205236 0.0188231905635441 0.540915387187016 0.125711108044204 0","0.17244837002708 0 0.381214202875617 0.446337427097303 0"
"18","mortality_in","pressor","eICU","white","0.1","0.2","0.0604053612958471","0.0458396712216319","0.0749710513700623","4.35301040610955e-16","3900","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.225926422030847 0.0211752258092642 0.530480144960788 0.222418207199101 0","0.199691256393963 0 0.41317507677406 0.387133666831977 0"
"19","mortality_in","pressor","eICU","white","0.2","0.3","0.091273406524343","0.0671999334500939","0.115346879598592","1.07580222930128e-13","1875","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.429759885378023 0 0.477356996233123 0.0928831183888542 0","0.40739971237737 0 0.496276122934346 0.0963241646882834 0"
"20","mortality_in","pressor","eICU","white","0.3","1","0.0918365328262419","0.0717323123685706","0.111940753283913","3.44934841455825e-19","3398","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.180845385941057 0 0.388746764127711 0.430407849931231 0","0.317315765319043 0 0.330312089155185 0.352372145525772 0"
"21","mortality_in","pressor","eICU","non-white","0","0.1","0.0246511367582072","0.0125124335442312","0.0367898399721832","6.88152896155242e-05","1826","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.378955062535808 0.32033284054362 0.300712096920571 0 0","0.356996653755135 0.0695175399857155 0.379843538647853 0.193642267611297 0"
"22","mortality_in","pressor","eICU","non-white","0.1","0.2","0.0956771462714142","0.0590452697362208","0.132309022806608","3.06776515760532e-07","802","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.384198368215523 0.176012259007469 0.419726548367436 0.0200628244095724 0","0.647187524567741 0 0.271923069551194 0.0808894058810649 0"
"23","mortality_in","pressor","eICU","non-white","0.2","0.3","0.0542347693853296","-0.00503204579779597","0.113501584568455","0.0728792241863976","369","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.124266130422498 0.239497774962111 0.636236094615391 0 0","0.539807063210302 0 0.278458110521207 0 0.18173482626849"
