"","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","MIMIC","white","0","0.1","-0.0267549957233495","-0.0324018052859889","-0.0211081861607101","1.59261138023592e-20","7072"
"2","ventilation_bin","MIMIC","white","0.1","0.2","-0.0633531007538444","-0.073618648930732","-0.0530875525769569","1.10882875837431e-33","3949"
"3","ventilation_bin","MIMIC","white","0.2","0.3","-0.06544050515253","-0.0822180591004217","-0.0486629512046384","2.09043090823581e-14","1785"
"4","ventilation_bin","MIMIC","white","0.3","1","-0.0991311552140935","-0.114994436210972","-0.0832678742172151","1.71709160386565e-34","2330"
"5","ventilation_bin","MIMIC","non-white","0","0.1","-0.0265776363315788","-0.0397590515269308","-0.0133962211362268","7.75200506673149e-05","1598"
"6","ventilation_bin","MIMIC","non-white","0.1","0.2","-0.12713796292292","-0.150155078304343","-0.104120847541497","2.58360266859621e-27","836"
"7","ventilation_bin","MIMIC","non-white","0.2","0.3","-0.136969816296783","-0.185216787469913","-0.0887228451236523","2.63199976562288e-08","363"
"8","ventilation_bin","MIMIC","non-white","0.3","1","-0.124635201546202","-0.160939096588365","-0.08833130650404","1.70959685572092e-11","510"
"9","rrt","MIMIC","white","0","0.1","-0.00891497035737941","-0.0179610499086345","0.000131109193875696","0.0534097883553199","7072"
"10","rrt","MIMIC","white","0.1","0.2","-0.0380942818741862","-0.0483284796756151","-0.0278600840727573","2.9729241432512e-13","3949"
"11","rrt","MIMIC","white","0.2","0.3","-0.104488585670395","-0.121405895627255","-0.0875712757135346","9.84012383335666e-34","1785"
"12","rrt","MIMIC","white","0.3","1","-0.0340843652527597","-0.0588663009140194","-0.00930242959149992","0.00702350093926324","2330"
"13","rrt","MIMIC","non-white","0","0.1","-0.0797030201162779","-0.0974608996237115","-0.0619451406088443","1.40391722034877e-18","1598"
"14","rrt","MIMIC","non-white","0.1","0.2","0.0653674877930132","0.000676488997755603","0.130058486588271","0.0476478020222973","836"
"15","rrt","MIMIC","non-white","0.2","0.3","0.0899712763735827","-0.03747733064065","0.217419883387815","0.166467004676446","363"
"16","rrt","MIMIC","non-white","0.3","1","-0.176307689542366","-0.211617246329433","-0.1409981327553","1.28453622154596e-22","510"
"17","pressor","MIMIC","white","0","0.1","-0.0376653017944432","-0.0478446896845807","-0.0274859139043058","4.09748072466991e-13","7072"
"18","pressor","MIMIC","white","0.1","0.2","0.00743009347896206","-0.0135478136676083","0.0284080006255324","0.487553203459418","3949"
"19","pressor","MIMIC","white","0.2","0.3","-0.0629031212523592","-0.105491631864417","-0.0203146106403018","0.00379261230446974","1785"
"20","pressor","MIMIC","white","0.3","1","-0.0607414771499825","-0.100132395530992","-0.0213505587689733","0.00250817137028836","2330"
"21","pressor","MIMIC","non-white","0","0.1","-0.0438370872822366","-0.0699216500963409","-0.0177525244681323","0.000987975426259576","1598"
"22","pressor","MIMIC","non-white","0.1","0.2","-0.0427460902930228","-0.088602653369943","0.00311047278389745","0.0676919129735988","836"
"23","pressor","MIMIC","non-white","0.2","0.3","0.0867253705303254","0.0194703355776649","0.153980405482986","0.0114903970479527","363"
"24","pressor","MIMIC","non-white","0.3","1","-0.132508319515643","-0.206571883323606","-0.0584447557076808","0.000453755428679179","510"
