"","treatment","race","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.0735093596142788,0.0609322816929939,0.0860864375355637,2.20356482437987e-30,20753
"2","ventilation_bin","all",4,6,0.0609046531044936,0.049155052740951,0.0726542534680362,2.99813472811246e-24,20447
"3","ventilation_bin","all",7,10,0.0526580434507053,0.0353864804767357,0.0699296064246749,2.2909724898305e-09,11878
"4","ventilation_bin","all",11,100,-0.0296145518063423,-0.0701641314557799,0.0109350278430953,0.152302517958647,4604
"5","ventilation_bin","non-white",0,3,0.0588811065380392,0.0313464923921761,0.0864157206839022,2.77309981205486e-05,3775
"6","ventilation_bin","non-white",4,6,0.0681436025097868,0.0415303134540661,0.0947568915655075,5.20493114179111e-07,3862
"7","ventilation_bin","non-white",7,10,0.0607273646391346,0.0245055441235375,0.0969491851547317,0.0010161371473194,2462
"8","ventilation_bin","non-white",11,100,0.00689022712046805,-0.0874012688506015,0.101181723091538,0.886112941465849,971
"9","ventilation_bin","white",0,3,0.075692424544304,0.0616713661047763,0.0897134829838318,3.64948670449764e-26,16978
"10","ventilation_bin","white",4,6,0.0594497090570755,0.0463521286006304,0.0725472895135206,5.76828336887949e-19,16585
"11","ventilation_bin","white",7,10,0.0493924726346475,0.0296979202156189,0.0690870250536761,8.85406823061353e-07,9416
"12","ventilation_bin","white",11,100,-0.0432912115251817,-0.0876990994320411,0.00111667638167774,0.0560413404657137,3633
"13","rrt","all",0,3,0.125990833187125,0.121355463570575,0.130626202803676,0,20753
"14","rrt","all",4,6,0.0707234284080843,0.065170777428994,0.0762760793871747,1.49443430422597e-137,20447
"15","rrt","all",7,10,0.0659457959694696,0.0574622929052559,0.0744292990336832,2.04310750074748e-52,11878
"16","rrt","all",11,100,-0.0275815554394423,-0.0417792464649097,-0.0133838644139749,0.000140293226133295,4604
"17","rrt","non-white",0,3,0.0677226676038442,0.0572193179751203,0.078226017232568,1.31103005876346e-36,3775
"18","rrt","non-white",4,6,0.0133387579671557,0.00106143338987254,0.0256160825444388,0.033216934388935,3862
"19","rrt","non-white",7,10,0.0154237648892967,-0.0438227308610738,0.0746702606396671,0.609875679971297,2462
"20","rrt","non-white",11,100,-0.0407598946187371,-0.0721286611623443,-0.00939112807512988,0.0108721492453618,971
"21","rrt","white",0,3,0.141853491645878,0.136687252125898,0.147019731165859,0,16978
"22","rrt","white",4,6,0.0899392356039413,0.0837101340775683,0.0961683371303144,3.49813593217922e-176,16585
"23","rrt","white",7,10,0.0822069941366079,0.072634201987703,0.0917797862855127,1.43104270280533e-63,9416
"24","rrt","white",11,100,-0.0221598087295155,-0.038112828283694,-0.00620678917533697,0.00647761532221354,3633
"25","pressor","all",0,3,0.0340240311514781,0.0237014474004412,0.044346614902515,1.04488038796279e-10,20753
"26","pressor","all",4,6,0.0143549665228224,0.00354473141720763,0.0251652016284372,0.00924944596816591,20447
"27","pressor","all",7,10,0.048588183392875,0.0310756283214905,0.0661007384642595,5.38894855388198e-08,11878
"28","pressor","all",11,100,0.076412256888722,0.0310221952411299,0.121802318536314,0.000968305070874199,4604
"29","pressor","non-white",0,3,0.0482874409721026,0.0237670300858315,0.0728078518583738,0.000113489288807304,3775
"30","pressor","non-white",4,6,0.0195476682501626,-0.00469705747166842,0.0437923939719936,0.114042997723614,3862
"31","pressor","non-white",7,10,0.0726151152801023,0.0365598698922807,0.108670360667924,7.89939759035286e-05,2462
"32","pressor","non-white",11,100,0.135662333505162,0.0371374646557183,0.234187202354605,0.00695915595775341,971
"33","pressor","white",0,3,0.0307842038558314,0.0194260334565018,0.042142374255161,1.08300909749684e-07,16978
"34","pressor","white",4,6,0.0129549851999655,0.000878032782443394,0.0250319376174877,0.0355096551860855,16585
"35","pressor","white",7,10,0.0418706077383073,0.0218269045210444,0.0619143109555702,4.23312922445358e-05,9416
"36","pressor","white",11,100,0.0479998154153093,-0.00188105405202661,0.0978806848826452,0.059283289209793,3633
