"","treatment","race","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.0813033101076445,0.0692452405462129,0.093361379669076,7.13260849343054e-40,20753
"2","ventilation_bin","all",4,6,0.0663224277197435,0.0548282326208215,0.0778166228186656,1.17950427750102e-29,20447
"3","ventilation_bin","all",7,10,0.0571411720262634,0.0401609522974899,0.0741213917550369,4.23210021029929e-11,11878
"4","ventilation_bin","all",11,100,-0.0302473293883854,-0.0693064116462407,0.00881175286946991,0.129059075704718,4604
"5","ventilation_bin","non-white",0,3,0.0575962442662556,0.0319077306720568,0.0832847578604545,1.110187378152e-05,3775
"6","ventilation_bin","non-white",4,6,0.0782222714833866,0.0523493048633619,0.104095238103411,3.10954209159454e-09,3862
"7","ventilation_bin","non-white",7,10,0.0625014801576571,0.0269251188569387,0.0980778414583755,0.000574493263421539,2462
"8","ventilation_bin","non-white",11,100,0.00760067551224453,-0.0861025526098281,0.101303903634317,0.873681395697033,971
"9","ventilation_bin","white",0,3,0.0858838550539355,0.0723977246806339,0.0993699854272372,9.37383882695453e-36,16978
"10","ventilation_bin","white",4,6,0.0641925978040888,0.0513988422180392,0.0769863533901384,8.01314914389627e-23,16585
"11","ventilation_bin","white",7,10,0.0539215213493033,0.0345780999592157,0.0732649427393909,4.66375154134814e-08,9416
"12","ventilation_bin","white",11,100,-0.0437812380728394,-0.0864371971164402,-0.00112527902923856,0.0442509924628695,3633
"13","rrt","all",0,3,0.0774968171283532,0.0656468014249795,0.089346832831727,1.29974094629339e-37,20753
"14","rrt","all",4,6,0.0820403826448728,0.0631385606014028,0.100942204688343,1.78381669318705e-17,20447
"15","rrt","all",7,10,0.0594376971999754,0.0325698184491126,0.0863055759508382,1.45129290369719e-05,11878
"16","rrt","all",11,100,-0.0178021093919084,-0.0523887749689463,0.0167845561851295,0.313055219789722,4604
"17","rrt","non-white",0,3,0.0318227072555265,0.00475893664331618,0.0588864778677369,0.0211862096236792,3775
"18","rrt","non-white",4,6,0.0599481308707252,0.0205447316913896,0.0993515300500609,0.0028643372275723,3862
"19","rrt","non-white",7,10,-0.0111728568309997,-0.0670892637937128,0.0447435501317133,0.695328222686557,2462
"20","rrt","non-white",11,100,-0.0374437819016803,-0.118683066838361,0.0437955030350007,0.366325117546584,971
"21","rrt","white",0,3,0.0882802536715646,0.0751368559474183,0.101423651395711,1.4003524736636e-39,16978
"22","rrt","white",4,6,0.0978435069347502,0.0780878756733552,0.117599138196145,2.80752253230151e-22,16585
"23","rrt","white",7,10,0.0833682442605904,0.0528104211549762,0.113926067366205,8.92774063342117e-08,9416
"24","rrt","white",11,100,-0.0144669364463595,-0.0527646415476396,0.0238307686549205,0.459064057133151,3633
"25","pressor","all",0,3,0.0428538836362571,0.0328406171627676,0.0528671501097465,4.93503527710806e-17,20753
"26","pressor","all",4,6,0.0259400707759,0.0153851499329652,0.0364949916188349,1.45768313267139e-06,20447
"27","pressor","all",7,10,0.0562687075008415,0.039189129777655,0.0733482852240281,1.06640685902785e-10,11878
"28","pressor","all",11,100,0.0833541580481425,0.0383116275211366,0.128396688575148,0.000286612768605133,4604
"29","pressor","non-white",0,3,0.0530688068555417,0.0287036676775081,0.0774339460335754,1.9634829641474e-05,3775
"30","pressor","non-white",4,6,0.0271149352893485,0.00326696223013275,0.0509629083485642,0.0258470092142665,3862
"31","pressor","non-white",7,10,0.0735978371620553,0.0384626227110694,0.108733051613041,4.03235776095811e-05,2462
"32","pressor","non-white",11,100,0.143700260161453,0.0425796574739206,0.244820862848985,0.00534761067218206,971
"33","pressor","white",0,3,0.0391791567580901,0.0281744344812478,0.0501838790349323,2.99373870239646e-12,16978
"34","pressor","white",4,6,0.0254793633340204,0.0136963557604357,0.0372623709076051,2.25250089511107e-05,16585
"35","pressor","white",7,10,0.0500823207169952,0.0304974234527828,0.0696672179812076,5.38408532886681e-07,9416
"36","pressor","white",11,100,0.0589848682253036,0.00918426369175705,0.10878547275885,0.020261781185051,3633
