"X","cohort","treatment","sofa_start","sofa_end","psi","lCI","uCI","auc","r2"
1,"MIMIC","pressor",0,5,-0.0881861607032474,"-0.105709744793061"," -0.0706625766134335",0.750187537197033,0.147091140907428
2,"MIMIC","pressor",6,10,-0.0921980219122015,"-0.111831476505339"," -0.0725645673190636",0.699094238319248,0.126881932236456
3,"MIMIC","pressor",11,15,-0.00494394001711351,"-0.0613523945519622"," 0.0514645145177351",0.726586489118687,0.0844555922676381
4,"MIMIC","pressor",16,100,-0.116987999008304,"-0.256280253198374"," 0.0223042551817661",0.5,0.0521663233496097
1,"MIMIC","rrt",0,5,0.199845513183675,"0.129951152746443"," 0.269739873620908",0.830752150910481,0.146338967259693
2,"MIMIC","rrt",6,10,0.169541295701217,"0.132863850654814"," 0.20621874074762",0.732961011519388,0.125139743791335
3,"MIMIC","rrt",11,15,0.0445069896682944,"0.00717045991576743"," 0.0818435194208213",0.663951081893634,0.0863372512408001
4,"MIMIC","rrt",16,100,-0.0594384374763218,"-0.133337539481345"," 0.0144606645287015",0.623405797101449,0.0509326042647646
1,"MIMIC","ventilation_bin",0,5,-0.0457117470049592,"-0.0636227166741021"," -0.0278007773358163",0.71828202130139,0.146208828712942
2,"MIMIC","ventilation_bin",6,10,-0.0527534033403467,"-0.0717747491637536"," -0.0337320575169398",0.685593761259552,0.126378110782177
3,"MIMIC","ventilation_bin",11,15,-0.137634658532142,"-0.176731612575766"," -0.0985377044885185",0.670560397476412,0.0852190528364649
4,"MIMIC","ventilation_bin",16,100,-0.0920198339214759,"-0.218031599832607"," 0.033991931989655",0.736927744070601,0.051169635514356
1,"eICU","pressor",0,5,0.084500969961478,"0.0759923600940786"," 0.0930095798288775",0.645821406996174,0.127213477206591
2,"eICU","pressor",6,10,0.131700518686246,"0.115647513096081"," 0.147753524276412",0.668650101379819,0.0847947831066204
3,"eICU","pressor",11,15,0.205298901027717,"0.120496805610047"," 0.290100996445386",0.708937573074196,0.043834130839572
4,"eICU","pressor",16,100,NA,"",NA,NA,0.000268495906845079
1,"eICU","rrt",0,5,0.0320531865400113,"0.00561477145758183"," 0.0584916016224408",0.717918516041657,0.127547675929265
2,"eICU","rrt",6,10,0.0110116816103693,"-0.0109919312089298"," 0.0330152944296685",0.640562411014464,0.0855838679447906
3,"eICU","rrt",11,15,-0.108299135851761,"-0.157289811591464"," -0.0593084601120573",0.59633386682633,0.0495944854548662
4,"eICU","rrt",16,100,-0.129408089966541,"-0.264806635884615"," 0.0059904559515323",0.609501296324539,0.0634871297240427
1,"eICU","ventilation_bin",0,5,0.112329286378746,"0.102554231191354"," 0.122104341566138",0.66395339233488,0.127633606796522
2,"eICU","ventilation_bin",6,10,0.113327748891969,"0.0971046462643518"," 0.129550851519585",0.677297735314645,0.0861051404073754
3,"eICU","ventilation_bin",11,15,0.0479662860380305,"-0.0182723846095384"," 0.114204956685599",0.662150390247453,0.0474421198840054
4,"eICU","ventilation_bin",16,100,-0.300503781377547,"-0.37173902222302"," -0.229268540532074",0.5,0.0361404998846864
