"","treatment","race","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.079064903163402,0.0641589565466735,0.0939708497801304,2.57654075111202e-25,15014
"2","ventilation_bin","all",4,6,0.0707983805147237,0.0572465388396963,0.0843502221897511,1.31841603407232e-24,15346
"3","ventilation_bin","all",7,10,0.0586362717881786,0.0394195763040575,0.0778529672722997,2.22336819271781e-09,8971
"4","ventilation_bin","all",11,100,-0.019239152892907,-0.0612406140179343,0.0227623082321203,0.369294369911444,3796
"5","ventilation_bin","non-white",0,3,0.0641255673218369,0.0327947755238566,0.0954563591198172,6.0312637096387e-05,2799
"6","ventilation_bin","non-white",4,6,0.0776092221408848,0.0477523288055734,0.107466115476196,3.49160511785916e-07,2997
"7","ventilation_bin","non-white",7,10,0.0555571269205404,0.0155304881965961,0.0955837656444848,0.00651857439946126,1887
"8","ventilation_bin","non-white",11,100,0.00596090855624953,-0.0911175577999031,0.103039374912402,0.904206000904835,821
"9","ventilation_bin","white",0,3,0.0837532728260163,0.066842457794789,0.100664087857244,2.8098939650072e-22,12215
"10","ventilation_bin","white",4,6,0.0682614116462206,0.0530251739172299,0.0834976493752114,1.61747570145974e-18,12349
"11","ventilation_bin","white",7,10,0.0583508553781288,0.0364360677197461,0.0802656430365115,1.80140106209757e-07,7084
"12","ventilation_bin","white",11,100,-0.0314022395739877,-0.0783985094042746,0.0155940302562993,0.190316247489596,2975
"13","rrt","all",0,3,0.0896818315626275,0.0762810408348737,0.103082622290381,2.63609357897071e-39,15014
"14","rrt","all",4,6,0.0760398034900064,0.0524985373013432,0.0995810696786697,2.43694163352998e-10,15346
"15","rrt","all",7,10,0.0463983614637412,0.0158818986839135,0.0769148242435689,0.00288195061454707,8971
"16","rrt","all",11,100,-0.0336539094220545,-0.0694160508470703,0.00210823200296134,0.0651168504100346,3796
"17","rrt","non-white",0,3,0.00418651713040327,-0.0267735578200513,0.0351465920808578,0.790980755013414,2799
"18","rrt","non-white",4,6,0.0262237950604826,-0.0277031629639843,0.0801507530849495,0.340531377349237,2997
"19","rrt","non-white",7,10,-0.0236831429810616,-0.0822953298861476,0.0349290439240245,0.428379496294419,1887
"20","rrt","non-white",11,100,-0.0447402157656194,-0.123408192090658,0.0339277605594191,0.264981018883673,821
"21","rrt","white",0,3,0.1039612698929,0.0890352291939844,0.118887310591816,1.97539253836886e-42,12215
"22","rrt","white",4,6,0.097769596049096,0.0717864501984952,0.123752741899697,1.64216555118163e-13,12349
"23","rrt","white",7,10,0.0661637455334562,0.0304405355703589,0.101886955496554,0.000283246404796177,7084
"24","rrt","white",11,100,-0.0288852328506667,-0.0691338044929791,0.0113633387916457,0.159535598812478,2975
"25","pressor","all",0,3,0.050349492449279,0.0379314988296087,0.0627674860689493,1.91180538514117e-15,15014
"26","pressor","all",4,6,0.0257044677299829,0.0131197564844932,0.0382891789754727,6.2456987617264e-05,15346
"27","pressor","all",7,10,0.0588426294058264,0.0395753068697282,0.0781099519419245,2.15245452656062e-09,8971
"28","pressor","all",11,100,0.086393107244692,0.0351739067275252,0.137612307761859,0.000946393189166141,3796
"29","pressor","non-white",0,3,0.0621212005983615,0.0309179345762518,0.0933244666204713,9.53707248996228e-05,2799
"30","pressor","non-white",4,6,0.0177031119252826,-0.010447552137356,0.0458537759879213,0.217730462260011,2997
"31","pressor","non-white",7,10,0.0795673659838166,0.0408117680037056,0.118322963963928,5.72209837868234e-05,1887
"32","pressor","non-white",11,100,0.164034092013064,0.0515330356994027,0.276535148326725,0.00426573620433854,821
"33","pressor","white",0,3,0.0471466953142934,0.0334326526017005,0.0608607380268863,1.60396129836858e-11,12215
"34","pressor","white",4,6,0.0264394815259798,0.0123335899424082,0.0405453731095514,0.000239025581420451,12349
"35","pressor","white",7,10,0.0527047538189796,0.0303986894351224,0.0750108182028368,3.63751552101818e-06,7084
"36","pressor","white",11,100,0.0548553276030896,-0.00194402933733442,0.111654684543514,0.0583689695677699,2975
