"","cohort","treatment","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","auc","r2","n"
"1","MIMIC_eICU","ventilation_bin",0,100,"0.0570367006564105",0.049592218562026,0.0644811827507949,"5.70356649808346e-51","0.757122367830787","0.221833362571128",57682
"2","MIMIC_eICU","ventilation_bin",0,5,"0.0706844384736943",0.0619886980501499,0.0793801788972387,"3.79333070229929e-57","0.677483699191413","0.202191973624339",35665
"3","MIMIC_eICU","ventilation_bin",6,10,"0.0499118005961927",0.0365373285312968,0.0632862726610886,"2.58405775337439e-13","0.680525101575347","0.145373338622376",17413
"4","MIMIC_eICU","ventilation_bin",11,15,"-0.0403609375019706",-0.0834333736226706,0.00271149861872947,"0.066266904874723","0.685589708291487","0.0711180980865244",4026
"5","MIMIC_eICU","ventilation_bin",16,100,"-0.154314752614065",-0.265124260066846,-0.043505245161284,"0.00634263441156619","0.748631386861314","0.0541680352808517",578
"6","MIMIC_eICU","rrt",0,100,"0.0623398614538694",0.0493691100009033,0.0753106129068354,"4.50541926398005e-21","0.797878916137248","0.221429307838927",57682
"7","MIMIC_eICU","rrt",0,5,"0.0681341724507584",0.0421351772472056,0.0941331676543111,"2.79951647562131e-07","0.742086746976394","0.201702022062486",35665
"8","MIMIC_eICU","rrt",6,10,"0.0844721247060553",0.0639509412981802,0.10499330811393,"7.14460263419363e-16","0.684785134043905","0.1446344125353",17413
"9","MIMIC_eICU","rrt",11,15,"-0.0285046576553828",-0.0621793285799079,0.0051700132691423,"0.0970987396548132","0.629701429880679","0.0712600028015189",4026
"10","MIMIC_eICU","rrt",16,100,"-0.0881467830507914",-0.161264970492434,-0.0150285956091483,"0.0181347500795957","0.63506711409396","0.0509752895459028",578
"11","MIMIC_eICU","pressor",0,100,"0.0423890957865156",0.0353470191731319,0.0494311723998992,"3.99558218868757e-32","0.765238864803043","0.221486531576858",57682
"12","MIMIC_eICU","pressor",0,5,"0.0362490474293965",0.0283901940030868,0.0441079008557062,"1.55926213180534e-19","0.669248401706148","0.201696565800917",35665
"13","MIMIC_eICU","pressor",6,10,"0.0376690753314506",0.0242047585106472,0.0511333921522541,"4.17026193882292e-08","0.679687384267498","0.144926148358034",17413
"14","MIMIC_eICU","pressor",11,15,"0.102412786652878",0.0475890205690957,0.157236552736661,"0.000250888559253788","0.719264153295965","0.0709823618823586",4026
"15","MIMIC_eICU","pressor",16,100,"-0.290453318357233",-0.327655892127801,-0.253250744586666,"7.36932868117014e-53","0.5","0.0606571011664209",578
