"","cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","CI"
"1","eICU","rrt","Non-white & Non-Treatment",0,5,0.0967816624217492,0.00449893577208635,1.19888399365845e-102,"c(0.0879639103397011, 0.105599414503797)"
"2","eICU","rrt","Non-white & Non-Treatment",6,10,0.215393452039258,0.00985289542467441,6.11856147717173e-106,"c(0.196082131863456, 0.234704772215059)"
"3","eICU","rrt","Non-white & Non-Treatment",11,15,0.567669172932332,0.0303831721438642,6.72332235869636e-78,"c(0.508119249794278, 0.627219096070386)"
"4","eICU","rrt","Non-white & Non-Treatment",16,100,0.599999999999986,0.155399704216711,0.000112918722034176,"c(0.295422176527055, 0.904577823472917)"
"5","eICU","rrt","Non-white & Yes-Treatment",0,5,0.128919860628661,0.0197813762920684,7.16156020214523e-11,"c(0.0901490755315727, 0.16769064572575)"
"6","eICU","rrt","Non-white & Yes-Treatment",6,10,0.21491228070194,0.019236600849346,5.58757237055292e-29,"c(0.177209235852249, 0.252615325551631)"
"7","eICU","rrt","Non-white & Yes-Treatment",11,15,0.386554621848736,0.0446517083265113,4.8388794059564e-18,"c(0.299038881680587, 0.474070362016886)"
"8","eICU","rrt","Non-white & Yes-Treatment",16,100,0.666666666666635,0.122093538495578,4.75345635865072e-08,"c(0.427367728470247, 0.905965604863023)"
"9","eICU","rrt","White & Non-Treatment",0,5,0.104151205451812,0.00214864213558046,0,"c(0.0999399442504096, 0.108362466653215)"
"10","eICU","rrt","White & Non-Treatment",6,10,0.234235510840669,0.00504179249329163,0,"c(0.224353779136293, 0.244117242545045)"
"11","eICU","rrt","White & Non-Treatment",11,15,0.524038461537632,0.015490627726647,7.29439520303676e-251,"c(0.493677389095486, 0.554399533979778)"
"12","eICU","rrt","White & Non-Treatment",16,100,0.794520547944896,0.047437293837328,5.77227444011774e-63,"c(0.701545160499689, 0.887495935390102)"
"13","eICU","rrt","White & Yes-Treatment",0,5,0.188220230473689,0.0139873431219649,2.8208218528763e-41,"c(0.160805541715234, 0.215634919232144)"
"14","eICU","rrt","White & Yes-Treatment",6,10,0.257518796993086,0.0134059449479047,3.09419309235611e-82,"c(0.231243627716466, 0.283793966269706)"
"15","eICU","rrt","White & Yes-Treatment",11,15,0.443099273924589,0.0244502081523176,2.11691747386369e-73,"c(0.395177746531539, 0.491020801317639)"
"16","eICU","rrt","White & Yes-Treatment",16,100,0.624999999999572,0.0607030098346781,7.3429598082327e-25,"c(0.506024286970423, 0.743975713028722)"
