"","cohort","treatment","analysis","sofa_start","sofa_end","psi","std_dev","pvalue","CI"
"1","eICU","ventilation_bin","Non-white & Non-Treatment",0,5,0.0619578686562,0.00424327449868233,2.75022265186625e-48,"c(0.0536412034622654, 0.0702745338501346)"
"2","eICU","ventilation_bin","Non-white & Non-Treatment",6,10,0.1321499013812,0.0106354984652638,1.90366589294181e-35,"c(0.111304707431652, 0.152995095330748)"
"3","eICU","ventilation_bin","Non-white & Non-Treatment",11,15,0.367346938775511,0.0688876159122183,9.68409036723993e-08,"c(0.232329692606735, 0.502364184944287)"
"4","eICU","ventilation_bin","Non-white & Non-Treatment",16,100,0.999999759523928,158758032.113013,0.999999994974211,"c(0, 1)"
"5","eICU","ventilation_bin","Non-white & Yes-Treatment",0,5,0.185050798258222,0.0104615160367664,5.12284470900411e-70,"c(0.164546603602472, 0.205554992913972)"
"6","eICU","ventilation_bin","Non-white & Yes-Treatment",6,10,0.28655959425226,0.0131466470030527,2.46855905713008e-105,"c(0.260792639608815, 0.312326548895705)"
"7","eICU","ventilation_bin","Non-white & Yes-Treatment",11,15,0.532738095231034,0.0272261103851558,2.94557395521435e-85,"c(0.479375899437016, 0.586100291025051)"
"8","eICU","ventilation_bin","Non-white & Yes-Treatment",16,100,0.639999999999995,0.0962976747425906,3.01045217790443e-11,"c(0.451260025709565, 0.828739974290425)"
"9","eICU","ventilation_bin","White & Non-Treatment",0,5,0.0717793474606622,0.00211714884947558,5.8598858583285e-252,"c(0.0676298119657796, 0.0759288829555447)"
"10","eICU","ventilation_bin","White & Non-Treatment",6,10,0.163221228016909,0.00649195018336832,1.72451814503069e-139,"c(0.150497239468079, 0.175945216565739)"
"11","eICU","ventilation_bin","White & Non-Treatment",11,15,0.480198019802192,0.0351618436011884,1.83906303193243e-42,"c(0.411282072713833, 0.549113966890552)"
"12","eICU","ventilation_bin","White & Non-Treatment",16,100,0.999999999821271,9.43724493061509e-06,0,"c(0.999981503161094, 1)"
"13","eICU","ventilation_bin","White & Yes-Treatment",0,5,0.193406234698788,0.00504599956044129,0,"c(0.183516257294318, 0.203296212103258)"
"14","eICU","ventilation_bin","White & Yes-Treatment",6,10,0.286475409836415,0.00647230958820082,0,"c(0.273789916146748, 0.299160903526082)"
"15","eICU","ventilation_bin","White & Yes-Treatment",11,15,0.504396482813747,0.0141397826974979,1.06874238707029e-278,"c(0.476683017977429, 0.532109947650066)"
"16","eICU","ventilation_bin","White & Yes-Treatment",16,100,0.711111111110771,0.0391301792149602,8.45164143897459e-74,"c(0.634417369140851, 0.78780485308069)"
