"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","blood_yes","mv_elig","MIMIC","all","0","0.06","0.0561410385651749","0.0287011056526851","0.0835809714776647","6.06971539214619e-05","3863","SL.glm SL.mean","0.802751187606767 0.197248812393233","0.94107853425347 0.0589214657465303"
"2","blood_yes","mv_elig","MIMIC","all","0.06","0.11","0.0127569401911007","-0.0135802127602116","0.039094093142413","0.342434395632176","4506","SL.glm SL.mean","0.942840645588091 0.0571593544119094","0.98865292939341 0.0113470706065902"
"3","blood_yes","mv_elig","MIMIC","all","0.11","0.21","0.0206740626182899","-0.01389099498236","0.0552391202189398","0.241070295321145","4161","SL.glm SL.mean","0.905805151214061 0.0941948487859385","0.997329612529204 0.0026703874707956"
"4","blood_yes","mv_elig","MIMIC","all","0.21","1","0.0276377532993582","0.00376521645553592","0.0515102901431805","0.0232601491764663","3913","SL.glm SL.mean","0.930640880822831 0.0693591191771685","0.987913777092008 0.0120862229079921"
"5","blood_yes","rrt_elig","MIMIC","all","0","0.06","-0.018565314546828","-0.0285836830575037","-0.00854694603615239","0.000281091478138374","3863","SL.glm SL.mean","0.87281887971442 0.12718112028558","0.959778850443047 0.0402211495569531"
"6","blood_yes","rrt_elig","MIMIC","all","0.06","0.11","-0.0304858838780814","-0.0429089245062754","-0.0180628432498873","1.51081898675185e-06","4506","SL.glm SL.mean","0.94516109053418 0.05483890946582","0.895351958358631 0.104648041641369"
"7","blood_yes","rrt_elig","MIMIC","all","0.11","0.21","-0.00480862110323711","-0.0205619691090063","0.0109447269025321","0.549653783397182","4161","SL.glm SL.mean","0.907274151882513 0.0927258481174872","0.911051357088162 0.0889486429118384"
"8","blood_yes","rrt_elig","MIMIC","all","0.21","1","0.0362256297901867","0.0088748445044261","0.0635764150759474","0.00943201220771208","3913","SL.glm SL.mean","0.919000532436034 0.0809994675639659","0.969811011532483 0.030188988467517"
"9","blood_yes","vp_elig","MIMIC","all","0","0.06","-0.00897445721029372","-0.0321482781498482","0.0141993637292608","0.447826587759345","3863","SL.glm SL.mean","0.844919562569045 0.155080437430955","1 0"
"10","blood_yes","vp_elig","MIMIC","all","0.06","0.11","0.027148208445654","0.00257762853935368","0.0517187883519542","0.0303403946115023","4506","SL.glm SL.mean","0.929729303560892 0.0702706964391079","1 0"
"11","blood_yes","vp_elig","MIMIC","all","0.11","0.21","0.00749433456965387","-0.0153714636542443","0.030360132793552","0.520616140479929","4161","SL.glm SL.mean","0.910557603756179 0.0894423962438213","0.998316120127137 0.00168387987286327"
"12","blood_yes","vp_elig","MIMIC","all","0.21","1","0.0171267560371124","-0.0120988622831627","0.0463523743573876","0.250722416194405","3913","SL.glm SL.mean","0.924263303960318 0.075736696039682","0.990014846312779 0.00998515368722083"
