"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","comb_noso","mv_elig","MIMIC","all","0","0.06","-0.00164773271820507","-0.00376503082176357","0.000469565385353422","0.127179421263851","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0.000233352653465702 0.38061314659628 0.619153500750254 0","0.124328502984002 0 0 0.72318616632344 0.152485330692558"
"2","comb_noso","mv_elig","MIMIC","all","0.06","0.11","0.000966128530035843","-0.00291514118037076","0.00484739824044245","0.625631546903388","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.53982543905219 0.42825678895151 0.0319177719963","0.117246287771375 0 0 0.304597050281273 0.578156661947352"
"3","comb_noso","mv_elig","MIMIC","all","0.11","0.21","0.00398291675592944","0.000633116989377587","0.00733271652248129","0.0197827584072028","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.094257961212196 0 0.153595924820055 0.713265731582712 0.0388803823850364","0 0 0 0.509494471069059 0.490505528930941"
"4","comb_noso","mv_elig","MIMIC","all","0.21","1","0.00209201275897285","-0.00143181681013238","0.00561584232807808","0.244584204536315","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.218753646158542 0.764193752823371 0.0170526010180863","0 0 0 0.459694894072263 0.540305105927737"
"5","comb_noso","rrt_elig","MIMIC","all","0","0.06","-0.000236716127502889","-0.00262550412696218","0.0021520718719564","0.845999295194027","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.552451369995216 0.447548630004784 0","0.18946996009231 0.0232841475012384 0 0.447208924032274 0.340036968374178"
"6","comb_noso","rrt_elig","MIMIC","all","0.06","0.11","0.0032125256923435","1.0391216420142e-05","0.00641466016826686","0.0492569969467766","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.598171801244425 0.302740065404743 0.0990881333508317","0.187645923997396 0.0529366918321427 0 0.435540472957924 0.323876911212537"
"7","comb_noso","rrt_elig","MIMIC","all","0.11","0.21","-0.00346908050565227","-0.00633764433297914","-0.000600516678325404","0.0177729707188223","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0593609283406025 0 0.212836160191878 0.688937310761302 0.0388656007062181","0.119777861853935 0 0.000830385357562477 0.762227640313785 0.117164112474718"
"8","comb_noso","rrt_elig","MIMIC","all","0.21","1","0.00257541212791683","-0.00128301139015787","0.00643383564599154","0.190786313275748","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0788824886999247 0 0.119190757599573 0.767690977929274 0.0342357757712282","0.00545601037228345 0 0.349874672951821 0.520935213624629 0.123734103051267"
"9","comb_noso","vp_elig","MIMIC","all","0","0.06","0.000548777566855627","-0.00220885643097246","0.00330641156468371","0.696502553544605","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.415007495674811 0.579685398905457 0.00530710541973144","0 0 0 0.597996797569007 0.402003202430993"
"10","comb_noso","vp_elig","MIMIC","all","0.06","0.11","0.001734383846541","-0.001048320228383","0.00451708792146499","0.221853348571007","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.581661457229871 0.409191655687702 0.00914688708242654","0 0 0 0.801574979480327 0.198425020519673"
"11","comb_noso","vp_elig","MIMIC","all","0.11","0.21","0.000125698099455295","-0.00285612223210933","0.00310751843101992","0.934150956792349","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0724190919558414 0 0.148557221561623 0.724881496964982 0.0541421895175536","0 0 0 0.524999048503885 0.475000951496115"
"12","comb_noso","vp_elig","MIMIC","all","0.21","1","-0.00221213808301628","-0.00605354747720983","0.00162927131117726","0.259025303564046","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0569262940785466 0 0.136155828949101 0.79400676712455 0.0129111098478024","0.0224239750299571 0 0 0.654758095249078 0.322817929720965"
