outcome,treatment,cohort,race,prob_mort_start,prob_mort_end,psi,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights
free_days_hosp_28,mv_elig,MIMIC,white,0,0.06,-0.434706594,-0.640466201,-0.228946986,3.46E-05,3670,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.203552267936669 0 0 0.620530822665836 0.175916909397495,0 0 0 0.513379122588376 0.486620877411624
free_days_hosp_28,mv_elig,MIMIC,white,0.06,0.11,-0.563380575,-0.827082528,-0.299678622,2.82E-05,4330,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.186310476436444 0 0 0.498146392977265 0.31554313058629,0.0737794718189674 0 0 0.256959386062124 0.669261142118909
free_days_hosp_28,mv_elig,MIMIC,white,0.11,0.21,-0.067136958,-0.39485743,0.260583513,0.688032567,4059,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.260577286040156 0 0 0.533035281402762 0.206387432557082,0.0981917485954217 0 0 0.206074739720127 0.695733511684451
free_days_hosp_28,mv_elig,MIMIC,white,0.21,1,-0.913380697,-1.382483181,-0.444278213,0.000135479,3864,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.224918457099485 0 0 0.488165468068207 0.286916074832308,0.230024228459737 0 0 0.0656501520275274 0.704325619512736
free_days_hosp_28,mv_elig,MIMIC,non-white,0,0.06,-0.567312655,-1.051662339,-0.08296297,0.021691714,824,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.185999972132087 0 0 0.789698986684272 0.0243010411836409,0 0 0 0.738564809476982 0.261435190523018
free_days_hosp_28,mv_elig,MIMIC,non-white,0.06,0.11,-1.072323766,-1.616471961,-0.528175571,0.000112248,933,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.210552744179208 0 0 0.631975114682714 0.157472141138078,0.151450942236971 0 0 0.581656386420895 0.266892671342133
free_days_hosp_28,mv_elig,MIMIC,non-white,0.11,0.21,-0.368875503,-1.092389164,0.354638158,0.317656893,855,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.140204186390089 0 0.120204602022071 0.579583574898473 0.160007636689367,0 0 0 0.616974126236732 0.383025873763268
free_days_hosp_28,mv_elig,MIMIC,non-white,0.21,1,-0.13439665,-0.862746535,0.593953234,0.717603643,884,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.308489284529371 0 0 0.60242588316384 0.089084832306789,0.117362775500489 0 0 0.49544311038272 0.387194114116792
free_days_hosp_28,rrt_elig,MIMIC,white,0,0.06,-1.840666954,-2.051211475,-1.630122434,8.12E-66,3670,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.212350034570557 0 0 0.620471614156822 0.167178351272621,0 0 0.138390819383573 0.796561806505897 0.0650473741105301
free_days_hosp_28,rrt_elig,MIMIC,white,0.06,0.11,-0.394821532,-0.629793368,-0.159849696,0.000989926,4330,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.166473390351211 0 0 0.504005449021566 0.329521160627223,0.120136558073025 0 0.10660489502511 0.664284961068695 0.108973585833169
free_days_hosp_28,rrt_elig,MIMIC,white,0.11,0.21,-0.785919987,-1.085965095,-0.485874879,2.84E-07,4059,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.266989474224334 0 0 0.541007043492743 0.192003482282923,0.176103179107023 0 0.308285877697989 0.407642163256006 0.107968779938983
free_days_hosp_28,rrt_elig,MIMIC,white,0.21,1,-0.403797335,-0.770269001,-0.037325668,0.030801415,3864,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.226630495951212 0 0 0.537129484113769 0.236240019935019,0.308634411781807 0 0.294479256119211 0.291597350609098 0.105288981489883
free_days_hosp_28,rrt_elig,MIMIC,non-white,0,0.06,-0.868007791,-1.472011315,-0.264004266,0.004852019,824,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.178413483916638 0 0 0.817878344391553 0.00370817169180913,0.528349849079086 0 0 0.423580850172272 0.0480693007486425
free_days_hosp_28,rrt_elig,MIMIC,non-white,0.06,0.11,-0.100694133,-0.625049875,0.42366161,0.706629471,933,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.141368222756951 0 0.0337206239371095 0.455569074408252 0.369342078897687,0.0884417887919272 0 0.216803372507425 0.634142330612795 0.0606125080878528
free_days_hosp_28,rrt_elig,MIMIC,non-white,0.11,0.21,-1.077410024,-1.995371521,-0.159448527,0.021422793,855,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.339000874530163 0 0 0.660999125469837 0,0.16624819206765 0 0.627622911821328 0.160786215258675 0.045342680852347
free_days_hosp_28,rrt_elig,MIMIC,non-white,0.21,1,1.388130332,0.661163037,2.115097626,0.000182138,884,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.345365562988518 0 0 0.532815714329931 0.121818722681551,0.164491494965794 0 0.302125200660366 0.53338330437384 0
free_days_hosp_28,vp_elig,MIMIC,white,0,0.06,0.763354322,0.544753564,0.98195508,7.68E-12,3670,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.217581017789126 0 0 0.592009885726408 0.190409096484466,0.132017878222111 0 0 0.540264105370336 0.327718016407553
free_days_hosp_28,vp_elig,MIMIC,white,0.06,0.11,0.098688602,-0.165768549,0.363145753,0.464521707,4330,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.212590216283179 0 0 0.540771225426863 0.246638558289958,0.0891639629154444 0 0 0.417807416317372 0.493028620767184
free_days_hosp_28,vp_elig,MIMIC,white,0.11,0.21,0.023002576,-0.431411815,0.477416966,0.920966998,4059,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.259070071002994 0 0 0.482540241358575 0.258389687638431,0.309732406661227 0 0 0.134268120786171 0.555999472552602
free_days_hosp_28,vp_elig,MIMIC,white,0.21,1,-0.431361398,-0.997485616,0.13476282,0.135323995,3864,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.242779511049067 0 0 0.481879307605645 0.275341181345288,0.442891351941268 0 0 0.0880479176336269 0.469060730425105
free_days_hosp_28,vp_elig,MIMIC,non-white,0,0.06,-0.109213159,-0.632598692,0.414172373,0.682549322,824,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.119676687627352 0 0 0.730080891961735 0.150242420410913,0 0 0 0.983467458480113 0.016532541519887
free_days_hosp_28,vp_elig,MIMIC,non-white,0.06,0.11,-0.063506657,-0.657399627,0.530386313,0.833988973,933,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.054112714205437 0 0.243336281031719 0.446249499335374 0.25630150542747,0.0604303320837658 0 0 0.669652154805184 0.269917513111051
free_days_hosp_28,vp_elig,MIMIC,non-white,0.11,0.21,0.306596676,-0.54785385,1.161047201,0.481872873,855,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.247347600545502 0 0 0.636439461779783 0.116212937674715,0.343662207941771 0 0 0.341875269460667 0.314462522597562
free_days_hosp_28,vp_elig,MIMIC,non-white,0.21,1,-0.48275331,-1.556773936,0.591267315,0.378325723,884,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.334226900256517 0 0 0.547884958327937 0.117888141415546,0.552541516325714 0 0 0.187796609323979 0.259661874350306
