"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","free_days_mv_28","mv_elig","MIMIC","white","0","0.06","22.9819862957812","22.7448832812938","23.2190893102687","0","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.32237498797492 0 0 0.670945580185248 0.00667943183983252","0.0637886278406725 0 0 0.372826022093154 0.563385350066173"
"2","free_days_mv_28","mv_elig","MIMIC","white","0.06","0.11","19.4360887785436","19.1157822725348","19.7563952845523","0","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0949547589674672 0 0 0.474971399083261 0.430073841949272","0.0979505041525569 0 0 0.235248856897027 0.666800638950416"
"3","free_days_mv_28","mv_elig","MIMIC","white","0.11","0.21","19.3567056793412","18.9875854179674","19.7258259407151","0","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0839345091183807 0 0 0.405189482456943 0.510876008424676","0.0903144230586199 0 0 0.162791409014852 0.746894167926528"
"4","free_days_mv_28","mv_elig","MIMIC","white","0.21","1","12.9268244009211","12.3417488851904","13.5118999166518","0","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0385202270074959 0 0 0.598222613254316 0.363257159738188","0.27193836802322 0 0 0.0746687247255396 0.65339290725124"
"5","free_days_mv_28","mv_elig","MIMIC","non-white","0","0.06","22.1648754698738","21.6965025400839","22.6332483996636","0","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0819886579317552 0 0.361751860977685 0.55625948109056 0","0.13725099583605 0 0 0.671251120527519 0.191497883636431"
"6","free_days_mv_28","mv_elig","MIMIC","non-white","0.06","0.11","20.3865136566691","19.8597720586528","20.9132552546853","0","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.236977999022915 0 0.374136272841658 0.308214309312697 0.0806714188227294","0.0495049689291055 0 0.193857006288686 0.359197089087878 0.39744093569433"
"7","free_days_mv_28","mv_elig","MIMIC","non-white","0.11","0.21","18.8569337909554","18.1702269636606","19.5436406182502","0","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.243086496327438 0.535589690960933 0.22132381271163","0.172091132100493 0 0 0.383508882952348 0.444399984947159"
"8","free_days_mv_28","mv_elig","MIMIC","non-white","0.21","1","14.5855670877675","13.6905604081747","15.4805737673603","7.12658154409426e-224","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.132729934096258 0 0.0096716214457821 0.549763887087239 0.307834557370721","0.482888090079612 0 0 0.203736029538446 0.313375880381942"
"9","free_days_mv_28","rrt_elig","MIMIC","white","0","0.06","-0.505683111180102","-0.717510023318427","-0.293856199041778","2.88272292756522e-06","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.269938057492537 0 0 0.604945694474807 0.125116248032656","0 0 0.0312936766832038 0.880567727137247 0.088138596179549"
"10","free_days_mv_28","rrt_elig","MIMIC","white","0.06","0.11","0.0486594347384244","-0.201534471424929","0.298853340901778","0.70305907489698","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0573291951434141 0 0 0.337847269973065 0.604823534883521","0.10076044776151 0 0.443616817477776 0.347873077754525 0.107749657006188"
"11","free_days_mv_28","rrt_elig","MIMIC","white","0.11","0.21","-1.19886340285136","-1.52035179704476","-0.877375008657952","2.69053085255636e-13","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0808811198740354 0 0 0.46226176353285 0.456857116593115","0.437033900925821 0 0.165295407863047 0.126902590970772 0.27076810024036"
"12","free_days_mv_28","rrt_elig","MIMIC","white","0.21","1","-0.374998533666489","-0.783323110824732","0.0333260434917546","0.0718556548873068","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0278537941685274 0 0 0.633751074268238 0.338395131563234","0.325938239622475 0 0.333575221145137 0.271890094271767 0.0685964449606213"
"13","free_days_mv_28","rrt_elig","MIMIC","non-white","0","0.06","0.688419583939261","0.158546299407096","1.21829286847143","0.0108820940741394","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0650734409045376 0 0.353669530718081 0.553246894335131 0.0280101340422501","0.330391797480661 0 0.17708599532418 0.492522207195159 0"
"14","free_days_mv_28","rrt_elig","MIMIC","non-white","0.06","0.11","0.802817656827841","0.0902855149115766","1.5153497987441","0.0272196642516456","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.256836850140176 0 0.369714271497066 0.358936234200073 0.0145126441626853","0.177800620494766 0.264960398743511 0 0.306673730497448 0.250565250264276"
"15","free_days_mv_28","rrt_elig","MIMIC","non-white","0.11","0.21","-1.29184663544846","-1.8711767040678","-0.712516566829126","1.23906172981345e-05","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.211268678597706 0.53894674088954 0.249784580512753","0.172342720517835 0 0.206697812857702 0.565123302280316 0.0558361643441467"
"16","free_days_mv_28","rrt_elig","MIMIC","non-white","0.21","1","-0.318855921216033","-1.09786462805027","0.460152785618202","0.422409939758356","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.154405469262654 0 0 0.581985203453944 0.263609327283402","0.280218767288803 0 0.207317971386855 0.512463261324341 0"
"17","free_days_mv_28","vp_elig","MIMIC","white","0","0.06","-0.210808400707865","-0.454352851157475","0.0327360497417439","0.0897824470507373","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.350004675235408 0 0 0.630580806907106 0.0194145178574862","0.141884993789211 0 0 0.428583834189916 0.429531172020873"
"18","free_days_mv_28","vp_elig","MIMIC","white","0.06","0.11","-0.175713168701656","-0.475788079805222","0.124361742401911","0.251089905628873","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0724885157697765 0 0 0.446442470308963 0.48106901392126","0.219160214213408 0 0 0.319272169139198 0.461567616647394"
"19","free_days_mv_28","vp_elig","MIMIC","white","0.11","0.21","-0.0612149345545938","-0.338598973394599","0.216169104285411","0.665344848925022","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0893457450328618 0 0 0.497877038148627 0.412777216818511","0.154642830228164 0 0 0.393732228455369 0.451624941316468"
"20","free_days_mv_28","vp_elig","MIMIC","white","0.21","1","-0.498462876031921","-0.892668574524638","-0.104257177539203","0.0131984516982119","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.00530508075617289 0 0 0.683759117310005 0.310935801933822","0.0595970143940939 0 0.171184064105556 0.339867487421459 0.429351434078891"
"21","free_days_mv_28","vp_elig","MIMIC","non-white","0","0.06","0.624448647376455","0.115740439058589","1.13315685569432","0.0161310941336525","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.120236876274121 0 0.267164386065397 0.460660910811385 0.151937826849096","0.143453660909525 0 0 0.741522516322071 0.115023822768404"
"22","free_days_mv_28","vp_elig","MIMIC","non-white","0.06","0.11","-0.581434912142886","-1.98522369328898","0.822353869003208","0.416899576720386","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.140868915769311 0 0.401793701913333 0.298594617298805 0.158742765018551","0 0.00301388987546415 0.455060324712281 0 0.541925785412255"
"23","free_days_mv_28","vp_elig","MIMIC","non-white","0.11","0.21","0.235635791340712","-0.471982445858865","0.943254028540288","0.513964530654308","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.138904899126507 0 0.230741013394374 0.506836016704716 0.123518070774403","0.296519343364987 0 0 0.634948719465573 0.0685319371694396"
"24","free_days_mv_28","vp_elig","MIMIC","non-white","0.21","1","-0.931084644034436","-1.85692356418778","-0.00524572388109115","0.0487118450156118","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.200436115987463 0 0 0.572222849995735 0.227341034016802","0 0 0.544116145155343 0.241806109301905 0.214077745542752"
