"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","free_days_vp_28","mv_elig","MIMIC","white","0","0.06","0.148301927029731","-0.0675986543742764","0.364202508433738","0.178198582676493","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.124852685313222 0 0 0.394627659633257 0.480519655053521","0.0659113798689904 0 0 0.336165225478704 0.597923394652305"
"2","free_days_vp_28","mv_elig","MIMIC","white","0.06","0.11","0.468548455436664","0.208036296141256","0.729060614732072","0.000423178454053563","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0315266603569619 0 0 0.57742893372446 0.391044405918578","0 0 0 0.488284339936865 0.511715660063135"
"3","free_days_vp_28","mv_elig","MIMIC","white","0.11","0.21","0.502833107770238","0.199219713083881","0.806446502456596","0.0011700660016095","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0293552309921362 0 0 0.61191151922998 0.358733249777884","0.0305950191926133 0 0 0.460607422854759 0.508797557952628"
"4","free_days_vp_28","mv_elig","MIMIC","white","0.21","1","0.180321896813319","-0.204920128798075","0.565563922424714","0.358919634145705","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0542040678201467 0 0 0.581248803952138 0.364547128227715","0.214833020891395 0 0 0.140287040018593 0.644879939090012"
"5","free_days_vp_28","mv_elig","MIMIC","non-white","0","0.06","0.511458879836153","0.014625827066491","1.00829193260581","0.0436226503574749","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.31219116100544 0 0.0939075957571387 0.563411421216112 0.0304898220213092","0 0 0 0.80899201953361 0.19100798046639"
"6","free_days_vp_28","mv_elig","MIMIC","non-white","0.06","0.11","0.253464065058175","-0.30628737332448","0.81321550344083","0.374799992656195","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.105575205324506 0 0.187088298096052 0.653871745426795 0.0534647511526472","0.174015208573986 0 0 0.356977815585818 0.469006975840196"
"7","free_days_vp_28","mv_elig","MIMIC","non-white","0.11","0.21","1.22279769647056","0.582495759794378","1.86309963314675","0.000181798542576415","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.10697691794305 0 0 0.623824252540382 0.269198829516568","0.173349450170475 0 0 0.426406337871849 0.400244211957676"
"8","free_days_vp_28","mv_elig","MIMIC","non-white","0.21","1","0.81622949555627","0.0624989775634277","1.56996001354911","0.0337939044519127","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0922040091925542 0 0 0.625313136345045 0.2824828544624","0.153583543216033 0 0 0.659276409773242 0.187140047010725"
"9","free_days_vp_28","rrt_elig","MIMIC","white","0","0.06","-0.978986858094314","-1.19637413375181","-0.761599582436814","1.07800717994146e-18","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.224943408719249 0 0 0.549118308688748 0.225938282592004","0 0 0.316531111097104 0.602624733158447 0.0808441557444495"
"10","free_days_vp_28","rrt_elig","MIMIC","white","0.06","0.11","0.0891067646999071","-0.141078740344513","0.319292269744327","0.448012500005953","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.039222745000679 0 0 0.620317967545811 0.34045928745351","0.217675651384227 0 0 0.745264201584745 0.0370601470310278"
"11","free_days_vp_28","rrt_elig","MIMIC","white","0.11","0.21","-0.428777464604554","-0.714103545178143","-0.143451384030965","0.00322521338239187","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0 0.661659225355213 0.338340774644787","0.217875350661438 0 0 0.52073393063809 0.261390718700472"
"12","free_days_vp_28","rrt_elig","MIMIC","white","0.21","1","-0.076236615285719","-0.495244658704542","0.342771428133104","0.721381453607156","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0492027572911225 0 0 0.628165002755044 0.322632239953833","0 0 0.624873464281689 0.26042859826674 0.114697937451571"
"13","free_days_vp_28","rrt_elig","MIMIC","non-white","0","0.06","-1.40894922372636","-1.93090286760072","-0.886995579852004","1.21797616041438e-07","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.283287972850031 0 0.12462125290487 0.588472048912647 0.00361872533245142","0.0726273114543722 0 0.285376232780988 0.64199645576464 0"
"14","free_days_vp_28","rrt_elig","MIMIC","non-white","0.06","0.11","0.141174081018688","-0.432321035516453","0.714669197553829","0.629463423756808","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.292321426654815 0 0 0.684362960901161 0.023315612444024","0.287103850946875 0 0.27897582969788 0.355946651620433 0.0779736677348121"
"15","free_days_vp_28","rrt_elig","MIMIC","non-white","0.11","0.21","-1.63805138754636","-2.25229102617063","-1.0238117489221","1.72358140469262e-07","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.121561639949749 0 0.0771409879397843 0.646944092545032 0.154353279565435","0 0 0.394891349525115 0.512666964895537 0.0924416855793477"
"16","free_days_vp_28","rrt_elig","MIMIC","non-white","0.21","1","-0.648945611391066","-1.42601217156362","0.128120948781486","0.101663967292997","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.061773533636519 0 0 0.734377166230464 0.203849300133017","0 0 0.364068888815226 0.539365707019731 0.096565404165043"
"17","free_days_vp_28","vp_elig","MIMIC","white","0","0.06","21.6833493369959","21.3928501828032","21.9738484911887","0","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.149110473342237 0 0 0.514826221783392 0.336063304874371","0.141914305477623 0 0 0.471935520636538 0.38615017388584"
"18","free_days_vp_28","vp_elig","MIMIC","white","0.06","0.11","17.4432472674776","17.0860651994635","17.8004293354917","0","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0280607215706914 0 0 0.603825778597976 0.368113499831333","0.111306151221773 0 0 0.485892303425192 0.402801545353036"
"19","free_days_vp_28","vp_elig","MIMIC","white","0.11","0.21","15.7370995061246","15.3350214239573","16.139177588292","0","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0 0.61236430376243 0.38763569623757","0.27767962600562 0 0 0.486459191560002 0.235861182434378"
"20","free_days_vp_28","vp_elig","MIMIC","white","0.21","1","11.2674520083643","10.8057301759624","11.7291738407662","0","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0449041491613042 0 0 0.626693518664003 0.328402332174692","0 0 0.197140348773516 0.401798444724688 0.401061206501796"
"21","free_days_vp_28","vp_elig","MIMIC","non-white","0","0.06","20.7761870581487","20.1424073431112","21.4099667731861","0","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.279210259494081 0 0.107556370107924 0.582904525579688 0.0303288448183077","0.258551217471777 0 0.197210890158162 0.488175949402258 0.0560619429678023"
"22","free_days_vp_28","vp_elig","MIMIC","non-white","0.06","0.11","19.4966299434227","18.9202794118259","20.0729804750194","0","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.323453659793709 0 0 0.676546340206291 0","0 0 0.308214302980074 0.552849726037923 0.138935970982004"
"23","free_days_vp_28","vp_elig","MIMIC","non-white","0.11","0.21","16.4316077186507","15.6009354327675","17.2622800045339","0","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.214733448820317 0 0 0.603299529629768 0.181967021549915","0.191035621027698 0 0.196830642701781 0.362571417775849 0.249562318494672"
"24","free_days_vp_28","vp_elig","MIMIC","non-white","0.21","1","10.2807679998701","9.04890906598791","11.5126269337522","3.83710758159542e-60","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0860299419839771 0 0 0.67732584749864 0.236644210517382","0 0 0.505272600882933 0.229619003342899 0.265108395774168"
