"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","insulin_yes","mv_elig","MIMIC","all","0","0.06","0.0704635580119692","0.0424436401220964","0.098483475901842","8.26757558992693e-07","3863","SL.glm SL.mean","0.988878365160406 0.0111216348395945","0.93921222106559 0.0607877789344101"
"2","insulin_yes","mv_elig","MIMIC","all","0.06","0.11","0.0586099670653492","0.0311036025026621","0.0861163316280363","2.96255637794409e-05","4506","SL.glm SL.mean","0.989133612192291 0.0108663878077087","0.978902397539733 0.0210976024602669"
"3","insulin_yes","mv_elig","MIMIC","all","0.11","0.21","0.0221495665571196","-0.0116988691685992","0.0559980022828383","0.199641085936781","4161","SL.glm SL.mean","0.976982814294109 0.0230171857058913","0.995798658820406 0.00420134117959359"
"4","insulin_yes","mv_elig","MIMIC","all","0.21","1","0.0273258665238034","-0.0027101115238231","0.0573618445714299","0.0745616499975176","3913","SL.glm SL.mean","0.989183250598652 0.0108167494013476","0.986945578029312 0.0130544219706882"
"5","insulin_yes","rrt_elig","MIMIC","all","0","0.06","0.0351991273282542","0.0172962534724269","0.0531020011840815","0.000116399673966859","3863","SL.glm SL.mean","0.989122746091975 0.0108772539080247","0.906884348003475 0.0931156519965253"
"6","insulin_yes","rrt_elig","MIMIC","all","0.06","0.11","-0.00916189010230678","-0.0311065337856501","0.0127827535810366","0.413185836543536","4506","SL.glm SL.mean","0.995190384568316 0.00480961543168434","0.926570814599773 0.0734291854002269"
"7","insulin_yes","rrt_elig","MIMIC","all","0.11","0.21","0.0340514743708359","0.0094504867294614","0.0586524620122104","0.00666901100070004","4161","SL.glm SL.mean","0.980330504444678 0.019669495555322","0.905206631537334 0.0947933684626657"
"8","insulin_yes","rrt_elig","MIMIC","all","0.21","1","0.0792079021579439","0.0517051460966942","0.106710658219194","1.65375797126409e-08","3913","SL.glm SL.mean","0.983220709742376 0.0167792902576236","0.936631404729766 0.0633685952702338"
"9","insulin_yes","vp_elig","MIMIC","all","0","0.06","0.085675049989666","0.058825418081348","0.112524681897984","3.99546307297425e-10","3863","SL.glm SL.mean","0.985315779347383 0.0146842206526171","0.978223330625218 0.0217766693747819"
"10","insulin_yes","vp_elig","MIMIC","all","0.06","0.11","0.113441148771038","0.0804091038531424","0.146473193688934","1.6829221248974e-11","4506","SL.glm SL.mean","0.993381603246744 0.00661839675325593","0.997357335330033 0.00264266466996668"
"11","insulin_yes","vp_elig","MIMIC","all","0.11","0.21","0.0869235053606542","0.0556506817546803","0.118196328966628","5.09784904939762e-08","4161","SL.glm SL.mean","0.978030516252348 0.0219694837476517","0.989724760929553 0.0102752390704466"
"12","insulin_yes","vp_elig","MIMIC","all","0.21","1","0.129841807682484","0.0930085221693457","0.166675093195623","4.87263221245447e-12","3913","SL.glm SL.mean","0.983393907945946 0.0166060920540535","0.980617103237479 0.0193828967625209"
