"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mv_elig","MIMIC","white","0","0.06","-0.0192277192747273","-0.0344795497973914","-0.00397588875206317","0.0134759126492636","3163","SL.glm SL.mean","0.712291254404942 0.287708745595058","0.93897542427821 0.0610245757217896"
"2","mortality_in","mv_elig","MIMIC","white","0.06","0.11","-0.00653390151394499","-0.0390942278544955","0.0260264248266056","0.694087244194264","3722","SL.glm SL.mean","0.879814886495529 0.120185113504471","0.981952183065016 0.0180478169349839"
"3","mortality_in","mv_elig","MIMIC","white","0.11","0.21","-0.0120235668557652","-0.0360303630849388","0.0119832293734085","0.326273958000043","3445","SL.glm SL.mean","0.89187899667591 0.10812100332409","0.985405212686957 0.0145947873130434"
"4","mortality_in","mv_elig","MIMIC","white","0.21","1","0.0510405267430894","0.0138252189509698","0.088255834535209","0.00718543011266399","3232","SL.glm SL.mean","0.933411469056669 0.0665885309433309","0.992108163969443 0.00789183603055705"
"5","mortality_in","mv_elig","MIMIC","non-white","0","0.06","0.0274178811232908","-0.0279018205271948","0.0827375827737763","0.331335732017622","700","SL.glm SL.mean","0.1878916696252 0.8121083303748","0.656633742375049 0.343366257624951"
"6","mortality_in","mv_elig","MIMIC","non-white","0.06","0.11","0.0165344051696187","-0.0421185018404742","0.0751873121797117","0.580585946991764","784","SL.glm SL.mean","0.709154531915687 0.290845468084313","0.959050866117015 0.0409491338829854"
"7","mortality_in","mv_elig","MIMIC","non-white","0.11","0.21","0.0170772218159574","-0.0656366184875384","0.0997910621194531","0.685724140776943","716","SL.glm SL.mean","0.639476273041489 0.360523726958511","0.959024862638136 0.0409751373618643"
"8","mortality_in","mv_elig","MIMIC","non-white","0.21","1","-0.0296829514545213","-0.0931486760793352","0.0337827731702925","0.359303540618986","681","SL.glm SL.mean","0.744231265673063 0.255768734326937","0.882425519402118 0.117574480597882"
"9","mortality_in","rrt_elig","MIMIC","white","0","0.06","0.107799501035577","0.0818275566807184","0.133771445390435","4.1125095243299e-16","3163","SL.glm SL.mean","0.729453078193033 0.270546921806967","0.886820412747788 0.113179587252212"
"10","mortality_in","rrt_elig","MIMIC","white","0.06","0.11","0.0315379172496849","0.000578829322537854","0.0624970051768319","0.04586372672619","3722","SL.glm SL.mean","0.833709579560283 0.166290420439716","0.671094692633761 0.328905307366239"
"11","mortality_in","rrt_elig","MIMIC","white","0.11","0.21","0.028149566548705","0.00242528225912176","0.0538738508382882","0.0319697569902032","3445","SL.glm SL.mean","0.873724896182011 0.126275103817989","0.880336773646711 0.119663226353289"
"12","mortality_in","rrt_elig","MIMIC","white","0.21","1","0.0194223156067852","-0.0178026940984264","0.0566473253119968","0.306478665789454","3232","SL.glm SL.mean","0.937934953427015 0.0620650465729853","0.954015362651903 0.0459846373480966"
"13","mortality_in","rrt_elig","MIMIC","non-white","0","0.06","-0.00766227267624171","-0.0279838821514265","0.0126593367989431","0.459895492010531","700","SL.glm SL.mean","0.0382212204270569 0.961778779572943","0.790698131350015 0.209301868649985"
"14","mortality_in","rrt_elig","MIMIC","non-white","0.06","0.11","-0.0268792211077277","-0.0663959534298355","0.0126375112143801","0.182469783903786","784","SL.glm SL.mean","0.627778377686922 0.372221622313078","0.81689610290535 0.18310389709465"
"15","mortality_in","rrt_elig","MIMIC","non-white","0.11","0.21","0.0121807937548742","-0.0717067303902691","0.0960683179000174","0.775950918258608","716","SL.glm SL.mean","0.54284756150885 0.45715243849115","0.495572686491392 0.504427313508608"
"16","mortality_in","rrt_elig","MIMIC","non-white","0.21","1","0.0313603853122369","-0.0266699786063962","0.08939074923087","0.28950404633491","681","SL.glm SL.mean","0.716817902244108 0.283182097755892","0.851481327474247 0.148518672525753"
"17","mortality_in","vp_elig","MIMIC","white","0","0.06","-0.00708654186934397","-0.0291610825523159","0.014987998813628","0.529208608049204","3163","SL.glm SL.mean","0.752211505361896 0.247788494638104","0.968647560093308 0.031352439906692"
"18","mortality_in","vp_elig","MIMIC","white","0.06","0.11","-0.00365283055979296","-0.0312983742567564","0.0239927131371705","0.795653323530438","3722","SL.glm SL.mean","0.877029545495993 0.122970454504007","0.988571047191999 0.0114289528080015"
"19","mortality_in","vp_elig","MIMIC","white","0.11","0.21","0.0257017844370941","-0.00990840828264219","0.0613119771568304","0.157174943898617","3445","SL.glm SL.mean","0.889966662818817 0.110033337181183","0.999480847571712 0.000519152428287782"
"20","mortality_in","vp_elig","MIMIC","white","0.21","1","0.0196108870500085","-0.0178842229525167","0.0571059970525336","0.305302147523581","3232","SL.glm SL.mean","0.93588751336411 0.0641124866358904","0.961339915933226 0.0386600840667741"
"21","mortality_in","vp_elig","MIMIC","non-white","0","0.06","0.0219193853075166","-0.0195085173962614","0.0633472880112947","0.299721681882928","700","SL.glm SL.mean","0.242344316421843 0.757655683578157","0.782278626683198 0.217721373316802"
"22","mortality_in","vp_elig","MIMIC","non-white","0.06","0.11","0.0278124211853985","-0.0578601890718507","0.113485031442648","0.524589548795638","784","SL.glm SL.mean","0.682726508543031 0.317273491456969","0.98152211852254 0.0184778814774606"
"23","mortality_in","vp_elig","MIMIC","non-white","0.11","0.21","-0.00551224982076073","-0.0592626924337179","0.0482381927921964","0.840696091069219","716","SL.glm SL.mean","0.645627793667081 0.354372206332919","0.682043721806615 0.317956278193385"
"24","mortality_in","vp_elig","MIMIC","non-white","0.21","1","0.030781614996886","-0.0333190470194594","0.0948822770132314","0.346599001232517","681","SL.glm SL.mean","0.74754396381817 0.25245603618183","0.891565160966508 0.108434839033492"
