"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mv_elig","MIMIC","white","0","0.06","-0.0148263508910841","-0.022854183496066","-0.00679851828610214","0.000294759955297614","3163","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.272580412379504 0.657647847476558 0.0697717401439375 0","0 0 0.601816080948716 0.398183919051284 0"
"2","mortality_in","mv_elig","MIMIC","white","0.06","0.11","0.00466741744244896","-0.00688000950671924","0.0162148443916172","0.428230611064742","3722","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.249960366927576 0 0.455465262891992 0.294574370180432 0","0.0505837141196044 0 0.433382794735971 0.516033491144425 0"
"3","mortality_in","mv_elig","MIMIC","white","0.11","0.21","-0.0229365095476","-0.0373399658994336","-0.00853305319576639","0.00180137289902389","3445","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.28316872337426 0 0.558922443298273 0.157908833327468 0","0.199658834362785 0 0.19362080540544 0.606720360231775 0"
"4","mortality_in","mv_elig","MIMIC","white","0.21","1","0.0341227908466697","0.0162922537654175","0.0519533279279218","0.000176196690593194","3232","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.384749799351471 0 0.369495350464089 0.24575485018444 0","0.276422991381207 0 0.25431031108467 0.469266697534123 0"
"5","mortality_in","mv_elig","MIMIC","non-white","0","0.06","0.00708555895353316","-0.0112729174818958","0.0254440353889621","0.449365530368811","700","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0492952250777369 0 0.653179642049569 0 0.297525132872694","0.225659770115383 0 0.551555188973215 0.222785040911402 0"
"6","mortality_in","mv_elig","MIMIC","non-white","0.06","0.11","0.0219813563688386","-0.00112040081609591","0.045083113553773","0.062189405615145","784","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.386417806026826 0 0.37231537425568 0.241266819717494 0","0 0 0.534855606103115 0.465144393896885 0"
"7","mortality_in","mv_elig","MIMIC","non-white","0.11","0.21","-0.0145415112475576","-0.0474631462254314","0.0183801237303162","0.386636328302955","716","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0537498208890347 0.323707919507061 0.622542259603905 0 0","0.204076168384027 0 0.622177613353939 0.173746218262034 0"
"8","mortality_in","mv_elig","MIMIC","non-white","0.21","1","-0.05788890266233","-0.0935861176858245","-0.0221916876388356","0.00148058513327065","681","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.355205613257135 0.0232032957509496 0.612872690422851 0.00871840056906428 0","0.26872446200386 0 0.633422186625924 0.0978533513702153 0"
"9","mortality_in","rrt_elig","MIMIC","white","0","0.06","0.0487232238824093","0.0389881285659196","0.058458319198899","1.02360238504196e-22","3163","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.179597581481274 0.147970510220926 0.655697087749501 0.0167348205482991 0","0.316428247303663 0.287333566313199 0.295321066888164 0.100917119494975 0"
"10","mortality_in","rrt_elig","MIMIC","white","0.06","0.11","0.0497594567364027","0.0385834819797754","0.0609354314930301","2.62386452750634e-18","3722","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.207022134448568 0 0.547741860476088 0.245236005075344 0","0 0.683384447736634 0.301219826234914 0.015395726028452 0"
"11","mortality_in","rrt_elig","MIMIC","white","0.11","0.21","-0.0440409232890787","-0.0562630548856316","-0.0318187916925258","1.63398014414413e-12","3445","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.302256122392959 0 0.485587885727347 0.212155991879694 0","0 0.526056471011263 0.473943528988737 0 0"
"12","mortality_in","rrt_elig","MIMIC","white","0.21","1","-0.0261814950673667","-0.0428492649247482","-0.00951372520998514","0.00207877992176623","3232","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.337819422912594 0 0.436553072878555 0.225627504208851 0","0.16938541478688 0.470716858169673 0.355525843401758 0.0043718836416884 0"
"13","mortality_in","rrt_elig","MIMIC","non-white","0","0.06","-0.00317720023868142","-0.0223759182876167","0.0160215178102539","0.745664857453194","700","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.068794855131672 0 0.88203316572891 0.000933759397709782 0.0482382197417089","0 0.495544452696365 0.26345022105945 0.241005326244184 0"
"14","mortality_in","rrt_elig","MIMIC","non-white","0.06","0.11","-0.0879361139835755","-0.110183277629682","-0.0656889503374688","9.38891855092776e-15","784","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.499833046261431 0 0.459562120139573 0.040604833598996 0","0 0.140800687872486 0.616545010895511 0.242654301232003 0"
"15","mortality_in","rrt_elig","MIMIC","non-white","0.11","0.21","0.00563581208089631","-0.042207719014016","0.0534793431758086","0.81740677477683","716","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.405494831426491 0.351563641180415 0.242941527393094 0","0 0.819281936200745 0.180718063799255 0 0"
