"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","mortality_in","mv_elig","MIMIC","white","0","0.06","-0.0259283014429614","-0.0343027060616928","-0.0175538968242299","1.29168361280053e-09","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0955130272320748 0 0.235442923096866 0.669044049671059 0","0.265091129225009 0 0 0.45270807133055 0.282200799444441"
"2","mortality_in","mv_elig","MIMIC","white","0.06","0.11","0.00416560898387069","-0.00637803322584234","0.0147092511935837","0.438716875468105","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.240031129787813 0 0 0.556070092102452 0.203898778109736","0.0492537864711901 0 0 0.303447962005227 0.647298251523583"
"3","mortality_in","mv_elig","MIMIC","white","0.11","0.21","-0.0284587713897253","-0.0435475232653107","-0.0133700195141399","0.00021838583900912","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.275538761040479 0 0 0.557807772640345 0.166653466319176","0.187233743891165 0 0 0.26279248642045 0.549973769688385"
"4","mortality_in","mv_elig","MIMIC","white","0.21","1","0.0212015444349294","0.00212767107764882","0.04027541779221","0.0293587198577334","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.299716698777204 0 0 0.519585381339012 0.180697919883784","0.207423496172708 0 0 0.0857080564096771 0.706868447417615"
"5","mortality_in","mv_elig","MIMIC","non-white","0","0.06","0.0121374408098474","-0.0076312800855833","0.0319061617052781","0.228827334702411","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.115265098735784 0 0.412893834441337 0.471841066822878 0","0.236216714535047 0 0 0.442815938028642 0.32096734743631"
"6","mortality_in","mv_elig","MIMIC","non-white","0.06","0.11","0.00568274808440014","-0.0163579863232796","0.0277234824920799","0.61331618105229","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.261116390869461 0 0.0802474707255388 0.576762041787786 0.0818740966172136","0 0 0 0.627964465176377 0.372035534823623"
"7","mortality_in","mv_elig","MIMIC","non-white","0.11","0.21","-0.0213102080692321","-0.0507626989713451","0.00814228283288092","0.156147393886065","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0799147413463173 0 0.247464900867982 0.5299115343774 0.142708823408301","0.029982440101037 0 0 0.538408073815733 0.43160948608323"
"8","mortality_in","mv_elig","MIMIC","non-white","0.21","1","-0.014667836247527","-0.0488989074619888","0.0195632349669347","0.400992595124529","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.430881248088997 0 0 0.504704961924866 0.0644137899861373","0.204514521891377 0 0 0.249954542502447 0.545530935606175"
"9","mortality_in","rrt_elig","MIMIC","white","0","0.06","0.0611648866825367","0.0514744816046113","0.070855291760462","3.73593834975503e-35","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.190690415015329 0 0.276611557939514 0.532698027045157 0","0.393418699185987 0 0 0.482396336304774 0.124184964509239"
"10","mortality_in","rrt_elig","MIMIC","white","0.06","0.11","0.0125588164957164","0.00247026477523643","0.0226473682161963","0.0146904292413104","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.191264064969166 0 0 0.515099634159212 0.293636300871621","0 0 0.469739294327936 0.530260705672064 0"
"11","mortality_in","rrt_elig","MIMIC","white","0.11","0.21","0.0466580514986666","0.034029337319284","0.0592867656780493","4.4402206351861e-13","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.276728115651046 0 0 0.511182727042624 0.21208915730633","0.219371183989283 0 0.196157572499923 0.420218473415518 0.164252770095276"
"12","mortality_in","rrt_elig","MIMIC","white","0.21","1","0.0162254259758861","-0.00069216522415445","0.0331430171759266","0.0601341560168536","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.296821469433656 0 0 0.479924766469862 0.223253764096483","0.223026294727789 0 0.266484600569621 0.34345556832401 0.167033536378581"
"13","mortality_in","rrt_elig","MIMIC","non-white","0","0.06","0.0401801181926484","0.0167730238529276","0.0635872125323693","0.000766841136689962","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.279033547409541 0 0.00103159547294263 0.710223992022323 0.00971086509519417","0 0 0.385951816858017 0.412392779656332 0.201655403485651"
"14","mortality_in","rrt_elig","MIMIC","non-white","0.06","0.11","-0.0166571812596726","-0.0407011056589065","0.00738674313956129","0.174510856330181","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0637295414549321 0 0.515116798645564 0.336027817205641 0.0851258426938626","0.0802762312255401 0.118582934958301 0.226840078531351 0.574300755284808 0"
"15","mortality_in","rrt_elig","MIMIC","non-white","0.11","0.21","0.0467083619718499","0.0168352014838892","0.0765815224598106","0.00217983204077883","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.193238305121635 0.647954723101907 0.158806971776458","0.407258331435356 0 0 0.510974005884163 0.0817676626804816"
"16","mortality_in","rrt_elig","MIMIC","non-white","0.21","1","0.0071563232835522","-0.0313707951448075","0.0456834417119119","0.715809117900702","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.367122087091648 0 0 0.519379423895336 0.113498489013016","0.245593293772329 0 0.514359781692253 0.240046924535418 0"
"17","mortality_in","vp_elig","MIMIC","white","0","0.06","-0.02208280733816","-0.0307454075549922","-0.0134202071213277","5.83934365891126e-07","3670","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.143500745697506 0 0.268505487800066 0.533233039768426 0.0547607267340015","0.0824914015846399 0 0 0.544806633104399 0.372701965310961"
"18","mortality_in","vp_elig","MIMIC","white","0.06","0.11","0.00236619375294411","-0.00828580884966771","0.0130181963555559","0.663281797057534","4330","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.193849443299522 0 0 0.606873309812092 0.199277246888386","0.132733750744562 0 0 0.442611549050959 0.42465470020448"
"19","mortality_in","vp_elig","MIMIC","white","0.11","0.21","0.00469151455780945","-0.0125382731865796","0.0219213023021985","0.59355590392958","4059","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.29837823443476 0 0 0.472851257319981 0.228770508245259","0.219043425703421 0 0 0.170986533376207 0.609970040920372"
"20","mortality_in","vp_elig","MIMIC","white","0.21","1","0.00977872432538351","-0.00877859050024358","0.0283360391510106","0.301689812629406","3864","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.33234940509144 0 0 0.458686057186782 0.208964537721778","0.279447273622971 0 0 0.342964342537395 0.377588383839634"
"21","mortality_in","vp_elig","MIMIC","non-white","0","0.06","0.0182336204834053","-0.00651778784367673","0.0429850288104874","0.148774635139528","824","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0191159809388949 0 0.549011943730717 0.341249412598078 0.0906226627323097","0 0 0.294256521848505 0.448747012991339 0.256996465160156"
"22","mortality_in","vp_elig","MIMIC","non-white","0.06","0.11","-0.00586699046957859","-0.0296573880896391","0.0179234071504819","0.62884089869373","933","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.127227243160098 0 0.333903104622036 0.407167310215725 0.131702342002141","0 0 0 0.804363991350522 0.195636008649478"
"23","mortality_in","vp_elig","MIMIC","non-white","0.11","0.21","-0.0292059988470109","-0.0589461266282159","0.000534128934194029","0.0542545532370682","855","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0628569994258215 0 0.293362540313316 0.429299459315905 0.214481000944957","0.118005175476132 0 0 0.881994824523868 0"
"24","mortality_in","vp_elig","MIMIC","non-white","0.21","1","0.0333108249725888","-0.0254549207798441","0.0920765707250217","0.266564881721525","884","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.414060637094465 0 0 0.585939362905535 0","0.0440256741752405 0 0.665357930156455 0.0508353953309288 0.239781000337375"
