"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","odd_hour","mv_elig","MIMIC","all","0","0.06","-0.0200373655479648","-0.0715793732329415","0.0315046421370119","0.446080539479529","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0461539418077765 0.953846058192223 0 0 0","0 0 0 0.0468081011511902 0.95319189884881"
"2","odd_hour","mv_elig","MIMIC","all","0.06","0.11","-0.00103002881728215","-0.0292094290713985","0.0271493714368342","0.942886027129822","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0227942000249708 0.950083553957352 0 0 0.0271222460176775","0 0 0.176249278599767 0.179781568411191 0.643969152989042"
"3","odd_hour","mv_elig","MIMIC","all","0.11","0.21","0.00791696897068755","-0.0228065065797449","0.03864044452112","0.613515308987483","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0793657120108185 0.853603543937705 0 0.0133815926445551 0.0536491514069215","0.105745253955413 0.00335954080277708 0 0.0520679486655647 0.838827256576245"
"4","odd_hour","mv_elig","MIMIC","all","0.21","1","0.00722017688380538","-0.0261893793663758","0.0406297331339866","0.67187374066453","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 1 0 0 0","0 0 0.433551706417045 0.566448293582955 0"
"5","odd_hour","mv_elig","MIMIC","all","0","1","-0.000655806499649247","-0.0148206589047599","0.0135090459054614","0.927695706498166","19419","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.199353070598638 0 0 0.0288970020527776 0.771749927348584","0 0 0 0.497108413387314 0.502891586612686"
"6","odd_hour","rrt_elig","MIMIC","all","0","0.06","0.0341025095019882","-0.0300736021463545","0.0982786211503308","0.297632723214248","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.147431592957085 0.852568407042915 0 0 0","0 0.921609470376487 0 0.0783905296235127 0"
"7","odd_hour","rrt_elig","MIMIC","all","0.06","0.11","-0.0351763926015758","-0.0954579737741476","0.0251051885709959","0.25273647660328","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0 0.830430439138684 0 0.169569560861316","0 0 0 0 1"
"8","odd_hour","rrt_elig","MIMIC","all","0.11","0.21","-0.0269518657448744","-0.0845549019101643","0.0306511704204155","0.359109230597868","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.0894376029536835 0.85038537196605 0 0 0.0601770250802671","0 0 0 0.618421502080512 0.381578497919488"
"9","odd_hour","rrt_elig","MIMIC","all","0.21","1","-0.0287388877593414","-0.0713900089566276","0.0139122334379448","0.186610140345495","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0.879397094043331 0 0 0.120602905956669","0 0 0 0 1"
"10","odd_hour","rrt_elig","MIMIC","all","0","1","-0.0208065138057262","-0.0481898109702651","0.00657678335881267","0.136419705471986","19419","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.334532311152473 0.665467688847527 0 0 0","0 0 0 1 0"
"11","odd_hour","vp_elig","MIMIC","all","0","0.06","0.000644069999284347","-0.0297712124872534","0.0310593524858221","0.966893545408341","4494","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 1 0 0 0","0 0 0 1 0"
"12","odd_hour","vp_elig","MIMIC","all","0.06","0.11","0.016862946851088","-0.0114905452692226","0.0452164389713985","0.243739896050546","5263","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0.967687368311536 0 0 0.0323126316884641","0 0 0.016020261317648 0 0.983979738682352"
"13","odd_hour","vp_elig","MIMIC","all","0.11","0.21","0.00910163788070856","-0.0189704630646141","0.0371737388260312","0.525116532253454","4914","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.205897247132651 0.713956754094161 0 0.0130606395792999 0.0670853591938882","0 0 0 0 1"
"14","odd_hour","vp_elig","MIMIC","all","0.21","1","-0.0114549953328135","-0.040563512928171","0.017653522262544","0.440521167671545","4748","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0 0.946993313932393 0 0 0.0530066860676068","0 1 0 0 0"
"15","odd_hour","vp_elig","MIMIC","all","0","1","0.00483276485651618","-0.0066153909898326","0.016280920702865","0.408009639597117","19419","SL.glm SL.mean SL.glmnet SL.ranger SL.earth","0.186688971488781 0 0 0 0.813311028511219","0 0 0 0.628982727342497 0.371017272657503"
