"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,-0.0458843356127327,-0.0705365360004245,-0.0212321352250409,0.00026420326521721,8670
"2","ventilation_bin","all",0.1,0.2,-0.0911369984045405,-0.122440087160037,-0.0598339096490438,1.15378284015816e-08,4785
"3","ventilation_bin","all",0.2,0.3,-0.122192637843028,-0.1746489345128,-0.0697363411732559,4.97927292877347e-06,2148
"4","ventilation_bin","all",0.3,1,-0.139487591737501,-0.186108758393269,-0.092866425081732,4.51312912452859e-09,2840
"5","ventilation_bin","non-white",0,0.1,-0.0478124866827781,-0.10292809538648,0.00730312202092365,0.0890765420341914,1598
"6","ventilation_bin","non-white",0.1,0.2,-0.113084323709392,-0.185432466391895,-0.0407361810268899,0.00218696106796063,836
"7","ventilation_bin","non-white",0.2,0.3,-0.0694205202520985,-0.18026064823325,0.0414196077290531,0.21960773878574,363
"8","ventilation_bin","non-white",0.3,1,-0.214832303802449,-0.304339094920612,-0.125325512684286,2.54675431661377e-06,510
"9","ventilation_bin","white",0,0.1,-0.0494213757710382,-0.0765270323043916,-0.0223157192376848,0.00035205098324867,7072
"10","ventilation_bin","white",0.1,0.2,-0.0862866009208298,-0.121192375757009,-0.0513808260846502,1.26552157500773e-06,3949
"11","ventilation_bin","white",0.2,0.3,-0.136403952112757,-0.196713624142873,-0.0760942800826422,9.29382302824244e-06,1785
"12","ventilation_bin","white",0.3,1,-0.123384880323863,-0.175673453360634,-0.0710963072870926,3.74608247012156e-06,2330
"13","rrt","all",0,0.1,0.167523888541303,0.132136916475406,0.202910860607201,1.71480489120618e-20,8670
"14","rrt","all",0.1,0.2,0.147392198553274,0.101132868340314,0.193651528766233,4.23847478130044e-10,4785
"15","rrt","all",0.2,0.3,0.10650265104708,0.0385453000648692,0.17446000202929,0.00212837217013278,2148
"16","rrt","all",0.3,1,0.0774919801107957,0.0278883059885083,0.127095654233083,0.00219895574801698,2840
"17","rrt","non-white",0,0.1,0.0805183427048538,0.00154927186702158,0.159487413542686,0.0456676046160619,1598
"18","rrt","non-white",0.1,0.2,-0.0160915057358992,-0.119312185769944,0.087129174298146,0.759945284914246,836
"19","rrt","non-white",0.2,0.3,0.0794731252508111,-0.0711970083692775,0.2301432588709,0.301215578202844,363
"20","rrt","non-white",0.3,1,0.0308952918483304,-0.0868451424488029,0.148635726145464,0.607037116208938,510
"21","rrt","white",0,0.1,0.205163727396414,0.167589479723413,0.242737975069416,9.95674045045919e-27,7072
"22","rrt","white",0.1,0.2,0.190994804280231,0.139779792595627,0.242209815964835,2.68384267486396e-13,3949
"23","rrt","white",0.2,0.3,0.107915244235043,0.03405803966461,0.181772448805475,0.00418563302783992,1785
"24","rrt","white",0.3,1,0.0814229203085852,0.0269710612704522,0.135874779346718,0.00338062085099824,2330
"25","pressor","all",0,0.1,-0.0527937547297119,-0.0714194001513229,-0.034168109308101,2.76734315716116e-08,8670
"26","pressor","all",0.1,0.2,-0.0166155354745435,-0.0444789140819151,0.011247843132828,0.242488087659901,4785
"27","pressor","all",0.2,0.3,0.0457654730905085,0.00376265486554395,0.0877682913154731,0.0327137626596378,2148
"28","pressor","all",0.3,1,0.00347646864159845,-0.0383535760996285,0.0453065133828254,0.870601608373777,2840
"29","pressor","non-white",0,0.1,-0.043903872189644,-0.0931940555994209,0.00538631122013298,0.0808429345571878,1598
"30","pressor","non-white",0.1,0.2,-0.000653543711605975,-0.0673288770204998,0.0660217895972879,0.984672233960537,836
"31","pressor","non-white",0.2,0.3,0.0747139048338992,-0.0272357605336114,0.17666357020141,0.150892028514946,363
"32","pressor","non-white",0.3,1,0.0802319436750767,-0.0178103485687284,0.178274235918882,0.108725805114755,510
"33","pressor","white",0,0.1,-0.0532004587569686,-0.0736253017754805,-0.0327756157384567,3.30445642443581e-07,7072
"34","pressor","white",0.1,0.2,-0.0204399751573572,-0.0509997604035435,0.0101198100888291,0.189874647401725,3949
"35","pressor","white",0.2,0.3,0.0369070599883782,-0.00926174855806675,0.0830758685348232,0.117158670409326,1785
"36","pressor","white",0.3,1,-0.0218882734220385,-0.068001778727809,0.0242252318837321,0.352197572325522,2330
