"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.0150830930386152,-0.000367491297881927,0.0305336773751123,0.0556992299754712,15314
"2","ventilation_bin","all",0.1,0.2,0.0309511848784828,0.00936506531660365,0.0525373044403619,0.00494892805282834,7968
"3","ventilation_bin","all",0.2,0.3,0.00610177627817443,-0.0333126428665018,0.0455161954228506,0.761562876066215,3686
"4","ventilation_bin","all",0.3,1,-0.0197473662156908,-0.0551114312383502,0.0156166988069685,0.273749771265128,5851
"5","ventilation_bin","non-white",0,0.1,0.0119305399422318,-0.0224209770649556,0.0462820569494193,0.496046953758407,2866
"6","ventilation_bin","non-white",0.1,0.2,0.00757169276103192,-0.0445154516725377,0.0596588371946015,0.775707659643864,1356
"7","ventilation_bin","non-white",0.2,0.3,0.0528579029754636,-0.0297969864674112,0.135512792418338,0.210052023955135,602
"8","ventilation_bin","non-white",0.3,1,-0.00259672610943495,-0.0889120888557681,0.0837186366368982,0.952980005746341,1139
"9","ventilation_bin","white",0,0.1,0.0158260369412024,-0.0014935887912699,0.0331456626736747,0.0732971613546029,12448
"10","ventilation_bin","white",0.1,0.2,0.0308583800351144,0.00611605243850331,0.0556007076317255,0.0145056249094126,6612
"11","ventilation_bin","white",0.2,0.3,-0.00889593059810478,-0.0531222314424692,0.0353303702462596,0.69339973132459,3084
"12","ventilation_bin","white",0.3,1,-0.0174893088812815,-0.0559449957138701,0.020966377951307,0.372719552179189,4712
"13","rrt","all",0,0.1,0.144307316233703,0.120525571212389,0.168089061255016,1.28307966918493e-32,15314
"14","rrt","all",0.1,0.2,0.133804793936449,0.0967687174709325,0.170840870401965,1.42980234080425e-12,7968
"15","rrt","all",0.2,0.3,0.118765681278812,0.0640560408875355,0.173475321670089,2.09199083293848e-05,3686
"16","rrt","all",0.3,1,0.0384577386047495,0.00178939163774851,0.0751260855717506,0.0398165797062669,5851
"17","rrt","non-white",0,0.1,0.0711873661753589,0.0198364682471771,0.122538264103541,0.00658500690408508,2866
"18","rrt","non-white",0.1,0.2,-0.00341724976592583,-0.0866136072240076,0.0797791076921559,0.935834790120464,1356
"19","rrt","non-white",0.2,0.3,0.0743826972555696,-0.0472118923424467,0.195977286853586,0.230533785868555,602
"20","rrt","non-white",0.3,1,0.0699400362843958,-0.00947714874663405,0.149357221315426,0.0843283637903997,1139
"21","rrt","white",0,0.1,0.172141500795005,0.145673129278561,0.198609872311449,3.23188902146823e-37,12448
"22","rrt","white",0.1,0.2,0.164269220678869,0.122905695787927,0.205632745569811,7.03474817406784e-15,6612
"23","rrt","white",0.2,0.3,0.102958577099458,0.0448196275227161,0.1610975266762,0.000518573253222423,3084
"24","rrt","white",0.3,1,0.0336646376995671,-0.00809901340246474,0.0754282888015989,0.114128137582248,4712
"25","pressor","all",0,0.1,-0.0034856103121915,-0.0157222707986547,0.00875105017427173,0.57663571396067,15314
"26","pressor","all",0.1,0.2,0.00690865248462386,-0.0128682483526245,0.0266855533218722,0.493542348817264,7968
"27","pressor","all",0.2,0.3,0.0756348304268927,0.0440241360464597,0.107245524807326,2.73623057252718e-06,3686
"28","pressor","all",0.3,1,0.104946738177813,0.0747657838816543,0.135127692473971,9.39946735488733e-12,5851
"29","pressor","non-white",0,0.1,-8.45918449555727e-05,-0.0299112593610293,0.0297420756711181,0.995564754537945,2866
"30","pressor","non-white",0.1,0.2,0.0245672803976848,-0.0231565992523243,0.0722911600476939,0.312989959313596,1356
"31","pressor","non-white",0.2,0.3,0.0691393839595243,-0.00877811774194855,0.147056885660997,0.0820016800988763,602
"32","pressor","non-white",0.3,1,0.163391969394545,0.093814934668669,0.23296900412042,4.16874829928595e-06,1139
"33","pressor","white",0,0.1,-0.00440216212526867,-0.0177770924382082,0.00897276818767086,0.518858981772987,12448
"34","pressor","white",0.1,0.2,0.00254516835308088,-0.0190689623458239,0.0241592990519857,0.817470590761603,6612
"35","pressor","white",0.2,0.3,0.0764828361760077,0.0430536061338299,0.109912066218185,7.31571443157544e-06,3084
"36","pressor","white",0.3,1,0.0927494967131093,0.059091447177687,0.126407546248532,6.62497038084334e-08,4712
