"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.0702283402080656,0.0516570723510555,0.0887996080650757,1.24544774744696e-13,6644
"2","ventilation_bin","all",0.1,0.2,0.110499468101874,0.0771404305354126,0.143858505668336,8.45007501574164e-11,3183
"3","ventilation_bin","all",0.2,0.3,0.0505914405479637,-0.00510800994573058,0.106290891041658,0.0750342431839145,1538
"4","ventilation_bin","all",0.3,1,-0.0185211653155695,-0.0636482308731103,0.0266059002419714,0.421149721608242,3011
"5","ventilation_bin","non-white",0,0.1,0.085490785238194,0.0406073959431376,0.13037417453325,0.000189007644974102,1268
"6","ventilation_bin","non-white",0.1,0.2,0.140963792697868,0.0793091669496376,0.202618418446099,7.42113987414896e-06,520
"7","ventilation_bin","non-white",0.2,0.3,0.120101481963059,-0.0619584212014979,0.302161385127616,0.196019703214785,239
"8","ventilation_bin","non-white",0.3,1,0.0505413959836483,-0.0618692295809761,0.162952021548273,0.378186024939985,629
"9","ventilation_bin","white",0,0.1,0.0706972137089307,0.0502498223528448,0.0911446050650167,1.22922623853242e-11,5376
"10","ventilation_bin","white",0.1,0.2,0.104735719271267,0.0679754230267423,0.141496015515791,2.3458874665746e-08,2663
"11","ventilation_bin","white",0.2,0.3,0.049475343649731,-0.00876759731434418,0.107718284613806,0.0959224267369343,1299
"12","ventilation_bin","white",0.3,1,-0.0322484566150749,-0.0811047007505794,0.0166077875204296,0.195757381909679,2382
"13","rrt","all",0,0.1,0.0515402334867852,0.0333168038693267,0.0697636631042437,2.96738040305765e-08,6644
"14","rrt","all",0.1,0.2,0.0541119723709698,0.0125705592670797,0.09565338547486,0.0106768216815378,3183
"15","rrt","all",0.2,0.3,0.0377437681008877,-0.0318015048888661,0.107289041090642,0.287448474284241,1538
"16","rrt","all",0.3,1,0.00371654408525224,-0.0465521259043268,0.0539852140748312,0.884782033972379,3011
"17","rrt","non-white",0,0.1,0.0210674003398765,-0.0110628584497365,0.0531976591294895,0.198740931359767,1268
"18","rrt","non-white",0.1,0.2,-0.0387879770075587,-0.100411720467571,0.0228357664524531,0.217319416364408,520
"19","rrt","non-white",0.2,0.3,-0.158660661848279,-0.300832812878246,-0.0164885108183118,0.0287197321124444,239
"20","rrt","non-white",0.3,1,0.0136120047640895,-0.0926464917615535,0.119870501289732,0.801751195906164,629
"21","rrt","white",0,0.1,0.0831619264109921,0.063153164859364,0.10317068796262,3.75228309137003e-16,5376
"22","rrt","white",0.1,0.2,0.0541722883378954,0.00635235933403538,0.101992217341756,0.0263940172337433,2663
"23","rrt","white",0.2,0.3,0.0960950934317073,0.0194759483230162,0.172714238540398,0.013962929336914,1299
"24","rrt","white",0.3,1,-0.00184294728761236,-0.0582258648846497,0.054539970309425,0.948918398957092,2382
"25","pressor","all",0,0.1,0.0516934780361776,0.0402802053799884,0.0631067506923667,6.84936037265227e-19,6644
"26","pressor","all",0.1,0.2,0.0895167287688053,0.0655640952621633,0.113469362275447,2.38917460668753e-13,3183
"27","pressor","all",0.2,0.3,0.15236526464042,0.109737513587203,0.194993015693638,2.45808232919914e-12,1538
"28","pressor","all",0.3,1,0.209741573007872,0.168158452788246,0.251324693227497,4.78460601596744e-23,3011
"29","pressor","non-white",0,0.1,0.0493620519287711,0.0225491991370001,0.0761749047205421,0.000308174316516088,1268
"30","pressor","non-white",0.1,0.2,0.149533799163763,0.0903727346996502,0.208694863627876,7.26884650627422e-07,520
"31","pressor","non-white",0.2,0.3,0.142466203758815,0.036673757225347,0.248258650292282,0.00830409348806826,239
"32","pressor","non-white",0.3,1,0.252640071098387,0.15989757826765,0.345382563929124,9.3336397537244e-08,629
"33","pressor","white",0,0.1,0.0515799959446409,0.0388893206013604,0.0642706712879213,1.63593203109474e-15,5376
"34","pressor","white",0.1,0.2,0.0793198064271301,0.0531088143021224,0.105530798552138,3.00436345805768e-09,2663
"35","pressor","white",0.2,0.3,0.153136439096329,0.105307377132838,0.200965501059819,3.48693204968111e-10,1299
"36","pressor","white",0.3,1,0.199423225455343,0.152969976752603,0.245876474158084,3.95396717099253e-17,2382
