"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.118563723290891,0.0981127499566143,0.139014696625167,6.38940476784951e-30,8670
"2","ventilation_bin","all",0.1,0.2,0.146845184892225,0.125745786617959,0.167944583166491,2.28455775911581e-42,4785
"3","ventilation_bin","all",0.2,0.3,0.132485913592052,0.102823307215918,0.162148519968185,2.05556183656365e-18,2148
"4","ventilation_bin","all",0.3,1,0.110882781179047,0.0903677852126526,0.131397777145442,3.1864933150643e-26,2840
"5","ventilation_bin","non-white",0,0.1,0.149602808652147,0.0984427205972024,0.200762896707091,9.95754931968716e-09,1598
"6","ventilation_bin","non-white",0.1,0.2,0.159932763650071,0.114615865229256,0.205249662070886,4.60502122354401e-12,836
"7","ventilation_bin","non-white",0.2,0.3,0.127570673373597,0.0663540501405613,0.188787296606632,4.41742432737564e-05,363
"8","ventilation_bin","non-white",0.3,1,0.100524806281901,0.0724213452174743,0.128628267346329,2.36906501467933e-12,510
"9","ventilation_bin","white",0,0.1,0.112243034225192,0.0911992280303652,0.13328684042002,1.40163499593099e-25,7072
"10","ventilation_bin","white",0.1,0.2,0.142450572655142,0.118432322837248,0.166468822473036,3.08950768695293e-31,3949
"11","ventilation_bin","white",0.2,0.3,0.13470247303745,0.104176656988549,0.16522828908635,5.19666195124497e-18,1785
"12","ventilation_bin","white",0.3,1,0.112162064604977,0.0872065394087071,0.137117589801246,1.26067629343671e-18,2330
"13","rrt","all",0,0.1,-0.00990780351844985,-0.0296754770895728,0.00985987005267312,0.325914475955766,8670
"14","rrt","all",0.1,0.2,0.0449931267244365,0.0123403614194707,0.0776458920294024,0.00691860435345898,4785
"15","rrt","all",0.2,0.3,0.0663267029861165,0.0152404478747251,0.117412958097508,0.010936464240944,2148
"16","rrt","all",0.3,1,0.010397487513558,-0.0205114385628251,0.0413064135899412,0.509686098230228,2840
"17","rrt","non-white",0,0.1,0.0177838132191339,-0.0238620121780046,0.0594296386162724,0.402609870900253,1598
"18","rrt","non-white",0.1,0.2,0.108654740547273,0.0239541324317611,0.193355348662784,0.0119266723462119,836
"19","rrt","non-white",0.2,0.3,0.0272260058214343,-0.0755783537066828,0.130030365349551,0.603709808081614,363
"20","rrt","non-white",0.3,1,0.0569520387261245,-0.0095746147540724,0.123478692206321,0.0933639106132092,510
"21","rrt","white",0,0.1,-0.0114987515943726,-0.0315517018623777,0.00855419867363256,0.261054555962498,7072
"22","rrt","white",0.1,0.2,0.0266721983874621,-0.00909296932654578,0.06243736610147,0.143826785562083,3949
"23","rrt","white",0.2,0.3,0.0673770002998309,0.0134546892919992,0.121299311307663,0.014322998793848,1785
"24","rrt","white",0.3,1,0.00522115921872457,-0.0315408713414354,0.0419831897788845,0.78072781130739,2330
"25","pressor","all",0,0.1,0.0555096419304692,0.0426451113924712,0.0683741724684673,2.73693264549988e-17,8670
"26","pressor","all",0.1,0.2,0.0489165271476987,0.0298435826513592,0.0679894716440382,4.9866171368612e-07,4785
"27","pressor","all",0.2,0.3,0.0705691262565498,0.0415275273516198,0.0996107251614799,1.91050229969371e-06,2148
"28","pressor","all",0.3,1,0.080889234569584,0.0574841386596203,0.104294330479548,1.25388913116812e-11,2840
"29","pressor","non-white",0,0.1,0.0593387633787377,0.0292544961044891,0.0894230306529864,0.000110662083395327,1598
"30","pressor","non-white",0.1,0.2,0.0358193775333149,-0.0117136925327706,0.0833524475994003,0.13967769296779,836
"31","pressor","non-white",0.2,0.3,0.0519088430764939,-0.01735006424405,0.121167750397038,0.141832798716228,363
"32","pressor","non-white",0.3,1,0.0458065811914241,-0.00221900694734867,0.0938321693301968,0.0615617870179118,510
"33","pressor","white",0,0.1,0.0536925402023346,0.0394689472816854,0.0679161331229838,1.37430860142948e-13,7072
"34","pressor","white",0.1,0.2,0.0514429090208772,0.0305360038442512,0.0723498141975032,1.41615330727272e-06,3949
"35","pressor","white",0.2,0.3,0.0747222898641357,0.0424506699541984,0.106993909774073,5.67312482438537e-06,1785
"36","pressor","white",0.3,1,0.0892174996704093,0.0627898662835562,0.115645133057262,3.67063681619246e-11,2330
