"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.10104369090516,0.0828970294968078,0.119190352313512,9.92327437960889e-28,10538
"2","ventilation_bin","all",0.1,0.2,0.123877776067943,0.103354588718782,0.144400963417104,2.71381978821885e-32,5725
"3","ventilation_bin","all",0.2,0.3,0.109347752230279,0.0742057091471804,0.144489795313377,1.06919010340274e-09,2599
"4","ventilation_bin","all",0.3,1,0.113273923132272,0.0904891560131398,0.136058690251405,1.95517007036767e-22,3849
"5","ventilation_bin","non-white",0,0.1,0.140644730278162,0.0881235821935853,0.193165878362738,1.5324085652633e-07,1996
"6","ventilation_bin","non-white",0.1,0.2,0.150285374097401,0.107866617019591,0.192704131175211,3.80928836548037e-12,986
"7","ventilation_bin","non-white",0.2,0.3,0.105842787288176,0.0392320311433773,0.172453543432975,0.00184325763632453,444
"8","ventilation_bin","non-white",0.3,1,0.125959400089902,0.0913890609558258,0.160529739223978,9.23888806344334e-13,705
"9","ventilation_bin","white",0,0.1,0.0950608726813983,0.0755224994287678,0.114599245934029,1.48346628617622e-21,8542
"10","ventilation_bin","white",0.1,0.2,0.119207171891361,0.0953715432586345,0.143042800524088,1.09955945671218e-22,4739
"11","ventilation_bin","white",0.2,0.3,0.116798265035662,0.0788825442358458,0.154713985835479,1.56304587234797e-09,2155
"12","ventilation_bin","white",0.3,1,0.11132862211143,0.0838803738755142,0.138776870347346,1.87031885839394e-15,3144
"13","rrt","all",0,0.1,0.0299133992430336,0.0105721401021039,0.0492546583839632,0.00243457158385346,10538
"14","rrt","all",0.1,0.2,0.0659285060567916,0.0315381552656188,0.100318856847965,0.000171656676037894,5725
"15","rrt","all",0.2,0.3,0.0737772228542697,0.028405107255239,0.1191493384533,0.00143730219213368,2599
"16","rrt","all",0.3,1,0.0850480199784857,0.0494116592167128,0.120684380740259,2.90193351421061e-06,3849
"17","rrt","non-white",0,0.1,0.0406156292941905,-0.00151882127947256,0.0827500798678535,0.0588452344023847,1996
"18","rrt","non-white",0.1,0.2,0.115617353954094,0.0331239672333848,0.198110740674804,0.00601416219589256,986
"19","rrt","non-white",0.2,0.3,0.0255421591189694,-0.0773382139609852,0.128422532198924,0.626534642366497,444
"20","rrt","non-white",0.3,1,0.0804313436708171,0.0118609449815358,0.149001742360098,0.0215032110793444,705
"21","rrt","white",0,0.1,0.0324149998940771,0.0112427808871598,0.0535872189009943,0.00269279505206352,8542
"22","rrt","white",0.1,0.2,0.0475485962388848,0.00981808536209987,0.0852791071156698,0.0135104175504713,4739
"23","rrt","white",0.2,0.3,0.0921753176182998,0.0412121259623199,0.14313850927428,0.000392639154437156,2155
"24","rrt","white",0.3,1,0.0843492442321577,0.0429133795275352,0.12578510893678,6.61041029477162e-05,3144
"25","pressor","all",0,0.1,0.0597692963247337,0.0474782576339768,0.0720603350154907,1.5553976115361e-21,10538
"26","pressor","all",0.1,0.2,0.0644889052595645,0.0463113546528312,0.0826664558662977,3.56241742096135e-12,5725
"27","pressor","all",0.2,0.3,0.080430769271881,0.0526218768467765,0.108239661696986,1.43763136747561e-08,2599
"28","pressor","all",0.3,1,0.092596703359798,0.0680246505478093,0.117168756171787,1.51295291630941e-13,3849
"29","pressor","non-white",0,0.1,0.07228879851734,0.0414560554159576,0.103121541618722,4.32104196178712e-06,1996
"30","pressor","non-white",0.1,0.2,0.0524949918804232,0.008730528002874,0.0962594557579724,0.018723114900988,986
"31","pressor","non-white",0.2,0.3,0.0738574512469792,0.00454572384712743,0.143169178646831,0.0367487750092312,444
"32","pressor","non-white",0.3,1,0.053011155152424,-0.00745905862881145,0.113481368933659,0.0857542835984767,705
"33","pressor","white",0,0.1,0.0573401999790456,0.044119016341321,0.0705613836167701,1.88760990398666e-17,8542
"34","pressor","white",0.1,0.2,0.0670938149120633,0.0469787991490221,0.0872088306751044,6.25148813743038e-11,4739
"35","pressor","white",0.2,0.3,0.0801759476966704,0.049960265496582,0.110391629896759,1.98463023593643e-07,2155
"36","pressor","white",0.3,1,0.102718167132855,0.074726014820797,0.130710319444914,6.37146797750851e-13,3144
