"","treatment","race","sev_start","sev_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,0.1,0.0449300004239316,0.0244992879467867,0.0653607129010765,1.63022364450565e-05,6644
"2","ventilation_bin","all",0.1,0.2,0.0440886090512263,0.0122900049376913,0.0758872131647614,0.0065771110651649,3183
"3","ventilation_bin","all",0.2,0.3,0.0286460985128191,-0.0232633750109319,0.0805555720365702,0.279421171242409,1538
"4","ventilation_bin","all",0.3,1,0.0318557876098865,-0.00961499949140297,0.073326574711176,0.132176536762268,3011
"5","ventilation_bin","non-white",0,0.1,0.0457421464876965,-0.00385945286960282,0.0953437458449959,0.0706852457570078,1268
"6","ventilation_bin","non-white",0.1,0.2,0.0523897868103353,-0.0271758425191639,0.131955416139835,0.196857324824165,520
"7","ventilation_bin","non-white",0.2,0.3,0.0349089995121033,-0.158417762750304,0.22823576177451,0.723401042505891,239
"8","ventilation_bin","non-white",0.3,1,0.0640319892651596,-0.0333440449118351,0.161408023442154,0.197451677461412,629
"9","ventilation_bin","white",0,0.1,0.0490503060999574,0.0264622284395088,0.0716383837604059,2.07962662916228e-05,5376
"10","ventilation_bin","white",0.1,0.2,0.0406941123226588,0.00718651182285834,0.0742017128224592,0.017295299986969,2663
"11","ventilation_bin","white",0.2,0.3,0.0260975638352582,-0.0284907208807773,0.0806858485512937,0.348739690085435,1299
"12","ventilation_bin","white",0.3,1,0.022629099915443,-0.022112213800658,0.067370413631544,0.321528513014142,2382
"13","rrt","all",0,0.1,0.153587539969684,0.13012063139308,0.177054448546288,1.14397164884703e-37,6644
"14","rrt","all",0.1,0.2,0.113064182667342,0.0677725874737392,0.158355777860945,9.93770480150354e-07,3183
"15","rrt","all",0.2,0.3,0.133632921514182,0.0656241046723121,0.201641738356051,0.000117505375609378,1538
"16","rrt","all",0.3,1,0.180317479785195,0.127614458909169,0.233020500661221,2.00140869876389e-11,3011
"17","rrt","non-white",0,0.1,0.228541286963602,0.15304591824297,0.304036655684233,2.96803759185342e-09,1268
"18","rrt","non-white",0.1,0.2,0.147032549230281,0.01172131958576,0.282343778874801,0.0331893863927213,520
"19","rrt","non-white",0.2,0.3,0.155103766098073,-0.0196338436838973,0.329841375880042,0.0818992813613373,239
"20","rrt","non-white",0.3,1,0.100099257005745,0.00503361203700874,0.195164901974482,0.0390386131508901,629
"21","rrt","white",0,0.1,0.120219522525251,0.0952699132872462,0.145169131763256,3.57969928506226e-21,5376
"22","rrt","white",0.1,0.2,0.097064044204434,0.0490138066625116,0.145114281746356,7.51683156024978e-05,2663
"23","rrt","white",0.2,0.3,0.137468334762357,0.0600759684006782,0.214860701124036,0.000498700088052409,1299
"24","rrt","white",0.3,1,0.19603268926985,0.136368430072426,0.255696948467273,1.19655151532262e-10,2382
"25","pressor","all",0,0.1,0.0467198403678006,0.0308740874981742,0.0625655932374269,7.5194381123848e-09,6644
"26","pressor","all",0.1,0.2,0.0638634035323479,0.0397834055387133,0.0879434015259825,2.01244397926433e-07,3183
"27","pressor","all",0.2,0.3,0.108039744469579,0.0702188109289059,0.145860678010252,2.1564137423768e-08,1538
"28","pressor","all",0.3,1,0.101919251014157,0.0685308610084147,0.1353076410199,2.191052873803e-09,3011
"29","pressor","non-white",0,0.1,0.0834671958729873,0.0378220371411945,0.12911235460478,0.000338273983919617,1268
"30","pressor","non-white",0.1,0.2,0.046517708642667,-0.0132982977212723,0.106333715006606,0.127445599019867,520
"31","pressor","non-white",0.2,0.3,0.101648516559378,-0.0101060688410573,0.213403101959813,0.0746261260772091,239
"32","pressor","non-white",0.3,1,0.104037695031053,0.0360303501391766,0.17204503992293,0.00271392571681122,629
"33","pressor","white",0,0.1,0.0378821180887101,0.021471996168754,0.0542922400086663,6.05148271205548e-06,5376
"34","pressor","white",0.1,0.2,0.0653866618270569,0.038981653679904,0.0917916699742097,1.21274689458044e-06,2663
"35","pressor","white",0.2,0.3,0.108483674178176,0.0677737419053585,0.149193606450994,1.76046803129925e-07,1299
"36","pressor","white",0.3,1,0.10160439829042,0.0652057069542535,0.138003089626587,4.46991529614043e-08,2382
