"","outcome","treatment","cohort","race","prob_mort_start","prob_mort_end","psi","i_ci","s_ci","pvalue","n","SL_libraries","Q_weights","g_weights"
"1","blood_yes","mech_vent","eICU","all","0","0.1","0.0291432742171022","0.0221309881563629","0.0361555602778415","3.76721320661531e-16","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.281900581216146 0 0.552296334736696 0.165803084047159 0","0.156066070910897 0 0.353182716713102 0.490751212376002 0"
"2","blood_yes","mech_vent","eICU","all","0.1","0.2","0.0264359388270863","0.0157865416427078","0.0370853360114648","1.14178756289247e-06","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.150796254488075 0.153269940393787 0.341877346583957 0.35405645853418 0","0.297579994429918 0 0.470449383730477 0.231970621839605 0"
"3","blood_yes","mech_vent","eICU","all","0.2","0.3","0.0357554638471908","0.0179031292619217","0.05360779843246","8.65221851414799e-05","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.102989422844161 0.326408765992271 0.460284543586795 0.110317267576774 0","0.239080455488895 0 0.389501106075127 0.371418438435979 0"
"4","blood_yes","mech_vent","eICU","all","0.3","1","0.0170438271826565","0.00389787403478239","0.0301897803305305","0.011048700549955","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.154818859212905 0.500302159542834 0.344878981244261 0","0.342213799291459 0 0.394775143509313 0.263011057199229 0"
"5","blood_yes","rrt","eICU","all","0","0.1","0.0512968713546021","0.0454280248441827","0.0571657178650216","8.64680451895323e-66","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.265371528101391 0 0.474503349588569 0.260125122310041 0","0.445400868319528 0 0.453421215537593 0.101177916142879 0"
"6","blood_yes","rrt","eICU","all","0.1","0.2","0.0153524806380153","0.00586997102603252","0.024834990249998","0.00150715918582262","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.267606805438808 0 0.41535008818256 0.317043106378631 0","0.409191413881225 0 0.52353039646811 0.0672781896506648 0"
"7","blood_yes","rrt","eICU","all","0.2","0.3","0.052669575143459","0.0345236909650044","0.0708154593219136","1.27767649397234e-08","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.0480239596754327 0.388456612503654 0.53254196253145 0.0309774652894638 0","0.463687179619637 0 0.39279631496103 0 0.143516505419332"
"8","blood_yes","rrt","eICU","all","0.3","1","0.046162776934354","0.0295267413755971","0.0627988124931109","5.36592218741272e-08","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.250312909571245 0.511488419425405 0.23819867100335 0","0.575746890456472 0 0.187123622228341 0.237129487315187 0"
"9","blood_yes","pressor","eICU","all","0","0.1","0.0196463801405712","0.0128798683902549","0.0264128918908876","1.26441164542402e-08","9343","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.244428418656607 0 0.47728731338454 0.278284267958852 0","0.158487692529222 0 0.4513099439087 0.390202363562078 0"
"10","blood_yes","pressor","eICU","all","0.1","0.2","0.0161767163416794","0.00449652905075269","0.0278569036326061","0.00663673973842335","4702","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.268009911099895 0 0.375992063496311 0.355998025403794 0","0.318636085938922 0 0.370652965481756 0.310710948579322 0"
"11","blood_yes","pressor","eICU","all","0.2","0.3","0.0409331719275806","0.0238099146068597","0.0580564292483014","2.79437033334516e-06","2244","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0.114210401032269 0.275631138856553 0.568324386072143 0.0418340740390351 0","0.0394034535047984 0.126235330555975 0.455267182600077 0.37909403333915 0"
"12","blood_yes","pressor","eICU","all","0.3","1","0.0156765987148876","0.00173000491132198","0.0296231925184531","0.0275857172461081","4289","SL.glm SL.glmnet SL.ranger SL.earth SL.mean","0 0.242245947958784 0.459072856978755 0.298681195062461 0","0.1813520757869 0 0.281346178142675 0.537301746070425 0"
