"","treatment","race","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.0811079399796969,0.0689450259398578,0.093270854019536,4.87454777234435e-39,20753
"2","ventilation_bin","all",4,6,0.06752951098296,0.057251682957302,0.0778073390086179,5.98689717345046e-38,20447
"3","ventilation_bin","all",7,10,0.0561600383471955,0.0412045395960038,0.0711155370983872,1.83799315244494e-13,11878
"4","ventilation_bin","all",11,100,-0.0214392574067747,-0.0536424597566424,0.0107639449430931,0.191937627188548,4604
"5","ventilation_bin","non-white",0,3,0.0583959927338608,0.0331740273517199,0.0836179581160017,5.68023575515463e-06,3775
"6","ventilation_bin","non-white",4,6,0.0808466044521686,0.0599290389188294,0.101764169985508,3.57967586086972e-14,3862
"7","ventilation_bin","non-white",7,10,0.0627271130994662,0.0325633059245717,0.0928909202743606,4.58335802960176e-05,2462
"8","ventilation_bin","non-white",11,100,0.00928008940106917,-0.0492043499440853,0.0677645287462237,0.755796532403964,971
"9","ventilation_bin","white",0,3,0.0845375998277645,0.0709289765458668,0.0981462231096623,4.1909463218583e-34,16978
"10","ventilation_bin","white",4,6,0.0632111269166593,0.0518269217778114,0.0745953320555071,1.38980811491084e-27,16585
"11","ventilation_bin","white",7,10,0.050105045716681,0.0331268455576824,0.0670832458756797,7.28433080004356e-09,9416
"12","ventilation_bin","white",11,100,-0.00780637380611693,-0.0427771318818635,0.0271643842696296,0.661732479628003,3633
"13","rrt","all",0,3,0.0671608004432257,0.0576511781169617,0.0766704227694898,1.41576536391389e-43,20753
"14","rrt","all",4,6,0.0820444081958763,0.067714886560208,0.0963739298315446,3.17708146022559e-29,20447
"15","rrt","all",7,10,0.0596384657471297,0.0385725413177065,0.080704390176553,2.87575197082795e-08,11878
"16","rrt","all",11,100,-0.0193541742968621,-0.0469230257752136,0.00821467718148933,0.168827899837378,4604
"17","rrt","non-white",0,3,-0.00956293217157973,-0.0247866845914577,0.00566082024829825,0.218251434478617,3775
"18","rrt","non-white",4,6,0.0442998291789493,0.0188416881454497,0.0697579702124489,0.000648189013404848,3862
"19","rrt","non-white",7,10,-0.0236972154243049,-0.0568363022695355,0.00944187142092576,0.16104556361695,2462
"20","rrt","non-white",11,100,-0.0287926729255907,-0.0888083053728596,0.0312229595216781,0.34705567010315,971
"21","rrt","white",0,3,0.0766961703563252,0.0665211766109879,0.0868711641016626,2.15804120296539e-49,16978
"22","rrt","white",4,6,0.0939831507011598,0.0788781472953604,0.109088154106959,3.30112389445558e-34,16585
"23","rrt","white",7,10,0.0837853833262058,0.0606864857523598,0.106884280900052,1.16546722411745e-12,9416
"24","rrt","white",11,100,-0.0197810927185104,-0.0502867846000878,0.0107245991630671,0.203749555213296,3633
"25","pressor","all",0,3,0.0442982647358835,0.0346115833756181,0.053984946096149,3.15113301656905e-19,20753
"26","pressor","all",4,6,0.0285770073443684,0.0185365943584156,0.0386174203303212,2.42533357157421e-08,20447
"27","pressor","all",7,10,0.0574445780816632,0.0424697669497186,0.0724193892136078,5.53162045499239e-14,11878
"28","pressor","all",11,100,0.0907922278122458,0.0593629399353664,0.122221515689125,1.49614979785677e-08,4604
"29","pressor","non-white",0,3,0.0574811211105311,0.0358696534851556,0.0790925887359067,1.85698878906496e-07,3775
"30","pressor","non-white",4,6,0.032023121843869,0.0106464394126531,0.053399804275085,0.00332304934614805,3862
"31","pressor","non-white",7,10,0.0765189029413484,0.0468974817341644,0.106140324148532,4.12432542330378e-07,2462
"32","pressor","non-white",11,100,0.182679695963211,0.119911585732699,0.245447806193724,1.16777679728744e-08,971
"33","pressor","white",0,3,0.0411681050596753,0.0304532005160876,0.0518830096032629,5.05139833621778e-14,16978
"34","pressor","white",4,6,0.0261679228221962,0.0150138165193085,0.0373220291250839,4.26098661223439e-06,16585
"35","pressor","white",7,10,0.0520080011981608,0.0349332825789268,0.0690827198173949,2.37286617361039e-09,9416
"36","pressor","white",11,100,0.0423467544343344,0.00614675049180465,0.0785467583768642,0.0218590929839354,3633
